epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,state_norm_none,state_norm_layernorm,slot_address_used_by_controller,slot_address_used_by_executor,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,action_L0_0_1_diff_present,action_L0_0_1_diff_choice_mass,action_L0_0_1_diff_recovery,action_L0_0_1_diff_active,action_L0_0_1_diff_tape,action_L0_2_3_diff_present,action_L0_2_3_diff_choice_mass,action_L0_2_3_diff_recovery,action_L0_2_3_diff_active,action_L0_2_3_diff_tape,action_L1_1_3_product_present,action_L1_1_3_product_choice_mass,action_L1_1_3_product_recovery,action_L1_1_3_product_active,action_L1_1_3_product_tape,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,scanner_source_mass_sum,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,cell_write_mass_mean,target_write_gate_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,gain_disabled_delta,sim_result_disabled_delta,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_items,credit_staleness_mean,credit_age_max,ce_loss,sim_loss,expected_choice_loss,non_expected_primitive_loss,expected_active_loss,non_expected_active_loss,non_expected_tape_loss,non_expected_transform_loss,primitive_usage_diversity,cell_choice_diversity,active_budget,tape_budget,layer_action_diversity,min_transform_loss,eff_lambda_choice,eff_lambda_non_expected_primitive,eff_lambda_primitive_usage_diversity,eff_lambda_cell_choice_diversity,eff_lambda_non_expected_active,eff_lambda_non_expected_tape,eff_lambda_non_expected_transform,eff_lambda_active_budget,eff_lambda_tape_budget,eff_lambda_layer_action_diversity,weighted_ce_loss,weighted_sim_loss,weighted_expected_choice_loss,weighted_expected_active_loss,weighted_non_expected_primitive_loss,weighted_non_expected_active_loss,weighted_non_expected_tape_loss,weighted_non_expected_transform_loss,weighted_primitive_usage_diversity,weighted_cell_choice_diversity,weighted_active_budget,weighted_tape_budget,weighted_layer_action_diversity,weighted_min_transform_loss,loss_accounting_error
1,1.0,1.7701671892404556,0.4965625,0.51015625,0.9973958333333334,0.9973958333333334,0.4789225260416667,1.0,0.9888542294502258,0.4467702607313792,0.2510411739349365,0.4545975625514984,0.29436126351356506,1.3397720456123352,15.5,6.5,0.355721652507782,3.875,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.44829824566841125,0.9830576777458191,2.5261893272399902,1.0,0.9911336898803711,1.0,0.39949625730514526,0.07085954397916794,1.0,0.9817229509353638,0.9921875,0.41079267859458923,0.04839586839079857,1.0,0.9937060475349426,1.0,0.5300218462944031,0.07065334916114807,0.42669677734375,0.2543457821011543,0.3449879176914692,0.3003445714712143,0.10032173059880733,1.0000000018626451,0.8920860886573792,0.34367863833904266,0.022365285083651543,0.14454904571175575,0.4463200569152832,0.024070022627711296,0.01808331161737442,0.024757754057645798,0.017836662009358406,0.024609506130218506,0.017571628093719482,-0.030488785356283188,0.0036398207303136587,0.8834066447615624,1.0,0.5729371070861816,0.21308402702212334,0.03964442173019052,3.4093444180488586,0.9370103251188994,0.8822374637424946,0.5748419007658958,1.0944845175743103,0.6944231569766999,0.51015625,1.0,0.00014698505401611328,0.0009987950325012207,0.0007336139678955078,0.0358138233423233,last,1.0,0.0,0.0,0.6972418403625489,0.08128299351781607,0.3386364764161408,0.5444700944423676,1.1366940075159073,0.20044687733054162,0.037263341546058655,0.3800988508760929,0.09045669885737027,0.05724265709519386,0.027197453305125237,0.0015304418295272626,0.0,0.0,1.0944845175743103,0.6175662169232965,0.08822374811861664,0.08822374811861664,0.10347154621966183,0.11496838165447115,0.045987350991927085,0.14371047519147395,0.06898102725856006,0.04411187405930832,0.6972418403625489,0.00812829949427396,0.593457847442478,0.05683470159769058,0.35478873709216713,0.02056169688468799,0.0041055980260716754,0.01712913346476853,0.008814920038680616,0.005175436302088201,0.0038322664599400014,9.67041955300374e-05,0.0,0.0,7.879529917431682e-09
2,0.92,0.8279943531751632,0.50359375,0.5171875,1.0,1.0,0.19588216145833334,1.0,0.9988301992416382,0.5907434622446696,0.1361411102116108,0.566413402557373,0.29744546860456467,1.27021324634552,9.5,2.5,0.20360562205314636,2.375,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.45345211029052734,0.9825268983840942,2.771541118621826,1.0,0.9991884231567383,1.0,0.5410068035125732,0.05578454211354256,1.0,0.999426007270813,1.0,0.5442526340484619,0.022725887596607208,1.0,0.9978761672973633,1.0,0.6869709491729736,0.0611434206366539,0.420501708984375,0.32052794098854065,0.3611479327082634,0.2661353722214699,0.05218875780701637,1.0000000037252903,0.8122240304946899,0.2631745785474777,0.011121675837785006,0.13617252558469772,0.41260313987731934,0.0476158931851387,0.03356710448861122,0.049087051302194595,0.03371605649590492,0.0488087497651577,0.0332951582968235,-0.05100701004266739,0.012791931629180908,0.9865963500738144,1.0,0.23152437344193458,0.19068543657660483,0.01617298437282443,3.0509669971466065,0.9987726390361786,0.44274001151323317,0.5859655869007111,1.0018410444259644,0.6922866702079773,0.5171875,1.0,-0.0004379749298095703,6.306171417236328e-05,-0.0003585219383239746,0.028198884800076485,last,1.0,0.0,0.0,0.6945389175415039,0.0325975463539362,0.01772031371248886,0.14755924373865129,0.6731523311138153,0.1579025699198246,0.012260099360719322,0.17470982663333415,8.364980867781923e-05,0.022567641660571097,0.022134283911436795,0.0002179530204011826,0.0,0.0,1.0018410444259644,0.3099180048704147,0.04427400186657906,0.04427400186657906,0.10547380968928337,0.11719311885535717,0.046877246014773846,0.14649139672517777,0.0703158687800169,0.02213700093328953,0.6945389175415039,0.0032597546861506997,0.01775549554033205,0.0336576172336936,0.048216184601187706,0.016662006145343185,0.001439849702292122,0.008202684749849141,6.024569035432137e-06,0.0009971965348813683,0.0032432360388338567,1.538948471988988e-05,0.0,0.0,3.6526597302355412e-09
3,0.8464,0.7667836701869964,0.510390625,0.5171875,1.0,1.0,0.19010416666666666,1.0,0.9992534319559733,0.6906981865564982,0.1011689305305481,0.6107438206672668,0.28808724880218506,1.196704477071762,9.0,2.5,0.22092466801404953,2.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4548940062522888,0.9822098016738892,2.771716594696045,1.0,0.9993009567260742,1.0,0.6413960456848145,0.04204435646533966,1.0,0.9995741248130798,1.0,0.6621423959732056,0.014254421927034855,1.0,0.9988852143287659,1.0,0.7685561180114746,0.03852022811770439,0.42523193359375,0.38109441101551056,0.32316717505455017,0.2526984177529812,0.04304002970457077,1.0000000335276127,0.7517176866531372,0.23871897161006927,0.0067365196300670505,0.14022196829319,0.4059073477983475,0.06826300919055939,0.046956922858953476,0.07003317028284073,0.047372184693813324,0.06895088404417038,0.046612247824668884,-0.0603029765188694,0.020088501274585724,0.9961378979682922,1.0,0.18876949086785316,0.18424388155341148,0.008336203931830823,2.947902112007141,0.9989165413379669,0.31751143246889113,0.5777122920751572,1.0016251921653747,0.6905030369758606,0.508203125,1.0,0.0002537965774536133,0.00011068582534790039,0.0008488297462463379,0.023623716086149216,last,1.0,0.0,0.0,0.6919460678100586,0.01837026488035917,0.004585388334235176,0.09896294139325619,0.4541206029057503,0.13837329745292665,0.005494246541056782,0.10124729417264461,0.0,0.02376131195574999,0.022305959463119508,3.588530683373392e-05,0.0,0.0,1.0016251921653747,0.2222579999268055,0.031751143969595434,0.031751143969595434,0.10398821629583836,0.11554245933890343,0.046216982267797,0.1444280730187893,0.06932547375559807,0.015875571984797717,0.6919460678100586,0.0018370265094563366,0.004592926282202825,0.022706030514091254,0.022014763876795768,0.01439068422652781,0.0006350846085115335,0.00468042004853487,0.0,0.0007563576224492863,0.0032218187232501807,2.490300237241172e-06,0.0,0.0,3.3511926567086903e-10
4,0.778688,0.7449685198068619,0.547578125,0.593359375,1.0,1.0,0.191162109375,1.0,0.9994462132453918,0.7797309160232544,0.1417988482862711,0.5523988306522369,0.3058023154735565,1.1227731108665466,8.0,2.5,0.2291942611336708,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.45610031485557556,0.9805333614349365,2.7079520225524902,1.0,0.9995232820510864,1.0,0.7574044466018677,0.04727211594581604,1.0,0.9996801614761353,1.0,0.7692159414291382,0.018982192501425743,1.0,0.9991351962089539,1.0,0.8125723600387573,0.08355538547039032,0.422515869140625,0.4566429406404495,0.28729669749736786,0.20535548776388168,0.050704870373010635,0.9999999962747097,0.7154290974140167,0.22925130277872086,0.008366801775991917,0.15094852447509766,0.4064706563949585,0.08919647336006165,0.06030150502920151,0.09151193499565125,0.06101511791348457,0.08853299170732498,0.059708915650844574,-0.0679965615272522,0.027744730934500694,0.9973488479852677,1.0,0.21523344218730928,0.1815866294503212,0.006831804369576275,2.9053860688209534,0.9989328253269195,0.39307417929172517,0.5742655652761459,1.0016007649898528,0.6535316348075867,0.593359375,1.0,0.0005228519439697266,0.0006498098373413086,0.001915574073791504,0.02254110760986805,last,1.0,0.0,0.0,0.6771076726913452,0.01678957786411047,0.003550159694859758,0.08737924486398697,0.3198328498005867,0.12670004293322562,0.00399055662797764,0.09387141764163971,0.0,0.026095176581293344,0.025930401645600797,1.862062589680136e-05,0.0,0.0,1.0016007649898528,0.2751519225537777,0.03930741865187883,0.03930741865187883,0.10336780548095703,0.11485311441123486,0.04594124425202608,0.14356639131903648,0.06891186632215977,0.019653709325939416,0.6771076726913452,0.0016789578110910951,0.0035559364448999988,0.015991642819717527,0.02401547968387604,0.013098313314840198,0.0004583319241646677,0.004311750230845064,0.0,0.0010267366090556606,0.0037224155268631874,1.2826340707761119e-06,0.0,0.0,1.1609246897137382e-10
