epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,state_norm_none,state_norm_layernorm,slot_address_used_by_controller,slot_address_used_by_executor,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,action_L0_0_1_diff_present,action_L0_0_1_diff_choice_mass,action_L0_0_1_diff_recovery,action_L0_0_1_diff_active,action_L0_0_1_diff_tape,action_L0_2_3_diff_present,action_L0_2_3_diff_choice_mass,action_L0_2_3_diff_recovery,action_L0_2_3_diff_active,action_L0_2_3_diff_tape,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,scanner_source_mass_sum,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,cell_write_mass_mean,target_write_gate_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,gain_disabled_delta,sim_result_disabled_delta,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_items,credit_staleness_mean,credit_age_max,ce_loss,sim_loss,expected_choice_loss,non_expected_primitive_loss,expected_active_loss,non_expected_active_loss,non_expected_tape_loss,non_expected_transform_loss,primitive_usage_diversity,cell_choice_diversity,active_budget,tape_budget,layer_action_diversity,min_transform_loss,eff_lambda_choice,eff_lambda_non_expected_primitive,eff_lambda_primitive_usage_diversity,eff_lambda_cell_choice_diversity,eff_lambda_non_expected_active,eff_lambda_non_expected_tape,eff_lambda_non_expected_transform,eff_lambda_active_budget,eff_lambda_tape_budget,eff_lambda_layer_action_diversity,weighted_ce_loss,weighted_sim_loss,weighted_expected_choice_loss,weighted_expected_active_loss,weighted_non_expected_primitive_loss,weighted_non_expected_active_loss,weighted_non_expected_tape_loss,weighted_non_expected_transform_loss,weighted_primitive_usage_diversity,weighted_cell_choice_diversity,weighted_active_budget,weighted_tape_budget,weighted_layer_action_diversity,weighted_min_transform_loss,loss_accounting_error
1,1.0,2.3043154323101045,0.49234375,0.5234375,1.0,1.0,0.554931640625,1.0,0.9904837906360626,0.4268638789653778,0.3147183358669281,0.3921692967414856,0.2931123971939087,1.3162205219268799,16.0,15.0,0.48691147565841675,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.40016812086105347,0.9837898015975952,1.7383619546890259,1.0,0.9869906306266785,1.0,0.4300074577331543,0.059248700737953186,1.0,0.9939769506454468,1.0,0.4237203001976013,0.06231143698096275,0.4207763671875,0.4017835557460785,0.19270697236061096,0.35092639923095703,0.05458308756351471,1.0000000149011612,0.8788909912109375,0.5621989965438843,0.044067613780498505,0.19050759077072144,0.5661158561706543,0.030328476801514626,0.0181882381439209,0.030514579266309738,0.018085941672325134,0.030537383630871773,0.018107974901795387,-0.014664455316960812,0.01078741904348135,0.8344124741107225,1.0,0.6256513065099716,0.25764231890439987,0.05590102270245552,4.12227706193924,0.8754983512498439,0.8439329527353402,0.5769179262872786,1.1867524755001069,0.6927975475788116,0.5234375,1.0,0.00449526309967041,0.0034723281860351562,0.008833825588226318,0.03450525179505348,last,1.0,0.0,0.0,0.7054481601715088,0.05379152845591307,0.5248250310495496,0.5907170464843512,1.2056238102912902,0.24803361982107164,0.054566648826003074,0.39699399918317796,0.07683919995601173,0.06730887796729804,0.024888070914894343,0.002538322360487655,0.0,0.0,1.1867524755001069,0.5063597915769787,0.06751463437460188,0.06751463437460188,0.05769179408525815,0.08653769264870789,0.03461507466097828,0.06923014932195656,0.05769179408525815,0.04219664823867788,0.7054481601715088,0.005379152945242822,1.1544140249863266,0.06028119184076786,0.3338144911257768,0.014312701138478587,0.004594216177683848,0.013379693374299678,0.006110803251131074,0.004685508441864386,0.0017565061175901064,0.00013894505946382196,0.0,0.0,3.767997025505565e-08
2,0.92,0.8187014013528824,0.650234375,0.76015625,1.0,1.0,0.275146484375,1.0,0.9982741177082062,0.5239861011505127,0.23041045665740967,0.4427293539047241,0.3268601894378662,0.6907135248184204,16.0,4.0,0.29956042766571045,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.3953023850917816,0.980628252029419,1.808111310005188,1.0,0.9981791973114014,1.0,0.5309101939201355,0.021751314401626587,1.0,0.998369038105011,1.0,0.5170620083808899,0.02574780210852623,0.42059326171875,0.39852288365364075,0.2613629698753357,0.28476107120513916,0.0553530752658844,1.0,0.8612083196640015,0.5362609624862671,0.03741341829299927,0.21836915612220764,0.6312142610549927,0.05685847997665405,0.045269664376974106,0.056926026940345764,0.04522315412759781,0.05700184404850006,0.04506780952215195,-0.017949629575014114,0.032342080026865005,0.977786266207695,1.0,0.3396488991379738,0.27719977527856826,0.03888197440654039,4.435196437835693,0.9986268550157547,0.6089562717080116,0.6832479041814804,1.0020597207546234,0.49353917837142947,0.76015625,1.0,0.02648472785949707,0.008740901947021484,0.09490722417831421,0.03621777892112732,last,1.0,0.0,0.0,0.6174456468224525,0.03284978985786438,0.02935271166730672,0.24798639059066774,0.749542863368988,0.24696313053369523,0.0376345669105649,0.2726226018369198,5.906819205847569e-06,0.031164772268384697,0.03153144411742687,0.0010881943599088117,0.0,0.0,1.0020597207546234,0.3653737762570381,0.04871650043874979,0.04871650043874979,0.06832479171454907,0.10248718999326228,0.04099487334489822,0.08198974668979644,0.06832479171454907,0.030447814092040063,0.6174456468224525,0.0032849790249019862,0.02941763389389962,0.03747714396566153,0.09498681351542473,0.016889282073825597,0.0038561944011598825,0.011159892370924353,4.204368815408088e-07,0.0015161311882548034,0.00259310650639236,7.415714393573581e-05,0.0,0.0,9.167777648144693e-12
3,0.8464,0.6022549510002136,0.769140625,0.77890625,1.0,1.0,0.25830078125,1.0,0.9986664056777954,0.5483912527561188,0.21030502021312714,0.44524282217025757,0.3444521427154541,0.6831037402153015,16.0,4.0,0.2899971306324005,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.39835426211357117,0.981350302696228,2.058169364929199,1.0,0.9984341859817505,1.0,0.5516983270645142,0.007204715628176928,1.0,0.9988986253738403,1.0,0.5450841784477234,0.011954974383115768,0.4202880859375,0.6086873412132263,0.09276342391967773,0.2661988139152527,0.032350458204746246,1.000000037252903,0.8965060710906982,0.5187655687332153,0.03532615676522255,0.22832514345645905,0.6516994833946228,0.08145248144865036,0.07133377343416214,0.08208928257226944,0.07088202983140945,0.08224882930517197,0.07093990594148636,-0.006907545495778322,0.05331777408719063,0.9944088643789292,1.0,0.28035423457622527,0.32135470777750014,0.03748421110212803,5.141675367355346,0.9988928043842316,0.43868068367242813,0.7410569673776627,1.0016607987880706,0.4432638108730316,0.77890625,1.0,0.010395079851150513,-0.0030292868614196777,0.08173492550849915,0.029130462557077408,last,1.0,0.0,0.0,0.47366342186927796,0.024619515035301447,0.006648445182945579,0.16865943297743796,0.6553307127952576,0.2911243438720703,0.040624493211507795,0.23828824773430823,0.0,0.03227884387597442,0.04909074611961842,0.0009927136095939204,0.0,0.0,1.0016607987880706,0.2632084202766418,0.03509445384144783,0.03509445384144783,0.07410569809377193,0.11115854971110821,0.044463416934013365,0.08892683386802673,0.07410569809377193,0.021934034563601018,0.47366342186927796,0.002461951547302306,0.0066596067452337595,0.03276653632521629,0.04443211771547794,0.021585288923233747,0.004515605326741934,0.010589794795960188,0.0,0.001135610183700919,0.004371495195664465,7.352384636760689e-05,0.0,0.0,1.4739635068039547e-09
4,0.778688,0.5421042236685752,0.796640625,0.8171875,1.0,1.0,0.263916015625,1.0,0.9985350370407104,0.5885867476463318,0.20050179958343506,0.45860403776168823,0.3408941626548767,0.5809968709945679,16.0,4.0,0.27273207902908325,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.3979080319404602,0.9827688336372375,2.207475423812866,1.0,0.9984413385391235,1.0,0.5942683219909668,0.005235112272202969,1.0,0.9986287355422974,1.0,0.5829051733016968,0.007336147595196962,0.41766357421875,0.44709163904190063,0.04439632594585419,0.2769731879234314,0.23153886198997498,1.0000000149011612,0.9121102094650269,0.5212305188179016,0.03341057896614075,0.2348259538412094,0.664168119430542,0.1036069244146347,0.0899425595998764,0.10482536256313324,0.08928245306015015,0.10530660301446915,0.08950641751289368,-0.001201082020998001,0.06460097432136536,0.996231945157051,1.0,0.27214240163564685,0.3361426019668579,0.03495305486023426,5.378281688690185,0.9989176964759827,0.4135374933481216,0.7588988560438156,1.0016234564781188,0.38990878164768217,0.8171875,1.0,0.017008811235427856,-0.0011651217937469482,0.07838615775108337,0.027087265625596046,last,1.0,0.0,0.0,0.42058830678462983,0.02322671504691243,0.0051543703221250325,0.16379954621195794,0.5905185467004777,0.3032709938287735,0.03887342166155577,0.22747039988636972,0.0,0.027847196888178587,0.05577854499220848,0.0008394107199274003,0.0,0.0,1.0016234564781188,0.24812250584363937,0.033082998879253867,0.033082998879253867,0.07588988721370697,0.11383483290672303,0.045533930398523804,0.09106786079704761,0.07588988721370697,0.020676874946802856,0.42058830678462983,0.0023226715507917105,0.0051629024592693895,0.029525927845388652,0.040638431683182714,0.02301677392795682,0.004424881809391081,0.010356711838394404,0.0,0.000923285226454027,0.0050806390540674325,6.36916109942831e-05,0.0,0.0,1.219451206679878e-10
5,0.7163929600000001,0.519990106523037,0.80515625,0.81875,1.0,1.0,0.261962890625,1.0,0.9991095960140228,0.6250203549861908,0.19841134548187256,0.47053825855255127,0.33105039596557617,0.501045823097229,16.0,4.0,0.269562691450119,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.39788708090782166,0.9821546077728271,2.334287405014038,1.0,0.9989974498748779,1.0,0.6373236775398254,0.004063877742737532,1.0,0.9992217421531677,1.0,0.6127170324325562,0.006298979744315147,0.43133544921875,0.36721566319465637,0.08720117807388306,0.2747001647949219,0.2708829641342163,0.9999999701976776,0.9262511730194092,0.5196765661239624,0.029186345636844635,0.24013808369636536,0.6709295511245728,0.12374650686979294,0.10520852357149124,0.12548765540122986,0.10433564335107803,0.12649475038051605,0.1047295555472374,0.005539614707231522,0.07044263929128647,0.9965337508916855,1.0,0.2692197522521019,0.3402098202705383,0.030828409008681775,5.44335708618164,0.9989217257499695,0.40460703283548355,0.7636221748590469,1.0016174077987672,0.3774009793996811,0.81875,1.0,0.026976585388183594,0.004296153783798218,0.05761450529098511,0.022170137614011765,last,1.0,0.0,0.0,0.4036705574393272,0.024812158290296794,0.004593980730860494,0.1653177610039711,0.5184906542301178,0.3022417572140694,0.03446584288030863,0.21923088252544404,0.0,0.022675331979990006,0.05771267157047987,0.0006183417211286724,0.0,0.0,1.0016174077987672,0.2427642297744751,0.03236856181174517,0.03236856181174517,0.07636221893131732,0.11454333081841468,0.045817329436540606,0.09163465887308121,0.07636221893131732,0.02023035189136863,0.4036705574393272,0.0024812158662825823,0.004601583081530407,0.025924533158540725,0.04016970552504063,0.02308111183345318,0.003947685724124312,0.010043823812156915,0.0,0.0007334059663116932,0.00528927180916071,4.72133106450201e-05,0.0,0.0,1.003536365118407e-09
