epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,state_norm_none,state_norm_layernorm,slot_address_used_by_controller,slot_address_used_by_executor,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,action_L0_0_1_merge_present,action_L0_0_1_merge_choice_mass,action_L0_0_1_merge_recovery,action_L0_0_1_merge_active,action_L0_0_1_merge_tape,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,scanner_source_mass_sum,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,cell_write_mass_mean,target_write_gate_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,gain_disabled_delta,sim_result_disabled_delta,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_items,credit_staleness_mean,credit_age_max,ce_loss,sim_loss,expected_choice_loss,non_expected_primitive_loss,expected_active_loss,non_expected_active_loss,non_expected_tape_loss,non_expected_transform_loss,primitive_usage_diversity,cell_choice_diversity,active_budget,tape_budget,layer_action_diversity,min_transform_loss,eff_lambda_choice,eff_lambda_non_expected_primitive,eff_lambda_primitive_usage_diversity,eff_lambda_cell_choice_diversity,eff_lambda_non_expected_active,eff_lambda_non_expected_tape,eff_lambda_non_expected_transform,eff_lambda_active_budget,eff_lambda_tape_budget,eff_lambda_layer_action_diversity,weighted_ce_loss,weighted_sim_loss,weighted_expected_choice_loss,weighted_expected_active_loss,weighted_non_expected_primitive_loss,weighted_non_expected_active_loss,weighted_non_expected_tape_loss,weighted_non_expected_transform_loss,weighted_primitive_usage_diversity,weighted_cell_choice_diversity,weighted_active_budget,weighted_tape_budget,weighted_layer_action_diversity,weighted_min_transform_loss,loss_accounting_error
1,1.0,2.636537946462631,0.582578125,0.641796875,1.0,1.0,0.83349609375,1.0,0.9930979013442993,0.6399075984954834,0.4250617027282715,0.33726397156715393,0.23767434060573578,0.6516757011413574,16.0,14.0,0.7689480781555176,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4671590328216553,0.9839510917663574,0.4697420001029968,1.0,0.9930979013442993,1.0,0.6399075984954834,0.19213762879371643,0.39739990234375,0.09767337143421173,0.006421620491892099,0.8911307454109192,0.0047742631286382675,1.0000000004656613,0.9360692501068115,0.5234910249710083,0.06762149930000305,0.21593424677848816,0.6088606119155884,0.030068309977650642,0.016589507460594177,0.030096281319856644,0.01694892719388008,0.030114522203803062,0.01700678840279579,0.025326840579509735,0.016154402866959572,0.8252383817825466,1.0,0.8081503911316394,0.24821075111627577,0.06833049431443214,3.9713720202445986,0.8461553777009249,0.8089545548739625,0.5652662130608224,1.2307669174671174,0.640752500295639,0.641796875,1.0,-0.0016974806785583496,0.008936107158660889,0.0010582208633422852,0.04421191290020943,last,1.0,0.0,0.0,0.6756720924377442,0.06801040690392256,0.7239429403236136,0.7808715858962387,0.8493299016356468,0.2343335735797882,0.06480026893317699,0.5059904170036316,0.18596843553939835,0.08406569499522448,0.004982240943936631,0.002851393816526979,0.0,0.0,1.2307669174671174,0.20223863871849063,0.0404477286160477,0.0404477286160477,0.01130532406630664,0.028263311342525414,0.01130532406630664,0.01130532406630664,0.01130532406630664,0.0404477286160477,0.6756720924377442,0.006801040819846093,1.703934249773156,0.042466495875269177,0.18483104971357164,0.0026935423301165428,0.0018033765744075935,0.005547308384211647,0.0091722429130823,0.0035202556072391642,6.4429519007696e-05,3.188216376415198e-05,0.0,0.0,1.964878526550251e-08
2,0.92,0.7335871624946594,0.685859375,0.737109375,1.0,1.0,0.658447265625,1.0,0.9984170198440552,0.8026196956634521,0.25091060996055603,0.43941402435302734,0.30967533588409424,1.2967629432678223,14.0,16.0,0.5195792317390442,3.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4664906859397888,0.9845531582832336,1.4294719696044922,1.0,0.9984170198440552,1.0,0.8026196956634521,0.3371245861053467,0.39599609375,0.42305734753608704,0.010667432099580765,0.561129093170166,0.005146048963069916,0.9999999217689037,1.0442848205566406,0.46073877811431885,0.05264680087566376,0.1916087567806244,0.5632097721099854,0.05063726380467415,0.030937401577830315,0.051164865493774414,0.03168676421046257,0.05099138990044594,0.03158700838685036,0.0716281309723854,0.03466404229402542,0.9868843001127243,1.0,0.5523948010802269,0.26633062526583673,0.05804889049381018,4.2612899708747864,0.9987791973352432,0.5014264832437039,0.6975165295600891,1.0018312048912048,0.5804666340351105,0.737109375,1.0,-0.0010380148887634277,-0.0023790597915649414,-0.003123462200164795,0.04177197441458702,last,1.0,0.0,0.0,0.6181361770629883,0.028538929279893637,0.016502858859021217,0.5234288570284843,0.32059206679463387,0.23524145409464836,0.044705043248832226,0.30949981361627577,0.015091108174328838,0.047800559252500534,0.007511113570071757,0.001872729822061956,0.0,0.0,1.0018312048912048,0.12535662081092597,0.02507132466882467,0.02507132466882467,0.013950330270454288,0.03487582731992006,0.013950330270454288,0.013950330270454288,0.013950330270454288,0.02507132466882467,0.6181361770629883,0.0028538929799105973,0.016535075176507236,0.016029603648930787,0.06898317018523813,0.0032853258750401436,0.0015648906072601677,0.004334230285603553,0.000526075293989976,0.0012072481954237446,0.00010523176068090834,2.6241698215017095e-05,0.0,0.0,2.7512914169136593e-10
3,0.8464,0.5439967575669289,0.800625,0.850390625,1.0,1.0,0.38916015625,1.0,0.9968975782394409,0.874070405960083,0.25819140672683716,0.4162728786468506,0.32553571462631226,1.0436749458312988,14.0,8.0,0.3627179265022278,3.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.46186381578445435,0.9832879304885864,1.9927254915237427,1.0,0.9968975782394409,1.0,0.874070405960083,0.33687397837638855,0.38836669921875,0.6611905097961426,0.033694103360176086,0.28879499435424805,0.01632039062678814,0.9999999981373549,1.1051021814346313,0.4645182490348816,0.07321958988904953,0.23039893805980682,0.6562409400939941,0.06403560936450958,0.04787776619195938,0.06540071964263916,0.04889173060655594,0.06495098024606705,0.04904090240597725,0.0881405919790268,0.05242319405078888,0.9924148654937744,1.0,0.38184481352567673,0.2647798272967339,0.05614155437797308,4.236477243900299,0.9988633590936661,0.12129845794290305,0.6934606492519378,1.0017049622535705,0.3866024523973465,0.850390625,1.0,0.05091971158981323,0.004455685615539551,0.06776934862136841,0.0430343821644783,last,1.0,0.0,0.0,0.5042717623710632,0.01937553584575653,0.01021431439439766,0.3411401617527008,0.17735584288835526,0.22638697996735574,0.035627962332218883,0.205486514121294,2.7129267691634596e-05,0.039737052898854014,0.007373649277724326,0.0017198872263543307,0.0,0.0,1.0017049622535705,0.03032461448572576,0.006064922998193651,0.006064922998193651,0.0138692126609385,0.03467303328216076,0.0138692126609385,0.0138692126609385,0.0138692126609385,0.006064922998193651,0.5042717623710632,0.0019375536288134753,0.01023258009343408,0.008867792286910117,0.011058695444371552,0.0031478065554983916,0.0012435290211578831,0.0028534901654347776,3.8015722111595094e-07,0.0002552920222660759,0.00010376519836427178,2.4111147031362634e-05,0.0,0.0,5.246374445988522e-10
4,0.778688,0.3666290633380413,0.871796875,0.900390625,1.0,1.0,0.30029296875,1.0,0.9987127780914307,0.9037668704986572,0.34884196519851685,0.34897351264953613,0.302184522151947,0.9288343191146851,16.0,3.0,0.2901693284511566,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4578264355659485,0.9833438992500305,1.8691606521606445,1.0,0.9987127780914307,1.0,0.9037668704986572,0.3390205502510071,0.3939208984375,0.6173505783081055,0.0865699052810669,0.2365778684616089,0.05950164049863815,0.9999999925494194,1.129235029220581,0.4973624646663666,0.11475050449371338,0.29724517464637756,0.7831168174743652,0.07417309284210205,0.06424975395202637,0.07605898380279541,0.06658554822206497,0.07529963552951813,0.06636890769004822,0.09614796936511993,0.06577497720718384,0.9940761822462082,1.0,0.3182412540912628,0.34106337040662765,0.09418367326259613,5.457013897895813,0.9988872528076171,0.054658325258642435,0.8338817548751831,1.0016691184043884,0.27071120887994765,0.900390625,1.0,0.030627816915512085,0.003437042236328125,0.07260635495185852,0.03970539569854736,last,1.0,0.0,0.0,0.3329897326231003,0.021382590085268022,0.0078098927164683115,0.27302426874637603,0.12130150943994522,0.30463129580020903,0.07785523883998394,0.2836382827162743,0.0,0.03587463622912765,0.026410150835290552,0.006428407181520015,0.0,0.0,1.0016691184043884,0.013664581314660609,0.0027329163218382745,0.0027329163218382745,0.016677634716033937,0.04169408861547708,0.016677634716033937,0.016677634716033937,0.016677634716033937,0.0027329163218382745,0.3329897326231003,0.002138259052298963,0.007823504965053872,0.006065075560472906,0.0038500987575389445,0.005095054153352976,0.0032670111185871065,0.004747568108141423,0.0,9.946986818249571e-05,0.00044485049089416863,0.0001084380421161768,0.0,0.0,5.983019635280584e-10
5,0.7163929600000001,0.2999357596039772,0.897265625,0.901171875,1.0,1.0,0.239990234375,1.0,0.9995080828666687,0.9135090112686157,0.38067764043807983,0.30448776483535767,0.3148345947265625,0.78094083070755,16.0,3.0,0.29619789123535156,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.45391830801963806,0.9832480549812317,1.8783931732177734,1.0,0.9995080828666687,1.0,0.9135090112686157,0.3030029535293579,0.38885498046875,0.568916380405426,0.16778086125850677,0.2262963056564331,0.0370064415037632,0.9999999888241291,1.1362924575805664,0.49482864141464233,0.12321469187736511,0.31577110290527344,0.8191226720809937,0.08371472358703613,0.07766857743263245,0.08527275174856186,0.08116204291582108,0.08414903283119202,0.08090642839670181,0.0989193320274353,0.07604029774665833,0.9968648958206177,1.0,0.29790507376194,0.3891035294532776,0.11827532425522805,6.225656461715698,0.9989259749650955,0.04159498749300838,0.8942678499221802,1.0016110408306123,0.24809798002243041,0.901171875,1.0,0.024477988481521606,0.0038190633058547974,0.054945677518844604,0.033392634242773056,last,1.0,0.0,0.0,0.2684870520234108,0.02034533681347966,0.004075816224503797,0.20189358040690422,0.09788697004318238,0.35451241582632065,0.10487089157104493,0.35056866854429247,0.0,0.038567546531558035,0.04383731123059988,0.010685162553563714,0.0,0.0,1.0016110408306123,0.010398746873252094,0.00207974941120483,0.00207974941120483,0.01788535660132766,0.044713393226265906,0.01788535660132766,0.01788535660132766,0.01788535660132766,0.00207974941120483,0.2684870520234108,0.0020345337397884578,0.004082619705877732,0.0048943485924974085,0.002073110076598823,0.006342968675307929,0.0046916875755414365,0.006272456417791545,0.0,8.070772000792203e-05,0.0007849975617136806,0.0001912803364393767,0.0,0.0,2.8209978797377744e-09
