epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,state_norm_none,state_norm_layernorm,slot_address_used_by_controller,slot_address_used_by_executor,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,action_L0_0_1_merge_present,action_L0_0_1_merge_choice_mass,action_L0_0_1_merge_recovery,action_L0_0_1_merge_active,action_L0_0_1_merge_tape,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,scanner_source_mass_sum,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,cell_write_mass_mean,target_write_gate_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,gain_disabled_delta,sim_result_disabled_delta,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_items,credit_staleness_mean,credit_age_max,ce_loss,sim_loss,expected_choice_loss,non_expected_primitive_loss,expected_active_loss,non_expected_active_loss,non_expected_tape_loss,non_expected_transform_loss,primitive_usage_diversity,cell_choice_diversity,active_budget,tape_budget,layer_action_diversity,min_transform_loss,eff_lambda_choice,eff_lambda_non_expected_primitive,eff_lambda_primitive_usage_diversity,eff_lambda_cell_choice_diversity,eff_lambda_non_expected_active,eff_lambda_non_expected_tape,eff_lambda_non_expected_transform,eff_lambda_active_budget,eff_lambda_tape_budget,eff_lambda_layer_action_diversity,weighted_ce_loss,weighted_sim_loss,weighted_expected_choice_loss,weighted_expected_active_loss,weighted_non_expected_primitive_loss,weighted_non_expected_active_loss,weighted_non_expected_tape_loss,weighted_non_expected_transform_loss,weighted_primitive_usage_diversity,weighted_cell_choice_diversity,weighted_active_budget,weighted_tape_budget,weighted_layer_action_diversity,weighted_min_transform_loss,loss_accounting_error
1,1.0,2.841856307387352,0.511484375,0.58984375,1.0,1.0,0.784423828125,1.0,0.9982916116714478,0.6423385143280029,0.3346512019634247,0.39134618639945984,0.2740026116371155,1.182037353515625,16.0,16.0,0.6280378103256226,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.3963865339756012,0.9848946928977966,1.2131140232086182,1.0,0.9982916116714478,1.0,0.6423385143280029,0.1439225971698761,0.4210205078125,0.4080149531364441,0.1391480565071106,0.4161010980606079,0.03673591464757919,1.0000000223517418,0.8030882477760315,0.5390790104866028,0.056192439049482346,0.22629858553409576,0.6199562549591064,0.030379680916666985,0.010617461986839771,0.030399983748793602,0.01058476697653532,0.030293073505163193,0.010737348347902298,0.007637152448296547,0.005137142725288868,0.8031674814410508,1.0,0.6474719163775444,0.2807524384558201,0.06177240639925003,4.492039008140564,0.8247252245945856,0.6710556388704572,0.6123193386383354,1.2629121625423432,0.6720556139945983,0.58984375,1.0,-0.0005586147308349609,-0.0003711581230163574,-0.002362847328186035,0.044665005058050156,last,1.0,0.0,0.0,0.7076507377624511,0.05563226759433746,0.8217696487111971,0.6227004615962506,0.9087999087572097,0.2700242803990841,0.059128851443529126,0.4055421483516693,0.09119509524098249,0.07772985484451056,0.01064603062812239,0.0021966320660430937,0.0,0.0,1.2629121625423432,0.1677639097176143,0.033552782648382615,0.033552782648382615,0.01224638653191505,0.03061596739673405,0.01224638653191505,0.01224638653191505,0.01224638653191505,0.033552782648382615,0.7076507377624511,0.005563226845115423,1.936812200709246,0.04543999636545777,0.12913465880914343,0.0033723502997327157,0.0017686294658415137,0.004779168803906941,0.0043456174658638245,0.0028156566081622004,0.00014802608733262444,2.6037182948215332e-05,0.0,0.0,9.821499169504477e-10
2,0.92,0.6885811918973923,0.653125,0.76328125,1.0,1.0,0.39306640625,1.0,0.998764157295227,0.8244446516036987,0.286102294921875,0.4358557462692261,0.2780419588088989,1.1760063171386719,16.0,7.0,0.35918641090393066,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.3917025625705719,0.980623722076416,2.140132188796997,1.0,0.998764157295227,1.0,0.8244446516036987,0.205638125538826,0.42059326171875,0.4182606041431427,0.18023934960365295,0.31707310676574707,0.08442693203687668,0.9999999925494194,0.9069440364837646,0.5344070196151733,0.06374020874500275,0.2561209201812744,0.6509573459625244,0.04951489344239235,0.029881123453378677,0.04910220205783844,0.030488818883895874,0.04923185333609581,0.030399033799767494,0.041174668818712234,0.02883918583393097,0.9931215012073517,1.0,0.41479761302471163,0.32501180440187455,0.05685604203492403,5.200188889503479,0.9988732868432999,0.18351953495293855,0.8113342273235321,1.001690069437027,0.5471023857593537,0.76328125,1.0,0.030230820178985596,-0.0012344717979431152,0.04842311143875122,0.03500993177294731,last,1.0,0.0,0.0,0.6302227878570557,0.023726484514772894,0.009259984169621021,0.37624270483851435,0.30351410046219823,0.29695906817913054,0.04804701671004295,0.2897908321022987,0.0008101292688911599,0.03784652044996619,0.021087659429758786,0.0017572561430279166,0.0,0.0,1.001690069437027,0.045879883738234636,0.00917597689665854,0.00917597689665854,0.016226684134453537,0.040566711984574795,0.016226684134453537,0.016226684134453537,0.016226684134453537,0.00917597689665854,0.6302227878570557,0.0023726484889630226,0.009276519522536546,0.015175705244764685,0.019261542237363757,0.004820047761313617,0.0019493346195667983,0.004699134384281933,1.772831023420629e-05,0.00041445977021794536,0.00034274028090294453,2.8544564465846633e-05,0.0,0.0,1.1442746750134347e-09
3,0.8464,0.4736189594864845,0.809453125,0.84921875,1.0,1.0,0.282958984375,1.0,0.9991636276245117,0.8646444082260132,0.2842612564563751,0.4306979775428772,0.2850407660007477,1.005561351776123,14.0,4.0,0.29701054096221924,3.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.3987516462802887,0.9815370440483093,2.0499014854431152,1.0,0.9991636276245117,1.0,0.8646444082260132,0.14107921719551086,0.4273681640625,0.4906551241874695,0.17834849655628204,0.2479427456855774,0.0830535888671875,0.9999999552965164,1.0511175394058228,0.510794997215271,0.07006441801786423,0.2633272111415863,0.6896735429763794,0.061156533658504486,0.05782974883913994,0.06110646203160286,0.05838056281208992,0.06143879145383835,0.059397995471954346,0.03751467913389206,0.05495694652199745,0.9954254466295243,1.0,0.30409452468156817,0.3557579240202904,0.06919750943779945,5.692126779556275,0.9989058709144593,0.045087262578308585,0.8563419497013092,1.0016411972045898,0.36332806646823884,0.84921875,1.0,0.034300535917282104,0.003679722547531128,0.06285172700881958,0.03267914801836014,last,1.0,0.0,0.0,0.4406131890416145,0.016988509241491555,0.006133519738796167,0.24739430993795394,0.17097150936722755,0.323080438375473,0.0634492651373148,0.2845619907975197,0.0,0.032205862514674666,0.03093673912808299,0.0029475115449167787,0.0,0.0,1.0016411972045898,0.011271815644577146,0.002254363162210211,0.002254363162210211,0.01712683852761984,0.042817098274827006,0.01712683852761984,0.01712683852761984,0.01712683852761984,0.002254363162210211,0.4406131890416145,0.0016988509497605263,0.006144142118282616,0.008548575616441668,0.0028356821183115246,0.005534490919671953,0.002718022109474987,0.00487340705934912,0.0,7.18090070222388e-05,0.000530269930313807,5.052289925515652e-05,0.0,0.0,2.2830135559814835e-09
4,0.778688,0.364096046090126,0.863671875,0.880859375,1.0,1.0,0.203857421875,1.0,0.9987987279891968,0.8899717330932617,0.2799968719482422,0.4027230739593506,0.3172800540924072,0.8493776321411133,15.0,3.0,0.30694183707237244,3.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.3996584117412567,0.9806879758834839,2.133544445037842,1.0,0.9987987279891968,1.0,0.8899717330932617,0.12431936711072922,0.4140625,0.5675142407417297,0.11007077991962433,0.2026137411594391,0.11980126798152924,1.0000000298023224,1.0900461673736572,0.5249865055084229,0.0751512199640274,0.2664175033569336,0.7071489095687866,0.07168469578027725,0.07184702157974243,0.07194356620311737,0.07264281809329987,0.07245348393917084,0.07491768151521683,0.03588274121284485,0.0674259290099144,0.9971323704719544,1.0,0.27866083323955537,0.36819881170988084,0.07528033249080181,5.891180982589722,0.9989292365312576,0.03287995288148522,0.8716997808218002,1.0016061449050904,0.29265270233154295,0.880859375,1.0,0.019290536642074585,0.0020616650581359863,0.04572939872741699,0.028577737510204315,last,1.0,0.0,0.0,0.3349414296448231,0.01603311935439706,0.004940991860348731,0.1860899755358696,0.12907736256718635,0.33401758670806886,0.07095791779458523,0.2842945313453674,0.0,0.03571778727695346,0.03548970207571983,0.003640770947095007,0.0,0.0,1.0016061449050904,0.008219988220371306,0.0016439976671244949,0.0016439976671244949,0.017433995213359595,0.043584989719092845,0.017433995213359595,0.017433995213359595,0.017433995213359595,0.0016439976671244949,0.3349414296448231,0.0016033119638450444,0.004949497523484752,0.00645386821590364,0.0015312355023343117,0.005824947953224182,0.0030937561602331696,0.004956389791332185,0.0,5.8736147220770366e-05,0.0006193576194345952,6.351622305373894e-05,0.0,0.0,6.547634656683954e-10
5,0.7163929600000001,0.32029824823141095,0.8834375,0.894921875,1.0,1.0,0.239990234375,1.0,0.9996798038482666,0.9072884917259216,0.28901177644729614,0.4149320125579834,0.29605621099472046,0.8544743657112122,15.0,4.0,0.28645992279052734,3.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.39809027314186096,0.9798571467399597,2.0932631492614746,1.0,0.9996798038482666,1.0,0.9072884917259216,0.12101645767688751,0.41558837890625,0.531403660774231,0.10281888395547867,0.2624499201774597,0.10332754254341125,1.0000000074505806,1.1044561862945557,0.5315188765525818,0.08092161267995834,0.2837902903556824,0.7329310774803162,0.0816909596323967,0.0827752873301506,0.08240801841020584,0.0836750864982605,0.08286428451538086,0.08766506612300873,0.038121309131383896,0.0768633782863617,0.9979848581552505,1.0,0.2840331122279167,0.38413380771875383,0.07728640399873257,6.146140871047973,0.9989411109685897,0.03516549546271563,0.88958236515522,1.0015883338451386,0.2698016226291656,0.894921875,1.0,0.003981679677963257,-0.0007026493549346924,0.006489008665084839,0.024478057399392128,last,1.0,0.0,0.0,0.2937542648613453,0.016616011587902903,0.002709224880527472,0.1641775271296501,0.10737750999629497,0.34976822972297666,0.07428354628384114,0.2787448862195015,0.0,0.03449086794629693,0.04170007783919573,0.0038855218654498458,0.0,0.0,1.0015883338451386,0.008791373865678907,0.0017582747980486601,0.0017582747980486601,0.017791646849364042,0.04447911899536848,0.017791646849364042,0.017791646849364042,0.017791646849364042,0.0017582747980486601,0.2937542648613453,0.0016616011876612901,0.0027136811937089078,0.005368875609710813,0.0014399305963888765,0.006223583756946027,0.0033045199303887783,0.004959355588071048,0.0,6.112292325269664e-05,0.0007421629392774776,6.914980825968086e-05,0.0,0.0,1.6359996690695766e-10
