epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_items,credit_staleness_mean,credit_age_max
1,1.0,10.68926495552063,0.49375,0.484375,0.14583333333333334,0.14583333333333334,0.14957682291666666,1.0,0.12851727676267424,0.721926728884379,0.5031886398792267,0.2888156324625015,0.20799574255943298,1.2848604917526245,16.0,7.5,0.5276777744293213,4.0,1.0,0.0,0.0,25.0,0.4992322027683258,0.9880586266517639,1.9005264043807983,0.470733642578125,0.0,0.0,0.0,0.0,0.8509517312049866,0.4323347806930542,0.09793177247047424,0.0228903628885746,0.010272684507071972,0.02298419550061226,0.01011502742767334,0.023289188742637634,0.010172114707529545,-0.020488284528255463,0.002675571944564581,0.1285172700881958,1.0,0.5276777744293213,0.46499574184417725,0.09793177247047424,7.439931869506836,0.01766175404191017,0.00760677782818675,0.01679159328341484,2.4735074043273926,0.6947877705097198,0.484375,1.0,0.01235496997833252,0.01235496997833252,last,1.0,0.0,0.0
2,0.92,11.446951713562012,0.492421875,0.487109375,0.2421875,0.2421875,0.20963541666666666,1.0,0.1672261639032513,0.8611014286677042,0.4980010986328125,0.3139774426817894,0.1880214810371399,1.0498846173286438,16.0,6.5,0.6074702143669128,4.0,1.0,0.0,0.0,25.0,0.4990430772304535,0.9882481098175049,1.6028296947479248,0.465057373046875,0.0,0.0,0.0,0.0,0.811906635761261,0.3932807445526123,0.12309356592595577,0.03424455225467682,0.015791594982147217,0.03443634510040283,0.01559572946280241,0.03505309671163559,0.015606412664055824,-0.035235609859228134,0.008236264809966087,0.1672261655330658,1.0,0.6074702143669128,0.5842052698135376,0.12309356778860092,9.347284317016602,0.02834162302315235,0.019052645191550255,0.027935707941651344,2.4574875831604004,0.6943428814411163,0.487109375,1.0,0.014782369136810303,0.014782369136810303,last,1.0,0.0,0.0
3,0.8464,11.569963626861572,0.5034375,0.500390625,0.3723958333333333,0.3723958333333333,0.31396484375,1.0,0.28326445845110965,0.9150454998016357,0.43480002880096436,0.3753027319908142,0.18989723920822144,0.8153042942285538,16.0,8.0,0.6809932440519333,4.0,1.0,0.0,0.0,25.0,0.4988171458244324,0.9884150624275208,1.2493749856948853,0.462493896484375,0.0,0.0,0.0,0.0,0.787674754858017,0.34714800491929054,0.1242156676016748,0.04151826724410057,0.025424035266041756,0.04184475168585777,0.025511542335152626,0.042626406997442245,0.025091033428907394,-0.03650742769241333,0.020494334399700165,0.2832644581794739,1.0,0.6809932589530945,0.6487823724746704,0.12421566992998123,10.380517959594727,0.11064258217811584,0.09262809157371521,0.10984112322330475,2.334036111831665,0.694744873046875,0.500390625,1.0,0.0007075071334838867,0.0007075071334838867,last,1.0,0.0,0.0
4,0.778688,11.774156246185303,0.498046875,0.500390625,0.2721354166666667,0.2721354166666667,0.23177083333333334,1.0,0.22002799888529503,0.9433127641677856,0.3957088142633438,0.4187062382698059,0.18558494746685028,0.8333083242177963,16.0,7.0,0.6375562846660614,4.0,1.0,0.0,0.0,25.0,0.4988653063774109,0.9883264303207397,1.4496071338653564,0.46612548828125,0.0,0.0,0.0,0.0,0.7590031325817108,0.3365767765790224,0.12509694346226752,0.04698016494512558,0.03558944910764694,0.047331683337688446,0.03645214065909386,0.04829932376742363,0.03547397255897522,-0.031091488897800446,0.028791340067982674,0.22002801299095154,1.0,0.6375563144683838,0.6716294288635254,0.12509694695472717,10.746071815490723,0.053421035408973694,0.040024079382419586,0.053117286413908005,2.4198684692382812,0.6931940019130707,0.498828125,1.0,0.0075827836990356445,0.0075827836990356445,last,1.0,0.0,0.0
5,0.7163929600000001,15.868980255126953,0.4940625,0.500390625,0.09375,0.09375,0.06266276041666667,1.0,0.0823226251328985,0.9632226228713989,0.42127132415771484,0.3928124010562897,0.1859162673354149,0.7222337573766708,16.0,0.0,0.6971004903316498,4.0,1.0,0.0,0.0,25.0,0.49855145812034607,0.9881657361984253,1.6157033443450928,0.46600341796875,0.0,0.0,0.0,0.0,0.748340517282486,0.3397281877696514,0.1391511377878487,0.05140833929181099,0.04021952673792839,0.05185138061642647,0.041439302265644073,0.05289013683795929,0.04046383127570152,-0.029461810365319252,0.030960841104388237,0.0823226273059845,1.0,0.6971005201339722,0.6963579654693604,0.13915114104747772,11.14172649383545,0.009991618804633617,0.008620784617960453,0.00994792114943266,2.4850125312805176,0.6940390288829803,0.49296875,1.0,0.002004861831665039,0.002004861831665039,last,1.0,0.0,0.0
6,0.6590815232000001,18.73855863571167,0.499296875,0.500390625,0.05078125,0.05078125,0.02587890625,1.0,0.05138133877577881,0.9725077946980795,0.45443327724933624,0.3692905008792877,0.17627625167369843,0.6959006190299988,16.0,0.0,0.7060824036598206,4.0,1.0,0.0,0.0,25.0,0.4983595013618469,0.9883001446723938,1.672115445137024,0.4603271484375,0.0,0.0,0.0,0.0,0.733445554971695,0.3401229530572891,0.15180687280371785,0.05495187267661095,0.042897552251815796,0.05538005754351616,0.04422130435705185,0.05653955042362213,0.04321658983826637,-0.028533656150102615,0.0322505384683609,0.051381342113018036,1.0,0.7060824036598206,0.713286280632019,0.15180687606334686,11.412581443786621,0.006808627396821976,0.005961354356259108,0.006783751305192709,2.4897871017456055,0.6937427282333374,0.494921875,1.0,0.0015293359756469727,0.0015293359756469727,last,1.0,0.0,0.0
7,0.6063550013440001,24.898753299713135,0.50453125,0.509375,0.01953125,0.01953125,0.0224609375,1.0,0.031236441534322996,0.9810181260108948,0.46481505036354065,0.3761880397796631,0.15899687632918358,0.7269553765654564,16.0,0.0,0.6986016482114792,4.0,1.0,0.0,0.0,25.0,0.49777349829673767,0.9882491827011108,1.701322078704834,0.466644287109375,0.0,0.0,0.0,0.0,0.7253213822841644,0.33248280733823776,0.15070524148177356,0.05805045738816261,0.0462472029030323,0.0584634430706501,0.04776156321167946,0.059751249849796295,0.04675167798995972,-0.028005070984363556,0.03307880833745003,0.0312364399433136,1.0,0.6986016631126404,0.7324990034103394,0.1507052481174469,11.71998405456543,0.005301002413034439,0.004585408139973879,0.005285212770104408,2.492048501968384,0.6932677328586578,0.509375,1.0,0.008501827716827393,0.008501827716827393,last,1.0,0.0,0.0
8,0.5578466012364802,25.759458179473878,0.50765625,0.509375,0.045572916666666664,0.045572916666666664,0.033610026041666664,1.0,0.04738266703983148,0.9829331636428833,0.4841495156288147,0.3785591572523117,0.1372913047671318,0.7587308585643768,16.0,0.0,0.696900263428688,4.0,1.0,0.0,0.0,25.0,0.4972507953643799,0.9883439540863037,1.6651049852371216,0.4638671875,0.0,0.0,0.0,0.0,0.7207271456718445,0.33616453409194946,0.15414096345193684,0.06068708375096321,0.0484350323677063,0.0611581914126873,0.04983450099825859,0.06252097338438034,0.04880066215991974,-0.02739185467362404,0.034090764820575714,0.047382667660713196,1.0,0.6969002485275269,0.7404221892356873,0.15414096415042877,11.846755027770996,0.0064788213931024075,0.005588015075773001,0.006461082957684994,2.490281581878662,0.6932043015956879,0.504296875,1.0,-0.0005873441696166992,-0.0005873441696166992,last,1.0,0.0,0.0
