epoch,tau,curriculum_phase,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,layer_output_credit,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,state_norm_none,state_norm_layernorm,slot_address_used_by_controller,slot_address_used_by_executor,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,usage_credit_observations,action_L0_0_1_diff_present,action_L0_0_1_diff_choice_mass,action_L0_0_1_diff_recovery,action_L0_0_1_diff_active,action_L0_0_1_diff_tape,action_L0_2_3_diff_present,action_L0_2_3_diff_choice_mass,action_L0_2_3_diff_recovery,action_L0_2_3_diff_active,action_L0_2_3_diff_tape,action_L1_1_3_product_present,action_L1_1_3_product_choice_mass,action_L1_1_3_product_recovery,action_L1_1_3_product_active,action_L1_1_3_product_tape,layer_listen_score,layer_action_similarity,semantic_grid_mismatch,semantic_neighbor_entropy,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,scanner_source_mass_sum,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,cell_write_mass_mean,target_write_gate_mean,slot_alive_mean,slot_alive_count,split_none_mass,split_one_mass,split_two_mass,child_gate_mean,merge_gate_mean,collector_mass_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,signal_layer_listen_score,signal_slot_alive_mean,signal_split_two_mass,signal_merge_gate_mean,signal_layer_action_similarity,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_dependency_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,gain_disabled_delta,sim_result_disabled_delta,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_teacher_credit_items,credit_teacher_credit_staleness_mean,credit_teacher_credit_age_max,credit_audit_credit_items,credit_audit_credit_staleness_mean,credit_audit_credit_age_max,credit_deploy_credit_items,credit_deploy_credit_staleness_mean,credit_deploy_credit_age_max,honesty_score,ce_loss,sim_loss,expected_choice_loss,non_expected_primitive_loss,expected_active_loss,non_expected_active_loss,non_expected_tape_loss,non_expected_transform_loss,primitive_usage_diversity,cell_choice_diversity,active_budget,tape_budget,layer_action_diversity,branch_split_loss,branch_alive_loss,branch_child_loss,branch_merge_loss,branch_collector_loss,min_transform_loss,eff_lambda_choice,eff_lambda_non_expected_primitive,eff_lambda_primitive_usage_diversity,eff_lambda_cell_choice_diversity,eff_lambda_non_expected_active,eff_lambda_non_expected_tape,eff_lambda_non_expected_transform,eff_lambda_active_budget,eff_lambda_tape_budget,eff_lambda_layer_action_diversity,weighted_ce_loss,weighted_sim_loss,weighted_expected_choice_loss,weighted_expected_active_loss,weighted_non_expected_primitive_loss,weighted_non_expected_active_loss,weighted_non_expected_tape_loss,weighted_non_expected_transform_loss,weighted_primitive_usage_diversity,weighted_cell_choice_diversity,weighted_active_budget,weighted_tape_budget,weighted_layer_action_diversity,weighted_branch_split_loss,weighted_branch_alive_loss,weighted_branch_child_loss,weighted_branch_merge_loss,weighted_branch_collector_loss,weighted_min_transform_loss,loss_accounting_error
1,1.0,teacher,1.9784213701883953,0.5049479166666667,0.5042317708333334,0.3307291666666667,0.3307291666666667,0.4364420572916667,0.3307291666666667,0.33054758111635846,0.33054758111635846,0.5279656449953715,0.27126527577638626,0.42936035990715027,0.2993743568658829,0.920762687921524,16.0,14.5,0.4251456707715988,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.43695059418678284,0.9837646484375,3.218520402908325,491520.0,0.3515625,0.3512781858444214,0.3515625,0.4596070647239685,0.07350847125053406,0.20703125,0.20695146918296814,0.20703125,0.4716973304748535,0.07341432571411133,0.43359375,0.4334130883216858,0.43359375,0.6525925397872925,0.0367303341627121,0.707885205745697,0.21706359088420868,0.45281982421875,3.1882691383361816,0.5820031762123108,0.28175245225429535,0.06380851659923792,0.07243581488728523,0.9999999599531293,0.8446020185947418,0.3508114367723465,0.026995602995157242,0.18060018867254257,0.5320350825786591,0.5119312405586243,2.29296875,0.34648528695106506,0.33252792060375214,0.3209867775440216,0.46191734075546265,0.5093550086021423,0.24107675999403,0.03654447942972183,0.018541548401117325,0.03785230964422226,0.01891300641000271,0.037840068340301514,0.018769606947898865,-0.02341565489768982,0.0024200468324124813,0.4848724214049677,0.5639323065678279,0.515624574944377,0.21344959326088428,0.04179976116865873,3.4151934921741485,0.6047281901041667,0.5054158528645833,0.32325846403837205,0.5204386393229167,0.19394219445530325,0.36163160813739526,0.3564645378307129,0.21061137321521528,0.8477620442708333,1.9575525800387064,0.6971378177404404,0.5042317708333334,1.0,-0.003759324550628662,-0.0026711225509643555,-0.0011581182479858398,0.054115310311317444,last,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5042317708333334,0.7000025113423666,0.052492737350985405,0.36875036880373957,0.5005034089709322,1.1454703023036321,0.20079590218762558,0.0400064916194727,0.4050465943912665,0.059181409590928526,0.06501822151864568,0.03540838331294557,0.0019945614238774095,0.0,0.0,0.6882895434896151,0.6442592884103457,0.7427363693714142,0.28664707218607266,0.0,1.9575525800387064,0.3208180748411299,0.05703432487559136,0.06416361942744213,0.07371397963725031,0.07371397963725031,0.025273364296420672,0.11583625803226218,0.05265284330380382,0.02297800249119367,0.7000025113423666,0.005249273804171632,0.8289342513230319,0.057273516338318585,0.22352523568379185,0.014767595236116903,0.0031439805389406198,0.011123349410930435,0.007663289607333704,0.004651931112289276,0.0038804461751775913,0.00010936697732593833,0.0,0.0,0.03441447783261538,0.03221296512832244,0.03713681912049651,0.014332353812642395,0.0,6.7445236062724234e-09
2,0.92,teacher,0.8854585135976474,0.500390625,0.5042317708333334,0.3177083333333333,0.3177083333333333,0.4176432291666667,0.3177083333333333,0.31761924425760907,0.31761924425760907,0.724849005540212,0.22514503449201584,0.47743070125579834,0.2974242717027664,0.951818972826004,16.0,10.5,0.3509983420372009,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.439037024974823,0.9833838939666748,3.218423366546631,983040.0,0.375,0.37487637996673584,0.375,0.6756719350814819,0.08697325736284256,0.21484375,0.21475648880004883,0.21484375,0.6750618815422058,0.06888794898986816,0.36328125,0.3632248640060425,0.36328125,0.8238131999969482,0.031998585909605026,0.8526229858398438,0.29134321212768555,0.45574951171875,3.189115047454834,0.5644861906766891,0.3331516832113266,0.028848400339484215,0.07351373136043549,1.0000000055879354,0.8219900727272034,0.29224175214767456,0.024138123728334904,0.22194737195968628,0.6012221276760101,0.5210257470607758,2.513671875,0.349989578127861,0.33068661391735077,0.3193238079547882,0.4338291138410568,0.4805995672941208,0.21692057698965073,0.061291247606277466,0.02915855310857296,0.06329771131277084,0.02992129512131214,0.0644586831331253,0.02972104586660862,-0.0370415635406971,0.006417298689484596,0.34084449435273806,0.34144966353972755,0.37977476318677267,0.29049840942025185,0.027791401060918968,4.6479745725790655,0.7846923828125,0.514599609375,0.32281871860225997,0.5003682454427083,0.4362635167936484,0.08681077406120798,0.07917529356976351,0.05749198053963482,0.9824503580729167,2.3697838435570397,0.695124993721644,0.501953125,1.0,-0.0025278329849243164,-0.0038069486618041992,-0.000674903392791748,0.05034506693482399,last,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.501953125,0.6962607860565185,0.019771535710121194,0.0018228454086056446,0.38443743164340655,0.4659309382239977,0.255081744864583,0.024174374636883537,0.25062317239741483,0.005956873553581469,0.04913144086798032,0.08598750960081816,0.000855676317102431,0.0,0.0,0.6679556414484977,0.6083064446846644,0.7001332228382429,0.26455149513979753,0.0,2.3697838435570397,0.07125776236255964,0.012668046772402401,0.014251553513652955,0.020122192893177272,0.020122192893177272,0.006899037588542948,0.031620590132661164,0.014372995134908705,0.006231031488277949,0.6962607860565185,0.0019771536103993033,0.00428631593871008,0.0232965472775201,0.03581882764119655,0.005196876412567993,0.00048606327472953124,0.0017059729436975128,0.0007687160710250329,0.0007962118164869025,0.0028048783244836767,1.2818790509072642e-05,0.0,0.0,0.03339778271814187,0.030415322662641606,0.03500666193043192,0.013227574930836757,0.0,3.1977509529212966e-09
3,0.8464,teacher,0.8251797303557395,0.5032552083333334,0.5065104166666666,0.3177083333333333,0.3177083333333333,0.36181640625,0.3177083333333333,0.31757522622744244,0.31757522622744244,0.8170935114224752,0.27614190988242626,0.4361358657479286,0.2877222150564194,0.5865182727575302,16.0,5.5,0.4648030251264572,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4380955994129181,0.9832150936126709,3.217972755432129,1474560.0,0.3125,0.3123832643032074,0.3125,0.7744927406311035,0.11436178535223007,0.21484375,0.2147349715232849,0.21484375,0.7934749126434326,0.08351610600948334,0.42578125,0.42560744285583496,0.42578125,0.8833128809928894,0.007787393871694803,0.9263637065887451,0.030112527310848236,0.467559814453125,3.189773917198181,0.4194965064525604,0.26134921610355377,0.271189134567976,0.04796512611210346,0.9999999832361937,1.0823875069618225,0.25681281089782715,0.02894169115461409,0.2972166985273361,0.72178053855896,0.6662477254867554,2.724609375,0.4037898778915405,0.264298215508461,0.3319118767976761,0.09827148541808128,0.10326793417334557,0.03261695522814989,0.07884646207094193,0.037250496447086334,0.08138012886047363,0.03804049640893936,0.08385526388883591,0.03787529841065407,-0.05264269560575485,0.01123068667948246,0.32241151792307693,0.32330730333924296,0.3462236521144708,0.33382028887669246,0.02673628618940711,5.341124618053437,0.8916259765625,0.563330078125,0.3258130932847659,0.36207478841145835,0.2030180523482462,0.062174229960267745,0.05186381301221748,0.04336091216343144,0.99581298828125,2.406738657752673,0.6961603760719299,0.5065104166666666,1.0,0.002264678478240967,0.003530144691467285,-0.0009436607360839844,0.052997127175331116,last,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5065104166666666,0.6957152366638184,0.013104439689777791,0.0021052248360016773,0.32853155210614204,0.2636912349611521,0.28967255875468256,0.023171113959203165,0.23774659608801205,0.002520863482398757,0.044363324623554946,0.12857742439955472,0.0010229779431635204,0.0,0.0,0.5912216648459434,0.42620566083739203,0.47931037421027817,0.1685823378774027,0.0,2.406738657752673,0.04667743089764068,0.00829820988389353,0.009335486709217852,0.015176319047653427,0.015176319047653427,0.005203309335047379,0.023848502225397774,0.01084022804085786,0.004131969763936164,0.6957152366638184,0.0013104439936190222,0.0046546061642099325,0.013184561960709591,0.017405041974658766,0.004401781995935986,0.0003528273629247754,0.001239819517407644,9.552958435676828e-05,0.00046485352274127457,0.003077827807283029,1.1198556099619358e-05,0.0,0.0,0.029561083888014157,0.021310283352310458,0.023965519111758718,0.008429116998255874,0.0,2.098364482172599e-09
4,0.778688,teacher,0.8149377301335334,0.49778645833333335,0.5065104166666666,0.3177083333333333,0.3177083333333333,0.2849934895833333,0.3177083333333333,0.3176463345686595,0.3176463345686595,0.8568567037582397,0.2880361881107092,0.3976704627275467,0.31429335474967957,0.7583999931812286,14.5,7.5,0.2905029207468033,3.625,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.43795323371887207,0.9827196002006531,3.218562126159668,1966080.0,0.34375,0.3436914086341858,0.34375,0.8293443918228149,0.07422567903995514,0.1953125,0.195285826921463,0.1953125,0.8359370231628418,0.04276001453399658,0.4140625,0.4139617681503296,0.4140625,0.9052886962890625,0.0034759249538183212,0.9545947313308716,0.35376298427581787,0.467864990234375,3.1900054216384888,0.4172668308019638,0.46129269152879715,0.0550326369702816,0.06640787608921528,1.0000000353902578,1.0874840021133423,0.20482702553272247,0.019196916779037565,0.2640809491276741,0.6791273653507233,0.6299861669540405,2.84375,0.3859495222568512,0.2863676995038986,0.3276827782392502,0.16784290969371796,0.18565412610769272,0.07133417204022408,0.09117497503757477,0.045849964022636414,0.09388722479343414,0.04646036773920059,0.09784802794456482,0.04643804579973221,-0.07715007662773132,0.019360985606908798,0.34511209825674694,0.3462890721857548,0.3654685912032922,0.355270554125309,0.023269219820698104,5.684328866004944,0.9415608723958333,0.6364217122395833,0.33297755643725396,0.17354354858398438,0.17493220744654536,0.09527140782835583,0.08350149787341556,0.06811493819889923,0.9978474934895833,2.3570928871631622,0.6955777158339819,0.4840494791666667,1.0,0.0016791820526123047,0.0010766983032226562,0.0037845373153686523,0.04232022166252136,last,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4840494791666667,0.696772289276123,0.020964293003392715,0.003949015332727868,0.3203931073347727,0.18831370373566944,0.3075593297680219,0.020868138285974662,0.27895197123289106,0.007097220069893714,0.042898378521204,0.15299870955447356,0.0009039633310749196,0.0,0.0,0.49004444405436515,0.19636380753169458,0.22267077000190813,0.07256851772156854,0.0,2.3570928871631622,0.07515134612719218,0.013360239423733825,0.015030270225058,0.02384022793266922,0.02384022793266922,0.008173792440599452,0.037463216584486266,0.017028734549724808,0.006665341973227139,0.696772289276123,0.002096429340114507,0.008833340735812574,0.009415685358302046,0.0315357878843012,0.007348139224147113,0.0005197213167775772,0.002298342960420996,0.0004669057140707385,0.0007713321494520642,0.0057805883601152646,1.679018989572493e-05,0.0,0.0,0.024502222643544277,0.009818190508910144,0.011133538665793216,0.0036284259404055774,0.0,1.3465262238554487e-10
5,0.7163929600000001,teacher,0.7900917609532674,0.4970703125,0.5078125,0.3411458333333333,0.3411458333333333,0.3169759114583333,0.3411458333333333,0.341067632039388,0.341067632039388,0.8823747237523397,0.2841183412820101,0.3812631368637085,0.334618479013443,0.37973055988550186,15.0,5.0,0.46431176364421844,3.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.437669038772583,0.9830066561698914,3.218148946762085,2457600.0,0.2890625,0.28897643089294434,0.2890625,0.865993320941925,0.04887648671865463,0.20703125,0.20696032047271729,0.20703125,0.8695231676101685,0.029635652899742126,0.52734375,0.5272661447525024,0.52734375,0.9116076827049255,0.0008444237755611539,0.961587131023407,0.02117401547729969,0.45465087890625,3.190614700317383,0.34144800901412964,0.3514266312122345,0.2697630904149264,0.037362271919846535,1.000000002561137,1.1052573919296265,0.17768023163080215,0.012866469041910022,0.26161810755729675,0.6644432544708252,0.7231080681085587,2.990234375,0.4328529089689255,0.22785204648971558,0.33929504454135895,0.027510510990396142,0.029755211668089032,0.008433788214460947,0.10288935154676437,0.053856827318668365,0.10553918778896332,0.054290901869535446,0.11126592755317688,0.054547082632780075,-0.08779499679803848,0.024265656247735023,0.33832273781299593,0.33867188543081284,0.33891934901475906,0.3665770339469115,0.01609439847525209,5.86523255109787,0.9586466471354167,0.6537109375,0.3323961707452933,0.1421192169189453,0.17146976222284138,0.07870191647671163,0.06590535004312793,0.05647716475650668,0.99822998046875,2.3819471190373105,0.6939886858065923,0.5078125,1.0,-0.00037848949432373047,8.779764175415039e-05,0.0032706260681152344,0.0436524860560894,last,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5078125,0.695848035812378,0.013366606350367268,0.002218737321588075,0.29425099107126396,0.14525921766956648,0.31671426917115847,0.014835706477363904,0.2879425888260206,0.00623670935165137,0.03944903379306197,0.16648113454381624,0.00040983690232678784,0.0,0.0,0.46752581720550856,0.15944360448047518,0.18297436906335254,0.059883188266151896,0.0,2.3819471190373105,0.059314812727582954,0.010544855745198827,0.011862963457436612,0.0197670073985743,0.0197670073985743,0.006777259617228993,0.031062441299824665,0.01411929118912667,0.00526299473325101,0.695848035812378,0.0013366606581257656,0.004951883619105502,0.007262960980491092,0.022738634967633214,0.006100556003123832,0.0002942395720310742,0.0019665335727040655,0.0005165592183251041,0.0005450432163949397,0.005033527834651371,5.777777776453755e-06,0.0,0.0,0.023376291198655964,0.007972180371871218,0.009148718625268278,0.002994159462832613,0.0,1.9381011240326984e-09
6,0.6590815232000001,teacher,0.7887913713852565,0.4952473958333333,0.5078125,0.48828125,0.48828125,0.2890625,0.48828125,0.4877726286649704,0.4877726286649704,0.8931870063145956,0.290983100887388,0.3402533642947674,0.3687635511159897,0.6239224374294281,15.0,8.0,0.2731460779905319,3.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.43770304322242737,0.982641875743866,3.218143939971924,2949120.0,0.30859375,0.3085196614265442,0.30859375,0.880745530128479,0.03855324536561966,0.15625,0.15619118511676788,0.15625,0.8871952295303345,0.019924703985452652,1.0,0.9986070394515991,1.0,0.9116202592849731,0.001645364100113511,0.9695340394973755,0.1815941482782364,0.464996337890625,3.1904027462005615,0.3177386224269867,0.5757312476634979,0.05839119292795658,0.048138920683413744,0.9999999837018549,1.101284384727478,0.18103157728910446,0.009671935229562223,0.23425879329442978,0.6223950982093811,0.6613782346248627,3.046875,0.4011772871017456,0.2705078125,0.3283149152994156,0.11854527145624161,0.1335538923740387,0.051233126781880856,0.11371753364801407,0.061493780463933945,0.11631888896226883,0.06204379349946976,0.1238531544804573,0.06231766566634178,-0.09537239372730255,0.029371049255132675,0.35877171779672307,0.3593099077542623,0.31037245988845824,0.3386345652242502,0.01098283992614597,5.418153031667074,0.9650838216145833,0.6569986979166667,0.33134350230296455,0.14088567097981772,0.1728264222232004,0.11024979593542715,0.08271697567154963,0.07745735252586504,0.99853515625,2.3346253206332523,0.694765051205953,0.5055338541666666,1.0,-0.0002276897430419922,0.0005415678024291992,-0.0001385211944580078,0.04071614146232605,last,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5055338541666666,0.695774507522583,0.01309845072682947,0.0017253329004309611,0.26404030111928783,0.13092306858549516,0.2852110018332799,0.01006864437367767,0.29196538726488747,0.001290417741984129,0.03493053414858878,0.14309663934012254,0.00017151429698666714,0.0,0.0,0.4650978334248066,0.15679710077432293,0.18154741112763684,0.05931400583746533,0.0,2.3346253206332523,0.07444527632712077,0.013234715769067406,0.014889056113315747,0.027110072950987767,0.027110072950987767,0.00929488211501545,0.04260154481356342,0.01936433813146626,0.006607664495822974,0.695774507522583,0.0013098450930556283,0.003943972627272766,0.006546153531720241,0.020588771837841097,0.0077816571351528785,0.0002793931398931212,0.002719816699391231,1.603870314283995e-05,0.0005299791694900099,0.006159930909052491,3.4889264275269244e-06,0.0,0.0,0.023254892074813446,0.007839855203443827,0.009077370719751343,0.002965700334122327,0.0,2.2418973344429105e-09
7,0.6063550013440001,teacher,0.8550211220979691,0.5005859375,0.5104166666666666,0.33203125,0.33203125,0.2911783854166667,0.33203125,0.33193092544873554,0.33193092544873554,0.8795822262763977,0.23170578246936202,0.3774513266980648,0.39084289968013763,0.5998620390892029,10.5,9.5,0.2888115793466568,2.625,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.43755877017974854,0.9834791421890259,3.2185020446777344,3440640.0,0.33984375,0.33982324600219727,0.33984375,0.879706084728241,0.01936839520931244,0.21484375,0.21481776237487793,0.21484375,0.8751822710037231,0.010851610451936722,0.44140625,0.44115176796913147,0.44140625,0.883858323097229,0.002077818149700761,0.9709227681159973,0.18197277188301086,0.46185302734375,3.1903438568115234,0.39803601801395416,0.5236691832542419,0.042991123627871275,0.03530364949256182,0.9999999743886292,1.0917980074882507,0.17692208290100098,0.004598714614985511,0.17152950912714005,0.4966120421886444,0.6561059951782227,3.00390625,0.38815152645111084,0.28184840083122253,0.33000005781650543,0.13992317765951157,0.1571243703365326,0.05878402665257454,0.12338965386152267,0.07169228047132492,0.1263403445482254,0.07245229184627533,0.1358446627855301,0.07319518178701401,-0.10105758905410767,0.03631468489766121,0.42294731015960374,0.4235243178904057,0.3757367879152298,0.30498347356915473,0.006647724149903903,4.8797355930010475,0.9692464192708333,0.6622639973958333,0.3324377174178759,0.14990234375,0.15169172698321443,0.2083418775194635,0.1873094230890274,0.13674401470149558,0.99853515625,2.1874871869881947,0.693343460559845,0.5104166666666666,1.0,-0.0015988349914550781,-0.002261936664581299,0.000548243522644043,0.03594391420483589,last,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5104166666666666,0.6952554225921631,0.01417496989791592,0.0026191495733996818,0.28785343480606873,0.12878378226111334,0.2480431475987037,0.006043216652081658,0.2663400650024414,0.025687394950849315,0.037999301046753926,0.11517212850352128,5.419924581625916e-05,0.0,0.0,0.4572780646383762,0.1659184746754666,0.19310127156786622,0.06283771701855585,0.0,2.1874871869881947,0.168578476846839,0.029969507147325204,0.03371569762239233,0.04786040456965566,0.04786040456965566,0.016409281468562163,0.07520920957904309,0.034186003675373895,0.014962803198917149,0.6952554225921631,0.001417497018701397,0.005319204550422303,0.0064391891860092676,0.07418581667977074,0.011045624190592207,0.00028529602509479445,0.0043787807706394235,0.0029614380547476078,0.0015637928183423356,0.008210463355256555,1.8125605687776177e-06,0.0,0.0,0.022863903595134617,0.008295923885695326,0.009655063746807475,0.0031418859000647598,0.0,7.1679584490169646e-09
