epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,state_norm_none,state_norm_layernorm,slot_address_used_by_controller,slot_address_used_by_executor,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,action_L0_0_1_merge_present,action_L0_0_1_merge_choice_mass,action_L0_0_1_merge_recovery,action_L0_0_1_merge_active,action_L0_0_1_merge_tape,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,scanner_source_mass_sum,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,cell_write_mass_mean,target_write_gate_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,gain_disabled_delta,sim_result_disabled_delta,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_items,credit_staleness_mean,credit_age_max,ce_loss,sim_loss,expected_choice_loss,non_expected_primitive_loss,expected_active_loss,non_expected_active_loss,non_expected_tape_loss,non_expected_transform_loss,primitive_usage_diversity,cell_choice_diversity,active_budget,tape_budget,layer_action_diversity,min_transform_loss,eff_lambda_choice,eff_lambda_non_expected_primitive,eff_lambda_primitive_usage_diversity,eff_lambda_cell_choice_diversity,eff_lambda_non_expected_active,eff_lambda_non_expected_tape,eff_lambda_non_expected_transform,eff_lambda_active_budget,eff_lambda_tape_budget,eff_lambda_layer_action_diversity,weighted_ce_loss,weighted_sim_loss,weighted_expected_choice_loss,weighted_expected_active_loss,weighted_non_expected_primitive_loss,weighted_non_expected_active_loss,weighted_non_expected_tape_loss,weighted_non_expected_transform_loss,weighted_primitive_usage_diversity,weighted_cell_choice_diversity,weighted_active_budget,weighted_tape_budget,weighted_layer_action_diversity,weighted_min_transform_loss,loss_accounting_error
1,1.0,2.893521242141724,0.5584375,0.658203125,1.0,1.0,0.720947265625,1.0,0.9983428120613098,0.6359399557113647,0.3617749810218811,0.34481412172317505,0.29341089725494385,1.230637788772583,16.0,16.0,0.5882389545440674,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4396912753582001,0.986923098564148,1.441465139389038,1.0,0.9983428120613098,1.0,0.6359399557113647,0.16698262095451355,0.42608642578125,0.5219630002975464,0.08286863565444946,0.36769264936447144,0.027475712820887566,0.9999999981373549,0.8882710933685303,0.5223321914672852,0.059708546847105026,0.21079745888710022,0.5996625423431396,0.031443122774362564,0.017604243010282516,0.03153977543115616,0.01838531345129013,0.03136013448238373,0.01794479601085186,0.023148270323872566,0.016718344762921333,0.7881349604576826,1.0,0.6205509473383427,0.25993360742926597,0.06534192707389593,4.158937721252442,0.8116927082045003,0.5772560442415124,0.5692700401763432,1.2824609434604646,0.6383987903594971,0.658203125,1.0,0.0010897517204284668,0.005702972412109375,0.006819784641265869,0.04395579174160957,last,1.0,0.0,0.0,0.6832157230377197,0.0723630141466856,0.8673015763657168,0.5667463412135839,0.9084397956728936,0.248150475025177,0.06199007485061884,0.45956044852733613,0.06548096738155891,0.07978687476366758,0.006974963198881596,0.0025474731565918772,0.0,0.0,1.2824609434604646,0.1443140110603781,0.028862802800122152,0.028862802800122152,0.011385400548642793,0.028463502596860053,0.011385400548642793,0.011385400548642793,0.011385400548642793,0.028862802800122152,0.6832157230377197,0.007236301554366946,2.0368576921848582,0.045421990677714345,0.1055105139345278,0.0029032334468229236,0.0017326067334442997,0.004995929624910787,0.0030940155012921344,0.0024298491414344882,9.471852601151909e-05,2.8696270270955892e-05,0.0,0.0,2.8491650372330923e-08
2,0.92,0.5368407934904098,0.789296875,0.83046875,1.0,1.0,0.559326171875,1.0,0.9989105463027954,0.7800309658050537,0.3103434443473816,0.3862743675708771,0.30338218808174133,0.8418241143226624,16.0,7.0,0.4679414927959442,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.43949973583221436,0.9840452671051025,1.2630712985992432,1.0,0.9989105463027954,1.0,0.7800309658050537,0.10360801219940186,0.4278564453125,0.3705984055995941,0.23590031266212463,0.35613295435905457,0.03736831247806549,0.9999999850988388,1.0260958671569824,0.5010223984718323,0.08030432462692261,0.25405365228652954,0.6715400815010071,0.049248967319726944,0.04518316686153412,0.04989493638277054,0.046518005430698395,0.04911031201481819,0.04550548270344734,0.012223977595567703,0.04289618134498596,0.9886298722028732,1.0,0.42028018832206726,0.3232692304253578,0.07045743640512228,5.172307686805725,0.9988072717189789,0.1728687657415867,0.807662268280983,1.0017890918254853,0.3774926334619522,0.83046875,1.0,0.02358385920524597,0.025422275066375732,0.16165679693222046,0.05123380199074745,last,1.0,0.0,0.0,0.4719639390707016,0.030029513761401175,0.014892033936921506,0.3823290514945984,0.3276316037774086,0.2963526681065559,0.0658089492842555,0.31872167319059375,0.00030605005827965214,0.046714634001255036,0.020727865267544984,0.0031283239752519874,0.0,0.0,1.0017890918254853,0.04321719143539667,0.0086434384342283,0.0086434384342283,0.016153244990855454,0.040383114255964754,0.016153244990855454,0.016153244990855454,0.016153244990855454,0.0086434384342283,0.4719639390707016,0.0030029514245688916,0.014919937320519239,0.01638158045709133,0.01715434031561017,0.00479324004612863,0.002667744033969939,0.005142991384491325,5.728927326913436e-06,0.0004207469412358478,0.0003367118471942376,5.087948593427427e-05,0.0,0.0,2.235637452940864e-09
3,0.8464,0.3819439607858658,0.8571875,0.8703125,1.0,1.0,0.389404296875,1.0,0.9976635575294495,0.819083571434021,0.3141358494758606,0.39304018020629883,0.2928239703178406,0.8904746770858765,16.0,5.0,0.42858102917671204,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4392339289188385,0.9841815233230591,1.4636504650115967,1.0,0.9976635575294495,1.0,0.819083571434021,0.07034608721733093,0.424072265625,0.44166603684425354,0.2677972912788391,0.24180495738983154,0.0487317256629467,1.000000011175871,1.0630096197128296,0.482654869556427,0.08939728885889053,0.2801310122013092,0.7098243236541748,0.06570722162723541,0.06223491579294205,0.06630726158618927,0.06398405879735947,0.0648130401968956,0.06239709258079529,0.009745552204549313,0.05734483525156975,0.994237077832222,1.0,0.39347516238689423,0.3605853381752968,0.08670629598200322,5.7693653535842895,0.998889467716217,0.12498487822711468,0.8619682103395462,1.00166579246521,0.31920047998428347,0.8703125,1.0,0.028383463621139526,0.02327287197113037,0.17731600999832153,0.052932389080524445,last,1.0,0.0,0.0,0.33594196259975434,0.017547018965706228,0.007589144425583072,0.30625816449522975,0.2245048488676548,0.3311071863770485,0.08665567196905613,0.3181037244200706,0.0,0.042805690802633765,0.03276734421029687,0.005159030226059258,0.0,0.0,1.00166579246521,0.03124621955677867,0.006249244045466185,0.006249244045466185,0.01723936393857002,0.04309841126203537,0.01723936393857002,0.01723936393857002,0.01723936393857002,0.006249244045466185,0.33594196259975434,0.0017547019163612276,0.0076023422292200845,0.011225242633372545,0.009561482318677008,0.005711930468678474,0.003738168303389102,0.005484744324348867,0.0,0.00026797935395734385,0.0005663029101560823,8.910128977731801e-05,0.0,0.0,2.4381733854106358e-09
4,0.778688,0.33304182335734367,0.87421875,0.88046875,1.0,1.0,0.254150390625,1.0,0.999221920967102,0.8484216928482056,0.28763848543167114,0.43198561668395996,0.2803758978843689,0.7507728934288025,15.0,5.0,0.4097285568714142,3.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4372043013572693,0.984660267829895,1.7051756381988525,1.0,0.999221920967102,1.0,0.8484216928482056,0.04171406105160713,0.425537109375,0.40032467246055603,0.2889282703399658,0.21712449193000793,0.09362253546714783,0.9999999701976776,1.0772781372070312,0.4398592710494995,0.07926387339830399,0.2908574342727661,0.729282021522522,0.08155759423971176,0.07725821435451508,0.08120433986186981,0.07851661741733551,0.0790080726146698,0.07689134776592255,0.012799553573131561,0.06993509083986282,0.9961107403039933,1.0,0.4086250501871109,0.3777730447053909,0.0861047488451004,6.044368739128113,0.9989153325557709,0.14759398996829987,0.8827694237232209,1.001627002954483,0.27478224635124204,0.88046875,1.0,0.01716482639312744,0.004793107509613037,0.08675780892372131,0.043028321117162704,last,1.0,0.0,0.0,0.29274798423051834,0.015993791623041032,0.005947676243376918,0.19199251294136047,0.18248803183436393,0.3472044053673744,0.08807870991528034,0.3094399121403694,0.0,0.04049150984734297,0.03914534371346235,0.005071258142124862,0.0,0.0,1.001627002954483,0.036898497492074966,0.007379699619486928,0.007379699619486928,0.017655388098210097,0.0441384718939662,0.017655388098210097,0.017655388098210097,0.017655388098210097,0.007379699619486928,0.29274798423051834,0.0015993791818618775,0.005957957519567572,0.009124401765875518,0.00704855578020215,0.006130725215189159,0.003888019477017224,0.005463223541155458,0.0,0.0003006272485072259,0.0006913962354883552,8.955313547630795e-05,0.0,0.0,2.6484481274735572e-11
5,0.7163929600000001,0.29586519837379455,0.891015625,0.896484375,1.0,1.0,0.141845703125,1.0,0.998971164226532,0.8733572959899902,0.2700808048248291,0.4385610818862915,0.2913581132888794,0.7353692054748535,13.0,2.0,0.4430934190750122,3.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.43586212396621704,0.9844536781311035,1.809478521347046,1.0,0.998971164226532,1.0,0.8733572959899902,0.029426081106066704,0.43060302734375,0.5303753018379211,0.2592778205871582,0.1386781930923462,0.07166867703199387,0.9999999925494194,1.0771503448486328,0.39809906482696533,0.06941494345664978,0.28780224919319153,0.731523334980011,0.09701581299304962,0.09063376486301422,0.09507689625024796,0.09196797758340836,0.09205137938261032,0.09035243093967438,0.012528235092759132,0.0817149206995964,0.9971159237623215,1.0,0.40825064152479174,0.37208652317523955,0.07330128088593484,5.953384294509887,0.9989292764663696,0.14821101851761342,0.8763954800367355,1.0016060853004456,0.24874981343746186,0.896484375,1.0,0.0029654204845428467,-0.004470959305763245,0.032245174050331116,0.03444819152355194,last,1.0,0.0,0.0,0.26222590506076815,0.016119944769889115,0.004400125319079962,0.12472421355545521,0.15549486979842186,0.33965089052915576,0.07576265305280686,0.2853884044289589,1.7292118549505632e-06,0.04290973607450724,0.03693188169971109,0.0034124326682649555,0.0,0.0,1.0016060853004456,0.037052754629403356,0.00741055105580017,0.00741055105580017,0.017527909129858018,0.0438197747245431,0.017527909129858018,0.017527909129858018,0.017527909129858018,0.00741055105580017,0.26222590506076815,0.0016119944979436696,0.0044075333354703615,0.007774743628688157,0.004536824347451329,0.005954206297174096,0.0033205094328150153,0.005002357023768127,2.101519654490458e-08,0.00032361975594540125,0.0006476445635780693,5.9840169597009664e-05,0.0,0.0,7.546013813808372e-10
