epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,layer_output_credit,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,state_norm_none,state_norm_layernorm,slot_address_used_by_controller,slot_address_used_by_executor,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,usage_credit_observations,action_L0_0_1_diff_present,action_L0_0_1_diff_choice_mass,action_L0_0_1_diff_recovery,action_L0_0_1_diff_active,action_L0_0_1_diff_tape,action_L0_2_3_diff_present,action_L0_2_3_diff_choice_mass,action_L0_2_3_diff_recovery,action_L0_2_3_diff_active,action_L0_2_3_diff_tape,action_L1_1_3_merge_present,action_L1_1_3_merge_choice_mass,action_L1_1_3_merge_recovery,action_L1_1_3_merge_active,action_L1_1_3_merge_tape,layer_listen_score,layer_action_similarity,semantic_grid_mismatch,semantic_neighbor_entropy,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,scanner_source_mass_sum,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,cell_write_mass_mean,target_write_gate_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,signal_layer_listen_score,signal_layer_action_similarity,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_dependency_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,gain_disabled_delta,sim_result_disabled_delta,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_items,credit_staleness_mean,credit_age_max,ce_loss,sim_loss,expected_choice_loss,non_expected_primitive_loss,expected_active_loss,non_expected_active_loss,non_expected_tape_loss,non_expected_transform_loss,primitive_usage_diversity,cell_choice_diversity,active_budget,tape_budget,layer_action_diversity,min_transform_loss,eff_lambda_choice,eff_lambda_non_expected_primitive,eff_lambda_primitive_usage_diversity,eff_lambda_cell_choice_diversity,eff_lambda_non_expected_active,eff_lambda_non_expected_tape,eff_lambda_non_expected_transform,eff_lambda_active_budget,eff_lambda_tape_budget,eff_lambda_layer_action_diversity,weighted_ce_loss,weighted_sim_loss,weighted_expected_choice_loss,weighted_expected_active_loss,weighted_non_expected_primitive_loss,weighted_non_expected_active_loss,weighted_non_expected_tape_loss,weighted_non_expected_transform_loss,weighted_primitive_usage_diversity,weighted_cell_choice_diversity,weighted_active_budget,weighted_tape_budget,weighted_layer_action_diversity,weighted_min_transform_loss,loss_accounting_error
1,1.0,5.505897957086563,0.50546875,0.46640625,0.55078125,0.55078125,0.5557454427083334,0.55078125,0.5144492983818054,0.5144492983818054,0.258458877603213,0.5205468237400055,0.28747041523456573,0.19198276847600937,1.037780076265335,16.0,16.0,0.5936683118343353,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.5005097389221191,0.9883875846862793,3.2182390689849854,81920.0,0.33203125,0.3179885745048523,0.33203125,0.24726912379264832,0.06797546148300171,0.3203125,0.30614548921585083,0.3203125,0.20665578544139862,0.06780626624822617,1.0,0.9192138314247131,1.0,0.32145172357559204,0.08725235611200333,0.5761083364486694,0.020388903096318245,0.468048095703125,3.1935237646102905,0.3679194636642933,0.1302200024947524,0.468903262168169,0.03295723279006779,0.9999999611172825,0.949183464050293,0.5653780102729797,0.08103004097938538,0.22203578799962997,0.6242190599441528,0.004452490713447332,0.0022532485891133547,0.0037038754671812057,0.002031296957284212,0.0037329518236219883,0.002148920437321067,0.0005739027983509004,0.001377246342599392,0.2215883821249008,0.5325520843267441,0.28567943423986436,0.2575472004711628,0.07529243007302285,4.120755159854889,0.5658177167177201,0.3104052314534783,0.0733588192728348,0.01580423820796568,0.051240407722070815,0.8094879627227783,2.389961767196655,0.712583351135254,0.46640625,1.0,-0.0009210705757141113,-0.00017589330673217773,9.053945541381836e-05,0.04638667032122612,last,1.0,0.0,0.0,0.7033659756183624,0.06313661858439445,1.9164767883718015,0.2217687009833753,1.5194255828857421,0.2599061168730259,0.0759158331900835,0.5157834231853485,0.004399777867365629,0.06101621128618717,0.011278795171529054,0.0036713155335746706,0.0,0.0,2.389961767196655,0.00395105955199142,0.0007902119214691083,0.0007902119214691083,0.0010248081297504542,0.002562020417462918,0.0010248081297504542,0.0010248081297504542,0.0010248081297504542,0.000645229244850043,0.7033659756183624,0.006313661928288639,4.717270646989346,0.07597128041088581,0.0018742754286165564,0.0002750070355432399,0.00020096135907579082,0.0005292909383115329,1.8487583020032616e-05,5.979640926376817e-05,1.4604010394236866e-05,4.115305170060424e-06,0.0,0.0,1.4592971453453174e-07
2,0.92,1.040869840979576,0.4984375,0.51015625,0.3424479166666667,0.3424479166666667,0.3350423177083333,0.3424479166666667,0.3392497996489207,0.3392497996489207,0.3496386806170146,0.4990628510713577,0.2945023328065872,0.20643480867147446,1.2042547464370728,16.0,13.0,0.3225278854370117,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.5015513300895691,0.9873701930046082,3.218141555786133,163840.0,0.3125,0.31082892417907715,0.3125,0.3039871156215668,0.09116615355014801,0.359375,0.35692575573921204,0.359375,0.27225005626678467,0.09492712467908859,0.35546875,0.3499947190284729,0.35546875,0.47267886996269226,0.09892044961452484,0.6303771138191223,0.14653953909873962,0.469879150390625,3.193807005882263,0.4914584159851074,0.17712359689176083,0.22042841650545597,0.11098958551883698,1.0000000149011612,0.9005786180496216,0.5483385026454926,0.08863601088523865,0.26368677616119385,0.6948212683200836,0.011556040495634079,0.0047819167375564575,0.010835482738912106,0.004510083235800266,0.010815071873366833,0.00479620648548007,0.0006676952471025288,0.0019541974179446697,0.5073551893234253,0.5345052078366279,0.6031905859708786,0.3023998081684113,0.08546308465301991,4.8383970022201535,0.5983131498098373,0.06176832285709679,0.3684218415990472,0.27238833374576643,0.2861602671444416,0.8626883804798127,1.9473672330379486,0.697499942779541,0.51015625,1.0,0.0005981326103210449,-0.0001322031021118164,0.001931905746459961,0.04375462606549263,last,1.0,0.0,0.0,0.7091514497995377,0.08436721339821815,0.09498457820154727,0.5966272987425327,1.2791288077831269,0.30191238671541215,0.08540162481367589,0.5140748679637909,0.1046388752758503,0.07806483097374439,0.030296411644667388,0.004996367311105132,0.0,0.0,1.9473672330379486,0.06809708343644161,0.013619417045993032,0.013619417045993032,0.005723205261165276,0.014308013417758048,0.005723205261165276,0.005723205261165276,0.005723205261165276,0.011845326479669894,0.7091514497995377,0.00843672149349004,0.20659918216988443,0.06395644154399634,0.043862481110045336,0.0017456819587096106,0.0012262859057955212,0.0029344848662731238,0.001657934380637016,0.0010869689493574696,0.00018334932933612437,2.8859607448339374e-05,0.0,0.0,1.3493495210070705e-10
1,1.0,5.505898052453995,0.50546875,0.46640625,0.55078125,0.55078125,0.5557454427083334,0.55078125,0.514449288447698,0.514449288447698,0.258458877603213,0.5205468237400055,0.28747043013572693,0.19198276847600937,1.0377801060676575,16.0,16.0,0.5936683267354965,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.5005097389221191,0.9883875846862793,3.2182390689849854,81920.0,0.33203125,0.3179885745048523,0.33203125,0.24726912379264832,0.06797546148300171,0.3203125,0.30614545941352844,0.3203125,0.20665578544139862,0.06780626624822617,1.0,0.9192138314247131,1.0,0.32145172357559204,0.08725234866142273,0.5761083364486694,0.020388906821608543,0.468048095703125,3.1935237646102905,0.367919497191906,0.13022000947967172,0.468903262168169,0.0329572269693017,0.9999999958090484,0.9491835236549377,0.5653780102729797,0.08103004097938538,0.22203578054904938,0.6242190599441528,0.004452491644769907,0.002253248356282711,0.0037038754671812057,0.0020312967244535685,0.0037329529877752066,0.002148920437321067,0.0005739030311815441,0.001377246342599392,0.2215883767232299,0.5325520843267441,0.28567942380905154,0.2575472004711628,0.07529242746531964,4.120755219459534,0.5658177137374878,0.3104052500799298,0.07335881619947031,0.015804236662552283,0.05124040527152829,0.8094879567623139,2.389961767196655,0.7125833392143249,0.46640625,1.0,-0.0009210705757141113,-0.00017589330673217773,9.053945541381836e-05,0.04638667032122612,last,1.0,0.0,0.0,0.7033659666776657,0.06313661728054284,1.916476835310459,0.22176869492977858,1.5194256067276002,0.25990611389279367,0.07591583132743836,0.5157834082841873,0.004399777765502222,0.06101621128618717,0.011278795078396797,0.003671315172687173,0.0,0.0,2.389961767196655,0.003951059165638071,0.0007902118536208036,0.0007902118536208036,0.0010248080769997615,0.002562020292680245,0.0010248080769997615,0.0010248080769997615,0.0010248080769997615,0.0006452291924574638,0.7033659666776657,0.006313661788590252,4.717270740866661,0.07597128190100193,0.0018742752310373588,0.0002750070215370215,0.00020096134352343142,0.0005292909001127555,1.84875818675323e-05,5.9796401862755036e-05,1.460400935116013e-05,4.1153044580966025e-06,0.0,0.0,1.365736741476553e-07
2,0.92,1.0408698946237565,0.4984375,0.51015625,0.3424479166666667,0.3424479166666667,0.3350423177083333,0.3424479166666667,0.3392497996489207,0.3392497996489207,0.349638690551122,0.4990628808736801,0.29450231045484543,0.20643481612205505,1.2042538523674011,16.0,13.0,0.3225278854370117,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.5015513896942139,0.9873702526092529,3.218141555786133,163840.0,0.3125,0.31082892417907715,0.3125,0.3039871156215668,0.0911661759018898,0.359375,0.35692575573921204,0.359375,0.27225005626678467,0.09492714703083038,0.35546875,0.3499947190284729,0.35546875,0.47267889976501465,0.09892047941684723,0.6303770542144775,0.14653897285461426,0.469879150390625,3.193807005882263,0.4914584457874298,0.17712327372282743,0.22042865958064795,0.11098960787057877,0.999999986961484,0.9005785584449768,0.5483385026454926,0.08863601833581924,0.26368675380945206,0.6948212385177612,0.011556042358279228,0.004781918600201607,0.010835482738912106,0.00451008602976799,0.010815071873366833,0.004796208813786507,0.0006676975754089653,0.001954197185114026,0.5073551774024964,0.5345052078366279,0.6031906008720398,0.3023998007178307,0.08546307981014252,4.838396954536438,0.5983131468296051,0.06176838306710124,0.3684218304231763,0.2723883381811902,0.2861602577380836,0.8626883804798127,1.947367250919342,0.6974998712539673,0.51015625,1.0,0.0005980730056762695,-0.0001289844512939453,0.001931905746459961,0.04375520721077919,last,1.0,0.0,0.0,0.7091514229774475,0.08436722122132778,0.09498461158946156,0.5966273076832295,1.2791288316249847,0.30191238671541215,0.08540161848068237,0.5140748500823975,0.10463885180652141,0.07806485015898942,0.03029640894383192,0.004996366705745459,0.0,0.0,1.947367250919342,0.06809708454529755,0.01361941718387243,0.01361941718387243,0.005723205086542294,0.014308012928813696,0.005723205086542294,0.005723205086542294,0.005723205086542294,0.011845326548427692,0.7091514229774475,0.0084367222385481,0.20659925760701298,0.06395644266158343,0.04386248259797867,0.0017456818975915666,0.0012262857489986345,0.0029344846960157158,0.0016579340575844982,0.0010869692142023268,0.0001833493086451199,2.8859602787179027e-05,0.0,0.0,2.015360767160246e-09
