epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,state_norm_none,state_norm_layernorm,slot_address_used_by_controller,slot_address_used_by_executor,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,action_L0_0_1_diff_present,action_L0_0_1_diff_choice_mass,action_L0_0_1_diff_recovery,action_L0_0_1_diff_active,action_L0_0_1_diff_tape,action_L0_2_3_diff_present,action_L0_2_3_diff_choice_mass,action_L0_2_3_diff_recovery,action_L0_2_3_diff_active,action_L0_2_3_diff_tape,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,scanner_source_mass_sum,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,cell_write_mass_mean,target_write_gate_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,gain_disabled_delta,sim_result_disabled_delta,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_items,credit_staleness_mean,credit_age_max,ce_loss,sim_loss,expected_choice_loss,non_expected_primitive_loss,expected_active_loss,non_expected_active_loss,non_expected_tape_loss,non_expected_transform_loss,primitive_usage_diversity,cell_choice_diversity,active_budget,tape_budget,layer_action_diversity,min_transform_loss,eff_lambda_choice,eff_lambda_non_expected_primitive,eff_lambda_primitive_usage_diversity,eff_lambda_cell_choice_diversity,eff_lambda_non_expected_active,eff_lambda_non_expected_tape,eff_lambda_non_expected_transform,eff_lambda_active_budget,eff_lambda_tape_budget,eff_lambda_layer_action_diversity,weighted_ce_loss,weighted_sim_loss,weighted_expected_choice_loss,weighted_expected_active_loss,weighted_non_expected_primitive_loss,weighted_non_expected_active_loss,weighted_non_expected_tape_loss,weighted_non_expected_transform_loss,weighted_primitive_usage_diversity,weighted_cell_choice_diversity,weighted_active_budget,weighted_tape_budget,weighted_layer_action_diversity,weighted_min_transform_loss,loss_accounting_error
1,1.0,1.8145676732063294,0.539296875,0.602734375,1.0,1.0,0.677734375,1.0,0.9893812835216522,0.44480204582214355,0.38098230957984924,0.3999693989753723,0.21904829144477844,1.2486664056777954,16.0,16.0,0.5666631460189819,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.46988019347190857,0.985016942024231,1.362990140914917,1.0,0.986716091632843,1.0,0.4512544274330139,0.11358335614204407,1.0,0.9920464754104614,1.0,0.4383496642112732,0.12281005084514618,0.39703369140625,0.37526339292526245,0.15441423654556274,0.38263654708862305,0.08768586069345474,1.000000037252903,0.9340198040008545,0.5358116626739502,0.05573621764779091,0.18716353178024292,0.5564088821411133,0.027426861226558685,0.01618923991918564,0.028030188754200935,0.016035502776503563,0.02750919573009014,0.015974372625350952,0.010651306249201298,0.00801292434334755,0.8803569288551807,1.0,0.7797086584568024,0.2284245777130127,0.0607594021782279,3.6547932624816895,0.9226479344628751,0.910417362852022,0.5673712232802063,1.1160280966758729,0.6613695204257966,0.602734375,1.0,0.0018801689147949219,0.00628972053527832,0.015597224235534668,0.037869904190301895,last,1.0,0.0,0.0,0.6898280620574951,0.06783807381987572,0.2849572280794382,0.762182348817587,1.1395314639806748,0.21229795411229133,0.05631945718079805,0.4622748810052872,0.15328550186008216,0.0812419579550624,0.016524782041087746,0.0030293982359580695,0.0,0.0,1.1160280966758729,0.546250440464355,0.0728333873412339,0.0728333873412339,0.056737123019993306,0.08510568635538221,0.03404227248451207,0.06808454496902414,0.056737123019993306,0.045520868801977483,0.6898280620574951,0.0067838075151667,0.5671156477928162,0.0569765742495656,0.4421790523105301,0.012038859211024829,0.004701702098100213,0.015399028222891502,0.01221664195501944,0.0060181358400222965,0.0011425424228036717,0.00016763267979058583,0.0,0.0,1.3148896860215586e-08
2,0.92,0.8069865614175796,0.69625,0.766015625,1.0,1.0,0.291748046875,1.0,0.9978115558624268,0.6207306385040283,0.27097249031066895,0.47614502906799316,0.2528824508190155,1.2403675317764282,11.0,4.0,0.30103811621665955,2.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4731138348579407,0.9839766025543213,2.512157440185547,1.0,0.9974663853645325,1.0,0.612858772277832,0.182484433054924,1.0,0.998156726360321,1.0,0.6286025047302246,0.21547861397266388,0.39129638671875,0.34990018606185913,0.12969186902046204,0.259939044713974,0.26046890020370483,1.0,0.979877233505249,0.4959755539894104,0.06161816045641899,0.1914840042591095,0.5460479259490967,0.053013287484645844,0.03528007119894028,0.05485934764146805,0.03530724719166756,0.05388951301574707,0.03543606773018837,0.03930557891726494,0.02917994000017643,0.9753115385770798,1.0,0.35987849116325377,0.23791486769914627,0.05836805168539286,3.8066378808021546,0.9985775983333588,0.6611976996064186,0.6268687617778778,1.0021336019039153,0.5278030633926392,0.766015625,1.0,0.0006005167961120605,0.0031419992446899414,0.004207789897918701,0.021775037050247192,last,1.0,0.0,0.0,0.5954397201538086,0.038400340117514135,0.03201334776822477,0.27195949345827103,0.6564985120296478,0.19576895594596863,0.04395528636872768,0.2936700928211212,0.00018581830038783665,0.030950442776083945,0.019026202019304037,0.0027498345589265227,0.0,0.0,1.0021336019039153,0.39671863585710526,0.0528958148881793,0.0528958148881793,0.0626868774741888,0.09403031840920448,0.037612124793231484,0.07522424958646297,0.0626868774741888,0.03305988548323512,0.5954397201538086,0.0038400340732187032,0.032088103843852876,0.032824926190078256,0.11204559620469809,0.012271953197196126,0.004133201444055885,0.011042467821389436,1.3835278450642363e-05,0.0016827659704722463,0.0014315163309220225,0.00017243459704332053,0.0,0.0,6.312393385776716e-09
3,0.8464,0.5789517739415169,0.809140625,0.843359375,1.0,1.0,0.25048828125,1.0,0.9991878569126129,0.6959675550460815,0.22626379132270813,0.5006776452064514,0.27305853366851807,1.276301622390747,8.0,4.0,0.26099538803100586,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4796516001224518,0.9838167428970337,2.452916383743286,1.0,0.9991017580032349,1.0,0.7044490575790405,0.23619776964187622,1.0,0.999273955821991,1.0,0.6874860525131226,0.23639148473739624,0.38226318359375,0.4908364415168762,0.17318569123744965,0.2645479440689087,0.07142989337444305,0.9999999701976776,1.0303776264190674,0.47419124841690063,0.06684297323226929,0.1929449439048767,0.5369414687156677,0.07410381734371185,0.052036069333553314,0.07715868949890137,0.052178483456373215,0.075912244617939,0.051976099610328674,0.06159020587801933,0.04727092385292053,0.9951431435346604,1.0,0.2777613788843155,0.2422300645709038,0.06651884883642196,3.8756810140609743,0.9989027136564255,0.43078473299741743,0.6334948164224624,1.0016459262371062,0.4320525825023651,0.843359375,1.0,0.0005809962749481201,0.0009319186210632324,0.002546250820159912,0.02767736092209816,last,1.0,0.0,0.0,0.4776249945163727,0.024591759722679855,0.006232577820774168,0.1752782768011093,0.4201614835858345,0.18159353688359262,0.04333332471549511,0.2043726772069931,0.0,0.02500102052465081,0.02023576956242323,0.0036686492967419326,0.0,0.0,1.0016459262371062,0.25847084999084474,0.03446277802810073,0.03446277802810073,0.06334948319941759,0.09502422712743282,0.03800968799740076,0.07601937599480152,0.06334948319941759,0.021539237014949322,0.4776249945163727,0.002459176026750356,0.006243050255579874,0.021008074562996627,0.04559427954256535,0.011503956988453865,0.004117919264826924,0.007766382852569222,0.0,0.0008628330088686198,0.0015386342909187078,0.00023246871191076935,0.0,0.0,3.919703894794679e-09
4,0.778688,0.47302666276693345,0.880234375,0.89140625,1.0,1.0,0.250244140625,1.0,0.999654233455658,0.7778784334659576,0.22242498397827148,0.4963115453720093,0.28126341104507446,1.1444852352142334,8.0,4.0,0.25715819001197815,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4817313849925995,0.9837297797203064,2.2741479873657227,1.0,0.9996392726898193,1.0,0.7758324146270752,0.29765722155570984,1.0,0.9996691942214966,1.0,0.7799244523048401,0.3121680021286011,0.4156494140625,0.5409293174743652,0.1678028106689453,0.26028305292129517,0.03098476305603981,0.9999999441206455,1.0509185791015625,0.4609549939632416,0.08120037615299225,0.20279961824417114,0.5439968109130859,0.09015016257762909,0.0648127868771553,0.09460024535655975,0.06521149724721909,0.09216161072254181,0.06471877545118332,0.072939932346344,0.06003844738006592,0.997978652715683,1.0,0.2622967773675919,0.2466619111597538,0.07545695096254348,3.946590578556061,0.9989412051439285,0.38395404040813447,0.6400710129737854,1.0015881943702698,0.36704800724983216,0.89140625,1.0,-0.00019440054893493652,0.0008275210857391357,0.001912146806716919,0.025589171797037125,last,1.0,0.0,0.0,0.39176269620656967,0.02038278503343463,0.0026738552351889665,0.1571993735432625,0.3050816133618355,0.17563586220145225,0.04636129599064589,0.17320534005761146,0.0,0.024371600225567818,0.021512814704328774,0.0048349601682275535,0.0,0.0,1.0015881943702698,0.2303724332153797,0.03071632267907262,0.03071632267907262,0.0640071027725935,0.09601065665483474,0.03840426001697779,0.07680852003395558,0.0640071027725935,0.019197702445089816,0.39176269620656967,0.0020382785471156238,0.002678174185275566,0.015254080882295967,0.03623801734298468,0.011242021257057786,0.004451490044593811,0.006651360201649368,0.0,0.000748482359922491,0.0016525277984328567,0.0003095344471512362,0.0,0.0,5.061155938790307e-10
5,0.7163929600000001,0.42416470259428024,0.906328125,0.930859375,1.0,1.0,0.25,1.0,0.9995087087154388,0.8133011758327484,0.21923288702964783,0.48421961069107056,0.29654747247695923,0.9992101192474365,8.0,4.0,0.25319674611091614,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4819070100784302,0.9837537407875061,2.082348585128784,1.0,0.9994695782661438,1.0,0.8120145797729492,0.34420859813690186,1.0,0.9995478391647339,1.0,0.8145877718925476,0.32998764514923096,0.417724609375,0.5600272417068481,0.1501636505126953,0.25999119877815247,0.029817944392561913,1.0000000353902578,1.0588936805725098,0.4637259840965271,0.08691754937171936,0.206119105219841,0.544569194316864,0.1038096472620964,0.0753084272146225,0.11016658693552017,0.07602223753929138,0.10677339136600494,0.07511435449123383,0.08538597077131271,0.06884994357824326,0.9989700949192047,1.0,0.25772435307502745,0.25015568882226946,0.08364198751747608,4.002491064071656,0.9989542979001999,0.37053370773792266,0.6452027785778046,1.0015685522556306,0.31273941695690155,0.930859375,1.0,0.00035306811332702637,0.001697838306427002,0.002729654312133789,0.026601240038871765,last,1.0,0.0,0.0,0.3502915331721306,0.01906838536262512,0.0013745170572656206,0.15183211073279382,0.23500426083803178,0.1722835998237133,0.049843788519501685,0.16148948296904564,0.0,0.024902890641242265,0.022551176212728022,0.006040790141560138,0.0,0.0,1.0015685522556306,0.22232023432850836,0.029642695933580397,0.029642695933580397,0.06452027931809426,0.09678042121231556,0.038712165877223016,0.07742433175444603,0.06452027931809426,0.018526685778051614,0.3502915331721306,0.0019068385649006815,0.0013767182125593537,0.011750213215127587,0.03377326687797904,0.011116019217297435,0.0048245306359604,0.006251672897487879,0.0,0.0007377908984199166,0.0017462440126109868,0.00038987542589893567,0.0,0.0,5.360925592334809e-10
