epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,state_norm_none,state_norm_layernorm,slot_address_used_by_controller,slot_address_used_by_executor,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,action_L0_0_1_diff_present,action_L0_0_1_diff_choice_mass,action_L0_0_1_diff_recovery,action_L0_0_1_diff_active,action_L0_0_1_diff_tape,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,scanner_source_mass_sum,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,cell_write_mass_mean,target_write_gate_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,gain_disabled_delta,sim_result_disabled_delta,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_items,credit_staleness_mean,credit_age_max,ce_loss,sim_loss,expected_choice_loss,non_expected_primitive_loss,expected_active_loss,non_expected_active_loss,non_expected_tape_loss,non_expected_transform_loss,primitive_usage_diversity,cell_choice_diversity,active_budget,tape_budget,layer_action_diversity,min_transform_loss,eff_lambda_choice,eff_lambda_non_expected_primitive,eff_lambda_primitive_usage_diversity,eff_lambda_cell_choice_diversity,eff_lambda_non_expected_active,eff_lambda_non_expected_tape,eff_lambda_non_expected_transform,eff_lambda_active_budget,eff_lambda_tape_budget,eff_lambda_layer_action_diversity,weighted_ce_loss,weighted_sim_loss,weighted_expected_choice_loss,weighted_expected_active_loss,weighted_non_expected_primitive_loss,weighted_non_expected_active_loss,weighted_non_expected_tape_loss,weighted_non_expected_transform_loss,weighted_primitive_usage_diversity,weighted_cell_choice_diversity,weighted_active_budget,weighted_tape_budget,weighted_layer_action_diversity,weighted_min_transform_loss,loss_accounting_error
1,1.0,1.5488129138946534,0.52921875,0.6015625,1.0,1.0,1.0,1.0,0.9990483522415161,0.5850275754928589,0.47332608699798584,0.3286968469619751,0.19797708094120026,0.24572321772575378,16.0,16.0,0.9947434067726135,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4672102928161621,0.9845458269119263,0.04757643863558769,1.0,0.9990483522415161,1.0,0.5850275754928589,0.1820569783449173,0.3973388671875,0.08668417483568192,0.013870470225811005,0.8890550136566162,0.010390378534793854,1.000000037252903,0.943634033203125,0.5506071448326111,0.07204772531986237,0.21805340051651,0.6167952418327332,0.028569940477609634,0.011541458778083324,0.02874080464243889,0.011879767291247845,0.02859274111688137,0.011490619741380215,0.019590798765420914,0.010160811245441437,0.8967805524170399,1.0,0.8964410552382469,0.2501989871263504,0.07396483801305294,4.003183829784393,0.9199881047010422,0.9006152905742055,0.6138494867179543,1.12001784324646,0.6704917907714844,0.6015625,1.0,0.00011616945266723633,0.00015270709991455078,0.010820984840393066,0.051295604556798935,last,1.0,0.0,0.0,0.6916764163970948,0.06526562491431832,0.26461653048871087,0.8934803161025048,0.9089866238832474,0.2384073469042778,0.0712798411399126,0.5374597442150116,0.23588014174252747,0.0880789815634489,0.0052506016858387735,0.0034861944848671557,0.0,0.0,1.12001784324646,0.22515382264355138,0.045030765200845056,0.045030765200845056,0.012276989466918166,0.030692474870593286,0.012276989466918166,0.012276989466918166,0.012276989466918166,0.045030765200845056,0.6916764163970948,0.006526562660001218,0.5624231588328257,0.04544933198019862,0.21518798974328093,0.00296207578972826,0.002195196651227889,0.006538124200014863,0.011690877687142347,0.004049557966900466,7.005950301618213e-05,4.3566402857777576e-05,0.0,0.0,3.9196357271009674e-09
2,0.92,0.7911151576042176,0.685546875,0.755859375,1.0,1.0,0.626953125,1.0,0.9981930255889893,0.7589741945266724,0.3174709379673004,0.42705994844436646,0.2554691433906555,1.339868187904358,14.0,16.0,0.5283607244491577,3.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4688250720500946,0.9837827086448669,1.690524697303772,1.0,0.9981930255889893,1.0,0.7589741945266724,0.381809800863266,0.39337158203125,0.5693690180778503,0.05678154528141022,0.34044140577316284,0.033408038318157196,1.0000000074505806,0.9799795746803284,0.48944005370140076,0.0658842995762825,0.18334971368312836,0.5433281660079956,0.051079850643873215,0.02758452482521534,0.05203372240066528,0.028220320120453835,0.051362112164497375,0.027739886194467545,0.06516417115926743,0.029248107224702835,0.9873931843042374,1.0,0.702690460383892,0.24792269706726075,0.0678373385220766,3.9667631363868714,0.9987818330526352,0.7033548510074615,0.6543842822313308,1.001827245950699,0.5273662120103836,0.755859375,1.0,0.0002560615539550781,0.011680245399475098,0.013715624809265137,0.031699758023023605,last,1.0,0.0,0.0,0.6041270804405212,0.02189982557669282,0.015150125190848485,0.6837103155255317,0.3966236338019371,0.21901208639144898,0.05370007507503033,0.3701715022325516,0.09964223910821601,0.07548453379422426,0.004760703567881137,0.002794557875022292,0.0,0.0,1.001827245950699,0.17583871275186538,0.035167743247002364,0.035167743247002364,0.013087685378268361,0.03271921491250396,0.013087685378268361,0.013087685378268361,0.013087685378268361,0.035167743247002364,0.6041270804405212,0.002189982591662556,0.01518110403092578,0.019831182034686208,0.13256981257349254,0.0028756792657077313,0.0017639589286409319,0.00487196919741109,0.00478036238504501,0.002824124075123109,6.327389246507664e-05,3.662674667793908e-05,0.0,0.0,1.4418584104447518e-09
3,0.8464,0.5124861446022987,0.816875,0.86796875,1.0,1.0,0.475341796875,1.0,0.9995157718658447,0.8270895481109619,0.22072340548038483,0.48256978392601013,0.29670682549476624,1.3180198669433594,14.0,13.0,0.4546850621700287,3.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.46980851888656616,0.9833571314811707,2.076871395111084,1.0,0.9995157718658447,1.0,0.8270895481109619,0.4742904007434845,0.39300537109375,0.5407588481903076,0.057335637509822845,0.34502747654914856,0.05687800422310829,0.9999999664723873,1.0208008289337158,0.4329826533794403,0.05714600533246994,0.15679651498794556,0.47543609142303467,0.07040192931890488,0.03496197983622551,0.07239492237567902,0.03542722761631012,0.07136280834674835,0.03506925702095032,0.10429590940475464,0.040827427059412,0.9958942013978959,1.0,0.4619849517941475,0.21339914977550506,0.06424479089677333,3.4143863844871523,0.9989127063751221,0.2561936928331852,0.5678306818008423,1.001630939245224,0.3971594363451004,0.86796875,1.0,0.0004940032958984375,0.0021236538887023926,0.005702316761016846,0.02520449087023735,last,1.0,0.0,0.0,0.45983782976865767,0.01807790145277977,0.005179887784761377,0.4263910293579102,0.2283416995406151,0.17426671907305719,0.03845184404402971,0.23603723093867301,0.0008814329485664985,0.03608022393658757,0.0012071886664489285,0.0024349867401178924,0.0,0.0,1.001630939245224,0.0640484232082963,0.01280968485865742,0.01280968485865742,0.011356613365933299,0.02839153453707695,0.011356613365933299,0.011356613365933299,0.011356613365933299,0.01280968485865742,0.45983782976865767,0.001807790177408606,0.005188659271225333,0.01141708517447114,0.027909156549721956,0.0019847190065775066,0.0010977396526141092,0.002695384982507676,1.5870915429223587e-05,0.0004900770517997444,1.4037980520242854e-05,2.7792918644991004e-05,0.0,0.0,1.1527204746286657e-09
4,0.778688,0.38406644701957704,0.8915625,0.910546875,1.0,1.0,0.32470703125,1.0,0.9996626377105713,0.8608790636062622,0.15621812641620636,0.5193966031074524,0.32438528537750244,1.3142666816711426,7.0,5.0,0.341302752494812,1.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.47391459345817566,0.9831026196479797,2.3087899684906006,1.0,0.9996626377105713,1.0,0.8608790636062622,0.4867172837257385,0.3927001953125,0.42908021807670593,0.15837624669075012,0.35823237895965576,0.05431114882230759,0.9999999925494194,1.0423108339309692,0.36824262142181396,0.04553621634840965,0.13572829961776733,0.4358179569244385,0.08655403554439545,0.041955817490816116,0.09072019159793854,0.04265647381544113,0.08877308666706085,0.04207228124141693,0.1350441873073578,0.05128102004528046,0.9987969452142715,1.0,0.39409427404403685,0.1868358539044857,0.05154163062572479,2.9893736386299135,0.9989519411325455,0.12865139439702034,0.49770843774080276,1.0015720868110656,0.3175823360681534,0.910546875,1.0,5.1081180572509766e-05,0.0020828545093536377,0.003794938325881958,0.02752063237130642,last,1.0,0.0,0.0,0.35700526982545855,0.013668950246647,0.0017105458808509865,0.35378078162670135,0.17436332732439042,0.14306874573230743,0.022372996835038066,0.14855096936225892,0.0,0.02440213017165661,0.00010092794474102718,0.0013549604336731136,0.0,1.3167709112167358e-05,1.0015720868110656,0.032162848599255084,0.00643256981158629,0.00643256981158629,0.009954168582335115,0.024885422252118587,0.009954168582335115,0.009954168582335115,0.009954168582335115,0.00643256981158629,0.35700526982545855,0.0013668950519058853,0.0017133467123494484,0.008718166532926262,0.01161565076559782,0.0014273528393823653,0.0005608508305158466,0.0014865565637592227,0.0,0.00015757307650346775,1.0461261848282791e-06,1.3608702388410166e-05,0.0,1.316770885750884e-07,1.6844836636664695e-09
5,0.7163929600000001,0.31595198675990105,0.924609375,0.943359375,1.0,1.0,0.324462890625,1.0,0.9998010396957397,0.871841311454773,0.11269059777259827,0.5402041673660278,0.3471052646636963,1.3954195976257324,6.0,5.0,0.3428354263305664,1.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4755307137966156,0.982684314250946,2.382035255432129,1.0,0.9998010396957397,1.0,0.871841311454773,0.4668318033218384,0.39947509765625,0.42795372009277344,0.1635785847902298,0.3593493700027466,0.04911832511425018,1.0,1.0516033172607422,0.31683287024497986,0.036647647619247437,0.11731792986392975,0.4056958556175232,0.10027194023132324,0.05050231143832207,0.10708518326282501,0.05141548439860344,0.10398939251899719,0.0504482127726078,0.15952326357364655,0.06188543513417244,0.9995570474863053,1.0,0.35073161840438843,0.1671724236011505,0.040253130458295344,2.6747587728500366,0.9989619928598404,0.07706336662173272,0.44557971447706224,1.0015570080280305,0.27734935879707334,0.943359375,1.0,3.600120544433594e-05,0.001248866319656372,0.0036746561527252197,0.025732485577464104,last,1.0,0.0,0.0,0.29851904094219206,0.011062532272189856,0.0004937112411789713,0.30747660785913467,0.14845323875546457,0.1206578840315342,0.011372461235150694,0.09338343814015389,0.0,0.025890153609216215,0.00018961078107395223,0.0006437335154623725,0.0,0.01795016825199127,1.0015570080280305,0.01926584165543318,0.0038531683781184256,0.0038531683781184256,0.008911594143137335,0.02227898605167866,0.008911594143137335,0.008911594143137335,0.008911594143137335,0.0038531683781184256,0.29851904094219206,0.0011062532512005419,0.0004944955145037966,0.007422662074677646,0.005956782684661448,0.0010767098050564528,0.00025466917344601825,0.0008348894608207047,0.0,9.956041394616477e-05,1.6554670808943684e-06,5.766073784343462e-06,0.0,0.0001795016789287729,2.1960222529315843e-10
