epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,state_norm_none,state_norm_layernorm,slot_address_used_by_controller,slot_address_used_by_executor,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,action_L0_0_1_product_present,action_L0_0_1_product_choice_mass,action_L0_0_1_product_recovery,action_L0_0_1_product_active,action_L0_0_1_product_tape,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,scanner_source_mass_sum,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,cell_write_mass_mean,target_write_gate_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,gain_disabled_delta,sim_result_disabled_delta,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_items,credit_staleness_mean,credit_age_max,ce_loss,sim_loss,expected_choice_loss,non_expected_primitive_loss,expected_active_loss,non_expected_active_loss,non_expected_tape_loss,non_expected_transform_loss,primitive_usage_diversity,cell_choice_diversity,active_budget,tape_budget,layer_action_diversity,min_transform_loss,eff_lambda_choice,eff_lambda_non_expected_primitive,eff_lambda_primitive_usage_diversity,eff_lambda_cell_choice_diversity,eff_lambda_non_expected_active,eff_lambda_non_expected_tape,eff_lambda_non_expected_transform,eff_lambda_active_budget,eff_lambda_tape_budget,eff_lambda_layer_action_diversity,weighted_ce_loss,weighted_sim_loss,weighted_expected_choice_loss,weighted_expected_active_loss,weighted_non_expected_primitive_loss,weighted_non_expected_active_loss,weighted_non_expected_tape_loss,weighted_non_expected_transform_loss,weighted_primitive_usage_diversity,weighted_cell_choice_diversity,weighted_active_budget,weighted_tape_budget,weighted_layer_action_diversity,weighted_min_transform_loss,loss_accounting_error
1,1.0,2.3999043709039687,0.5228125,0.5328125,1.0,1.0,0.983642578125,1.0,0.9965649843215942,0.6318048238754272,0.3754030764102936,0.33892393112182617,0.28567302227020264,0.7591423988342285,16.0,16.0,0.867476224899292,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4405088424682617,0.9811220169067383,0.2836906909942627,1.0,0.9965649843215942,1.0,0.6318048238754272,0.16882283985614777,0.4261474609375,0.32511770725250244,0.058844372630119324,0.6052489280700684,0.010789008811116219,1.0000000167638063,0.8501431345939636,0.5103479623794556,0.058994948863983154,0.20851948857307434,0.5981409549713135,0.03228432312607765,0.014282803982496262,0.03232213482260704,0.014234823174774647,0.0321381501853466,0.014236788265407085,0.02479133941233158,0.012440327554941177,0.8179367785342038,1.0,0.8178101375699043,0.2593256393074989,0.06540962941944599,4.149210247993469,0.8461400478286669,0.8090353902825155,0.5889851408312097,1.2307899272441865,0.6884965658187866,0.5328125,1.0,0.0035285353660583496,0.004636943340301514,0.01070249080657959,0.05816013365983963,last,1.0,0.0,0.0,0.6957672691345215,0.06476110979914665,0.63660585003905,0.7803789836727083,0.9078674101829529,0.2475370915234089,0.062275194227695466,0.46852430313825605,0.17769165751797572,0.08816614463925361,0.006848441344918683,0.002551090685883537,0.0,0.0,1.2307899272441865,0.20225884757062887,0.04045177013496868,0.04045177013496868,0.011779702549538341,0.02944925771545968,0.011779702549538341,0.011779702549538341,0.011779702549538341,0.04045177013496868,0.6957672691345215,0.006476111086085439,1.4465851868502795,0.04539337126538157,0.18305029318044944,0.002982748104395796,0.0018113026173614344,0.005343920911454916,0.008748905467021175,0.0036217331336774804,9.359876334109175e-05,2.9923104676328194e-05,0.0,0.0,7.285323011529954e-09
2,0.92,0.7532002466917038,0.60765625,0.662890625,1.0,1.0,0.627685546875,1.0,0.999045193195343,0.803575873374939,0.21786101162433624,0.4039525091648102,0.37818649411201477,1.3581830263137817,14.0,16.0,0.5139110088348389,3.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4439069330692291,0.9819111824035645,1.7771458625793457,1.0,0.999045193195343,1.0,0.803575873374939,0.3542003929615021,0.43145751953125,0.6461011171340942,0.09011725336313248,0.2506990134716034,0.01308258157223463,0.9999999655410647,0.8101102709770203,0.4225796163082123,0.047454774379730225,0.1754491627216339,0.5278979539871216,0.05580569803714752,0.028609780594706535,0.05585600808262825,0.02859490178525448,0.05499441176652908,0.028584003448486328,0.07093051820993423,0.03136173263192177,0.9899791526794434,1.0,0.5152201014757156,0.27963805705308914,0.053517956845462324,4.474208917617798,0.9988259953260422,0.38919554769992826,0.7258557856082917,1.00176100730896,0.6260304749011993,0.662890625,1.0,0.004587650299072266,0.007258892059326172,0.009367108345031738,0.03724261373281479,last,1.0,0.0,0.0,0.6601968097686768,0.030922669041901826,0.012300724890083074,0.4835695254802704,0.31849594950675963,0.24934185892343522,0.03981890777125954,0.276541628241539,0.00990441294898119,0.05734607838094234,0.010116892103105783,0.0014955151412868871,0.0,0.0,1.00176100730896,0.09729888692498206,0.019459777679294347,0.019459777679294347,0.014517115391790868,0.036292790062725545,0.014517115391790868,0.014517115391790868,0.014517115391790868,0.019459777679294347,0.6601968097686768,0.0030922669637948276,0.012323831398971379,0.01592479780316353,0.050780892688781026,0.0036298645567148925,0.0014549585996428505,0.004041472203098238,0.00038065104907246904,0.0012044367683120072,0.000148418250028044,2.184347816182708e-05,0.0,0.0,3.1632859665009505e-09
3,0.8464,0.6005188617110252,0.750703125,0.823828125,1.0,1.0,0.568115234375,1.0,0.9991039037704468,0.8300338983535767,0.1134711503982544,0.44540590047836304,0.4411229193210602,1.4649598598480225,9.0,16.0,0.4638364315032959,2.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4446108043193817,0.9826114177703857,2.0364127159118652,1.0,0.9991039037704468,1.0,0.8300338983535767,0.3688793182373047,0.42791748046875,0.7065001726150513,0.08579706400632858,0.19413411617279053,0.013568628579378128,0.9999999813735485,0.8006962537765503,0.2942883372306824,0.03016490489244461,0.12154844403266907,0.4070342481136322,0.07826653867959976,0.044310472905635834,0.07892639935016632,0.04491522163152695,0.07570020854473114,0.04395570233464241,0.11486668884754181,0.052798207849264145,0.9956550085544587,1.0,0.4420261210203171,0.21364578545093538,0.038912106081843374,3.418332598209381,0.9989091944694519,0.20981805421411992,0.5677481654286385,1.0016362047195435,0.4920305132865906,0.823828125,1.0,-0.0005289018154144287,-0.0018781423568725586,-0.000965118408203125,0.034033145755529404,last,1.0,0.0,0.0,0.5564698815345764,0.018316542757675053,0.00582620186789427,0.4051175481081009,0.20372054755687713,0.17328705623745919,0.016141207362525164,0.12783650018274784,0.00016569556892534365,0.052845519110560416,0.0015905671013103984,0.0005977069267828483,0.0,0.008981893807649612,1.0016362047195435,0.05245451355352998,0.010490902904421092,0.010490902904421092,0.01135496310889721,0.0283874087408185,0.01135496310889721,0.01135496310889721,0.01135496310889721,0.010490902904421092,0.5564698815345764,0.0018316543009132148,0.0058361815992975605,0.010186027577146888,0.021557871364057065,0.001993649888318032,0.00047391926069394684,0.0014874842832796275,2.505365888678668e-06,0.0005630896295770072,1.9724090729478228e-05,7.050771162084857e-06,0.0,8.981893577583833e-05,3.1096093477955833e-09
4,0.778688,0.4655735141038895,0.849375,0.876171875,1.0,1.0,0.416015625,1.0,0.9994335770606995,0.8608603477478027,0.0861353725194931,0.44964027404785156,0.46422433853149414,1.5456199645996094,5.0,15.0,0.349078506231308,1.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4456138610839844,0.9826333522796631,2.2771637439727783,1.0,0.9994335770606995,1.0,0.8608603477478027,0.40070676803588867,0.42218017578125,0.7647275328636169,0.06935495138168335,0.1494218409061432,0.016495658084750175,0.9999999832361937,0.7931382656097412,0.22890818119049072,0.027667302638292313,0.10540196299552917,0.37749284505844116,0.09733129292726517,0.05612964928150177,0.09919612109661102,0.05744565650820732,0.09317004680633545,0.05554087460041046,0.14323721826076508,0.06741166859865189,0.9977991008758544,1.0,0.37938110530376434,0.15978742629289627,0.029125989787280558,2.5565988206863404,0.9989385741949082,0.11105365671217442,0.4263505351543426,1.0015921366214753,0.4004496246576309,0.876171875,1.0,0.0006921291351318359,0.0019070208072662354,0.004241228103637695,0.03115546703338623,last,1.0,0.0,0.0,0.4404162484407425,0.01500889478251338,0.0027351467491826043,0.3381532582640648,0.17656147092580796,0.11434555895626546,0.004895040248520673,0.06323871355503798,0.0,0.04401970647275448,0.0004968234813026129,0.00020270021763280966,0.0,0.05121944658458233,1.0015921366214753,0.027763414178043604,0.005552682927809655,0.005552682927809655,0.008527010511606932,0.021317527145147324,0.008527010511606932,0.008527010511606932,0.008527010511606932,0.005552682927809655,0.4404162484407425,0.001500889501767233,0.0027396699669770897,0.008828073693439364,0.009685201537795365,0.0009801248816074803,0.00010609316723275697,0.0005437549878843129,0.0,0.00025544356532918754,4.0711838946938524e-06,1.7474490755375881e-06,0.0,0.0005121944565325975,1.2716113717559097e-09
5,0.7163929600000001,0.384617455303669,0.907734375,0.913671875,1.0,1.0,0.36474609375,1.0,0.99953293800354,0.8927017450332642,0.08050930500030518,0.43830764293670654,0.48118308186531067,1.4841817617416382,5.0,12.0,0.3269079327583313,1.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.44585785269737244,0.9823448657989502,2.2908432483673096,1.0,0.99953293800354,1.0,0.8927017450332642,0.43656837940216064,0.4305419921875,0.7521017789840698,0.06618399173021317,0.1655532419681549,0.016161024570465088,1.000000037252903,0.7717928290367126,0.20259638130664825,0.0288703516125679,0.10816866159439087,0.4043666124343872,0.11192011088132858,0.06393323838710785,0.11455253511667252,0.06588128209114075,0.10674889385700226,0.0634293332695961,0.16053682565689087,0.07645237445831299,0.9987278342247009,1.0,0.3534736594557762,0.1451093603670597,0.02741802541539073,2.3217497777938845,0.9989510017633438,0.08220567423850297,0.38846140265464785,1.0015734934806824,0.34805668592453004,0.913671875,1.0,-0.00016629695892333984,0.00034695863723754883,0.0035996735095977783,0.03194428235292435,last,1.0,0.0,0.0,0.366022509932518,0.013197136092931033,0.0017534641370002646,0.31045672997832297,0.13971196554601192,0.0966322249174118,0.0020462799654342233,0.04334834605455398,0.0,0.036769624650478366,0.0012251936399843544,0.00015593071140756364,0.0,0.06916268825531006,1.0015734934806824,0.020551418559625743,0.004110283772461116,0.004110283772461116,0.007769227889366448,0.01942307049408555,0.007769227889366448,0.007769227889366448,0.007769227889366448,0.004110283772461116,0.366022509932518,0.0013197136274538934,0.0017563324724324048,0.0069855983788147565,0.0065472643368411805,0.0007511587586486713,3.981585292422096e-05,0.00033703569206409154,0.0,0.00015569431001495105,9.491022137808613e-06,1.2136775762883189e-06,0.0,0.0006916268653003499,3.7694236620922084e-10
