epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,state_norm_none,state_norm_layernorm,slot_address_used_by_controller,slot_address_used_by_executor,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,action_L0_0_1_product_present,action_L0_0_1_product_choice_mass,action_L0_0_1_product_recovery,action_L0_0_1_product_active,action_L0_0_1_product_tape,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,scanner_source_mass_sum,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,cell_write_mass_mean,target_write_gate_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,gain_disabled_delta,sim_result_disabled_delta,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_items,credit_staleness_mean,credit_age_max,ce_loss,sim_loss,expected_choice_loss,non_expected_primitive_loss,expected_active_loss,non_expected_active_loss,non_expected_tape_loss,non_expected_transform_loss,primitive_usage_diversity,cell_choice_diversity,active_budget,tape_budget,layer_action_diversity,min_transform_loss,eff_lambda_choice,eff_lambda_non_expected_primitive,eff_lambda_primitive_usage_diversity,eff_lambda_cell_choice_diversity,eff_lambda_non_expected_active,eff_lambda_non_expected_tape,eff_lambda_non_expected_transform,eff_lambda_active_budget,eff_lambda_tape_budget,eff_lambda_layer_action_diversity,weighted_ce_loss,weighted_sim_loss,weighted_expected_choice_loss,weighted_expected_active_loss,weighted_non_expected_primitive_loss,weighted_non_expected_active_loss,weighted_non_expected_tape_loss,weighted_non_expected_transform_loss,weighted_primitive_usage_diversity,weighted_cell_choice_diversity,weighted_active_budget,weighted_tape_budget,weighted_layer_action_diversity,weighted_min_transform_loss,loss_accounting_error
1,1.0,1.617642103433609,0.51375,0.530859375,1.0,1.0,0.846923828125,1.0,0.994861364364624,0.6210278868675232,0.34817999601364136,0.37735939025878906,0.2744606137275696,1.0641155242919922,16.0,16.0,0.6977490186691284,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.40399226546287537,0.9849482178688049,0.9672077894210815,1.0,0.994861364364624,1.0,0.6210278868675232,0.13281503319740295,0.41424560546875,0.3154788613319397,0.1410750299692154,0.461769700050354,0.0816764086484909,1.0,0.8468823432922363,0.5488697290420532,0.059392888098955154,0.23122334480285645,0.6311290264129639,0.029652396216988564,0.009017067030072212,0.02969096228480339,0.009373348206281662,0.029593028128147125,0.00934775359928608,0.002796649932861328,0.003241051221266389,0.8671668104827404,1.0,0.7560241045057774,0.28502559930086135,0.06327886037528514,4.560409593582153,0.908002999164164,0.8204357343415905,0.6759162711724639,1.1379955041408538,0.6938260912895202,0.530859375,1.0,0.0007402896881103516,0.0014548301696777344,0.0010556578636169434,0.04908214136958122,last,1.0,0.0,0.0,0.7034521770477294,0.05349812034517527,0.33281597984954714,0.7486146228015422,0.9146373891830444,0.2748898582160473,0.06085236702114344,0.4081878226995468,0.13522704222981702,0.08418855771422386,0.011644363771192729,0.0023350324109196663,0.0,0.0,1.1379955041408538,0.2051089335853976,0.04102178757763795,0.04102178757763795,0.013518325078766793,0.033795814210898244,0.013518325078766793,0.013518325078766793,0.013518325078766793,0.04102178757763795,0.7034521770477294,0.005349812132772058,0.6725288591347635,0.04573187030851841,0.1690323460491004,0.0037704309816399472,0.002039578432995768,0.005406876137130894,0.0065384729025311115,0.003589080869368786,0.0001712594545256252,3.132973004937867e-05,0.0,0.0,1.0252483750861074e-08
2,0.92,0.7786904764175415,0.555625,0.606640625,1.0,1.0,0.657958984375,1.0,0.9985974431037903,0.8049800395965576,0.26213815808296204,0.43951696157455444,0.2983448803424835,1.3492683172225952,16.0,16.0,0.52687668800354,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.40234386920928955,0.9855626821517944,1.7992169857025146,1.0,0.9985974431037903,1.0,0.8049800395965576,0.2798483371734619,0.41424560546875,0.3983737826347351,0.19244058430194855,0.3000847101211548,0.10910095274448395,1.0000000298023224,0.7826600074768066,0.5312908887863159,0.05793806165456772,0.2359996736049652,0.6194400787353516,0.05077369511127472,0.019170859828591347,0.05026110261678696,0.019291115924715996,0.050215933471918106,0.01968494988977909,0.04634494706988335,0.017874354496598244,0.9887778097391129,1.0,0.5079440703988075,0.32693473756313324,0.05790073588490486,5.230955801010132,0.998807669878006,0.38132072865962985,0.8145646506547928,1.001788492202759,0.661575335264206,0.606640625,1.0,0.004324615001678467,0.003082275390625,0.008516967296600342,0.038517292588949203,last,1.0,0.0,0.0,0.6836627864837647,0.023484665155410766,0.015115047802682966,0.4758885163068771,0.33534190222620963,0.30050313502550124,0.049030413553118705,0.2944078308343887,0.005949014552268536,0.05958467956632376,0.021615039706230164,0.0018433271476533265,0.0,0.0,1.001788492202759,0.09533018216490746,0.019066036841832102,0.019066036841832102,0.01629129258915782,0.040728233307600024,0.01629129258915782,0.01629129258915782,0.01629129258915782,0.019066036841832102,0.6836627864837647,0.0023484665516298265,0.01514407419366762,0.01676709543913603,0.047332905819639566,0.0048964876309037205,0.0019972791825421153,0.004796764398925006,0.00016138169642406774,0.0012008311209501699,0.00035237436066381633,3.003266907398938e-05,0.0,0.0,3.129779102550856e-09
3,0.8464,0.6602482694387436,0.673046875,0.73984375,1.0,1.0,0.5068359375,1.0,0.9994271993637085,0.8351092338562012,0.16478684544563293,0.49163204431533813,0.3435811400413513,1.3871140480041504,14.0,13.0,0.4378671646118164,3.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.40183785557746887,0.9850224256515503,2.022818088531494,1.0,0.9994271993637085,1.0,0.8351092338562012,0.40511929988861084,0.41424560546875,0.3845459818840027,0.26582691073417664,0.2517361640930176,0.09789089113473892,0.9999999478459358,0.7866957187652588,0.4371868968009949,0.045558538287878036,0.1739431917667389,0.48133909702301025,0.07075494527816772,0.033930059522390366,0.07056624442338943,0.03413252532482147,0.07096409052610397,0.03482809290289879,0.09581627696752548,0.040338464081287384,0.9973603278398514,1.0,0.4150282648205757,0.2855977039039135,0.05366184536367655,4.5695632290840145,0.998932723402977,0.16248585358262063,0.7366833019256592,1.001600911617279,0.5716794610023499,0.73984375,1.0,0.006996214389801025,0.0071991682052612305,0.016374528408050537,0.03529614582657814,last,1.0,0.0,0.0,0.6214810466766357,0.014887204142287374,0.0033927528356434778,0.3762061482667923,0.19709883242845536,0.2496536962687969,0.03350291796028614,0.18986541762948037,0.0001077557905955473,0.03658586632460356,0.011655651540495455,0.001508013356360607,0.0,0.0,1.001600911617279,0.04062146339565516,0.008124292814172804,0.008124292814172804,0.014733665743842722,0.03683416586369276,0.014733665743842722,0.014733665743842722,0.014733665743842722,0.008124292814172804,0.6214810466766357,0.0014887204323895276,0.003398375481774565,0.009854941833764315,0.01573550802655518,0.0037013422907330095,0.0012482959864428267,0.0028286078246310352,1.6660596540418737e-06,0.00031129571856581607,0.00017602239127882059,2.2448136387538398e-05,0.0,0.0,1.4200688402965511e-09
4,0.778688,0.5353030163049698,0.79484375,0.849609375,1.0,1.0,0.368896484375,1.0,0.9997037649154663,0.8301792740821838,0.101389080286026,0.5268380641937256,0.3717728853225708,1.4296451807022095,9.0,12.0,0.36064210534095764,2.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.40076836943626404,0.9836522936820984,2.2743313312530518,1.0,0.9997037649154663,1.0,0.8301792740821838,0.393726110458374,0.40777587890625,0.4322236180305481,0.13998445868492126,0.2828129529953003,0.14497897028923035,1.0,0.7856722474098206,0.33308395743370056,0.032069507986307144,0.12287595868110657,0.35693636536598206,0.09247221797704697,0.05032423138618469,0.09378774464130402,0.05131762474775314,0.09461338818073273,0.05189290642738342,0.1359078586101532,0.0611189566552639,0.9986591309309005,1.0,0.3536388272047043,0.2020970904827118,0.03890414301306009,3.233553488254547,0.9989499920606613,0.08518320579081774,0.5376938879489899,1.0015750086307527,0.4544975787401199,0.849609375,1.0,0.006546080112457275,0.005965560674667358,0.018903285264968872,0.03121301904320717,last,1.0,0.0,0.0,0.5125589710474014,0.012144581647589803,0.0019008456241135718,0.3106374891102314,0.18308002814650537,0.15981156691908838,0.013908783043734729,0.0951804831251502,0.0,0.027661174610257147,0.0009754185820486327,0.0005889154826581944,0.0,0.02201511986553669,1.0015750086307527,0.021295801447704436,0.004259160355431959,0.004259160355431959,0.01075387748889625,0.02688469471409917,0.01075387748889625,0.01075387748889625,0.01075387748889625,0.004259160355431959,0.5125589710474014,0.0012144581892061979,0.0019040004545968258,0.009154001651331782,0.006934878051979467,0.001745590855134651,0.0003861091686121654,0.0010449756716843694,0.0,0.00012157597764598904,1.174774375664711e-05,6.55870985610818e-06,0.0,0.00022015119295247133,2.4091882933063857e-09
5,0.7163929600000001,0.4245677509903908,0.874609375,0.900390625,1.0,1.0,0.30517578125,1.0,0.999871015548706,0.8531221747398376,0.08436425030231476,0.5346831679344177,0.3809525668621063,1.4541682004928589,5.0,9.0,0.3136584162712097,1.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.40081438422203064,0.9828294515609741,2.2724452018737793,1.0,0.999871015548706,1.0,0.8531221747398376,0.4372575283050537,0.40802001953125,0.48902326822280884,0.20824021100997925,0.2552187740802765,0.047517769038677216,1.0000000223517418,0.7852295637130737,0.2607036828994751,0.030776025727391243,0.10612092167139053,0.3039827346801758,0.11217796057462692,0.06334187835454941,0.11614907532930374,0.06556885689496994,0.11755441874265671,0.06615585088729858,0.1639867126941681,0.0763828381896019,0.9993375808000564,1.0,0.29024571359157564,0.14678197607398033,0.030188205540180205,2.3485116386413574,0.9989590895175934,0.03941115876659751,0.3929965859651566,1.0015613722801209,0.3736849337816238,0.900390625,1.0,5.924701690673828e-05,0.00033414363861083984,0.008019685745239258,0.027947869151830673,last,1.0,0.0,0.0,0.40892851680517195,0.011381393736228347,0.000823483248532284,0.2429729375243187,0.1839277359843254,0.10080234497785569,0.005019303306471557,0.05138760037720203,0.0,0.02401984144002199,0.0012155770968820434,0.00023436379546183162,0.0,0.06196844734251499,1.0015613722801209,0.009852789691649377,0.001970557974418625,0.001970557974418625,0.007859931522980333,0.019649829622358082,0.007859931522980333,0.007859931522980333,0.007859931522980333,0.001970557974418625,0.40892851680517195,0.0011381393927149474,0.0008248136231486569,0.009196386970579624,0.0024946877849288283,0.0007984263438265771,0.00010029553974163718,0.00040783062926493587,0.0,4.7900779791234526e-05,9.203847022263289e-06,1.8646766250185466e-06,0.0,0.0006196844586520456,1.3892309524976554e-10
