epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,val_loss,val_acc,sim_disabled_delta,choice_without_sim_delta,credit_items,credit_staleness_mean,credit_age_max
1,1.0,0.7436639618873596,0.4934375,0.50078125,0.5625,0.5625,0.493896484375,0.11564843356609344,0.3139754831790924,0.3998538851737976,0.2861706018447876,1.5267014503479004,0.51226806640625,0.0,0.0,0.0,0.0,25.0,0.49975690245628357,0.9871103167533875,2.3820157051086426,0.726700758934021,0.50078125,-5.692243576049805e-05,-5.692243576049805e-05,1.0,0.0,0.0
2,0.92,0.7206837254762649,0.505625,0.50078125,0.99609375,0.99609375,0.888916015625,0.13181787729263306,0.30106958746910095,0.4166848063468933,0.28224560618400574,0.9684652090072632,0.51812744140625,0.0,0.0,0.0,0.0,25.0,0.4995006322860718,0.9874353408813477,1.2757723331451416,0.723375529050827,0.484765625,5.364418029785156e-07,5.364418029785156e-07,1.0,0.0,0.0
3,0.8464,0.7132884299755097,0.494296875,0.50078125,0.94921875,0.94921875,0.486572265625,0.14309485256671906,0.30366697907447815,0.4470014274120331,0.24933160841464996,1.4768462181091309,0.51434326171875,0.0,0.0,0.0,0.0,25.0,0.4995284080505371,0.9871741533279419,1.917474627494812,0.7086453676223755,0.48671875,-6.598234176635742e-05,-6.598234176635742e-05,1.0,0.0,0.0
4,0.778688,0.7037413597106934,0.505546875,0.50078125,0.984375,0.984375,0.660888671875,0.1329561024904251,0.30112317204475403,0.4584294557571411,0.24044738709926605,1.1282308101654053,0.51373291015625,0.0,0.0,0.0,0.0,25.0,0.4997055232524872,0.9874038696289062,1.3988759517669678,0.7113091588020325,0.485546875,-2.9325485229492188e-05,-2.9325485229492188e-05,1.0,0.0,0.0
5,0.7163929600000001,0.7014498788118363,0.499296875,0.50078125,0.99609375,0.99609375,0.548583984375,0.14355352520942688,0.29650408029556274,0.469105064868927,0.23439083993434906,1.0689442157745361,0.51385498046875,0.0,0.0,0.0,0.0,25.0,0.49979981780052185,0.9873555898666382,1.3546268939971924,0.701326847076416,0.496875,-2.6881694793701172e-05,-2.6881694793701172e-05,1.0,0.0,0.0
