epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,state_norm_none,state_norm_layernorm,slot_address_used_by_controller,slot_address_used_by_executor,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,action_L0_0_1_diff_present,action_L0_0_1_diff_choice_mass,action_L0_0_1_diff_recovery,action_L0_0_1_diff_active,action_L0_0_1_diff_tape,action_L0_2_3_diff_present,action_L0_2_3_diff_choice_mass,action_L0_2_3_diff_recovery,action_L0_2_3_diff_active,action_L0_2_3_diff_tape,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,scanner_source_mass_sum,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,cell_write_mass_mean,target_write_gate_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,gain_disabled_delta,sim_result_disabled_delta,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_items,credit_staleness_mean,credit_age_max,ce_loss,sim_loss,expected_choice_loss,non_expected_primitive_loss,expected_active_loss,non_expected_active_loss,non_expected_tape_loss,non_expected_transform_loss,primitive_usage_diversity,cell_choice_diversity,active_budget,tape_budget,layer_action_diversity,min_transform_loss,eff_lambda_choice,eff_lambda_non_expected_primitive,eff_lambda_primitive_usage_diversity,eff_lambda_cell_choice_diversity,eff_lambda_non_expected_active,eff_lambda_non_expected_tape,eff_lambda_non_expected_transform,eff_lambda_active_budget,eff_lambda_tape_budget,eff_lambda_layer_action_diversity,weighted_ce_loss,weighted_sim_loss,weighted_expected_choice_loss,weighted_expected_active_loss,weighted_non_expected_primitive_loss,weighted_non_expected_active_loss,weighted_non_expected_tape_loss,weighted_non_expected_transform_loss,weighted_primitive_usage_diversity,weighted_cell_choice_diversity,weighted_active_budget,weighted_tape_budget,weighted_layer_action_diversity,weighted_min_transform_loss,loss_accounting_error
1,1.0,1.1728894817829132,0.503515625,0.4984375,1.0,1.0,0.981689453125,1.0,0.9935093522071838,0.4610091745853424,0.4522587060928345,0.30858856439590454,0.239152729511261,0.6566247344017029,16.0,16.0,0.8666425943374634,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4431341588497162,0.9864832162857056,0.20571362972259521,1.0,0.9966996908187866,1.0,0.44660061597824097,0.10965415835380554,1.0,0.990319013595581,1.0,0.47541773319244385,0.09605507552623749,0.42706298828125,0.25117337703704834,0.07112440466880798,0.6237189769744873,0.05398326367139816,1.0000000223517418,0.9106104373931885,0.5630183219909668,0.08183826506137848,0.2522415220737457,0.6736223697662354,0.028867747634649277,0.011991257779300213,0.02896525152027607,0.011856631375849247,0.028813662007451057,0.011563774198293686,0.004591089673340321,0.007309298031032085,0.9429648518562317,1.0,0.9203655686974526,0.28017223343253134,0.07630787387490273,4.4827557468414305,0.9685692721605301,0.9409131830185652,0.7032723142206669,1.047146089076996,0.6968842267990112,0.4984375,1.0,-0.000789940357208252,0.0010223984718322754,0.0014485716819763184,0.05212961137294769,last,1.0,0.0,0.0,0.6983486080169677,0.05251859057694674,0.10518559671472757,0.9171371448040009,1.12831676363945,0.27095546558499334,0.07551583871245385,0.5075723075866699,0.2360472853037618,0.08952579267323017,0.011438892658334225,0.0038004005164839327,0.0,0.0,1.047146089076996,0.2352282957546413,0.04704566007945687,0.04704566007945687,0.014065445973537863,0.03516361645422876,0.014065445973537863,0.014065445973537863,0.014065445973537863,0.04704566007945687,0.6983486080169677,0.005251859151758254,0.16194576036883518,0.05641583915799856,0.22112871774472295,0.0038812636688817293,0.002685238179983571,0.0070882145408540966,0.011688529240161767,0.004224481062265113,0.00017586794389899297,5.511042591024307e-05,0.0,0.0,7.719324957022877e-09
2,0.92,0.7754777234792709,0.60421875,0.69921875,1.0,1.0,0.445068359375,1.0,0.9993612170219421,0.647381991147995,0.30846184492111206,0.3645079731941223,0.3270301818847656,1.1214606761932373,16.0,12.0,0.4356520175933838,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4443145990371704,0.9872117638587952,2.1519007682800293,1.0,0.9992847442626953,1.0,0.6328471302986145,0.18391428887844086,1.0,0.999437689781189,1.0,0.6619168519973755,0.1588239073753357,0.43231201171875,0.28161731362342834,0.1286693662405014,0.3643573522567749,0.22535598278045654,1.0000000149011612,0.8964341878890991,0.5163898468017578,0.07009708881378174,0.242995947599411,0.6479007601737976,0.05299626663327217,0.028828149661421776,0.05353368818759918,0.02878396213054657,0.05275920778512955,0.02817048691213131,0.029998892918229103,0.021185321733355522,0.9884505105018616,1.0,0.520034302175045,0.342025106549263,0.07170485354959964,5.472401742935181,0.998801663517952,0.4150045390427113,0.8375028306245804,1.0017975056171418,0.5987009823322296,0.69921875,1.0,0.0014058351516723633,-0.000840306282043457,0.006472527980804443,0.028607863932847977,last,1.0,0.0,0.0,0.6587447166442871,0.02643759619444609,0.01501193784410134,0.453117718398571,0.6064949521422386,0.31108966559171675,0.06369937516748905,0.36147733181715014,0.012396852128204046,0.04653956579044461,0.026280734948813916,0.0032325102691538633,0.0,0.0,1.0017975056171418,0.10375113476067782,0.020750227314420045,0.020750227314420045,0.016750056222081186,0.0418751422315836,0.016750056222081186,0.016750056222081186,0.016750056222081186,0.020750227314420045,0.6587447166442871,0.0026437596813775597,0.015041074684122578,0.030324748065322638,0.05269021296873689,0.005211779023520649,0.002667633935343474,0.0060553537495434285,0.0004580810529505186,0.0011457446536223869,0.00044047080562449993,5.41407902710489e-05,0.0,0.0,7.4245480874424175e-09
3,0.8464,0.5736176773905755,0.7659375,0.833203125,1.0,1.0,0.357666015625,1.0,0.9994784891605377,0.7371649444103241,0.2644869089126587,0.36740642786026,0.3681066632270813,0.9002951383590698,16.0,6.0,0.3653542697429657,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4449400007724762,0.983032763004303,1.8875179290771484,1.0,0.9993858337402344,1.0,0.7333210706710815,0.25114911794662476,1.0,0.9995711445808411,1.0,0.7410088181495667,0.2239341288805008,0.4432373046875,0.42355361580848694,0.15309736132621765,0.3474290370941162,0.07591995596885681,0.9999999701976776,0.9794008731842041,0.4767136871814728,0.07613974809646606,0.23761551082134247,0.6224084496498108,0.07356297224760056,0.0475102961063385,0.07471474260091782,0.04803349822759628,0.07247348874807358,0.04671081155538559,0.05975282937288284,0.045827288180589676,0.9979178595542908,1.0,0.3856614351272583,0.3301520958542824,0.07287845551967621,5.28243353843689,0.9989403939247131,0.11537528783082962,0.8198380905389786,1.0015894103050231,0.45846455693244936,0.833203125,1.0,0.007099896669387817,0.002130746841430664,0.015807926654815674,0.033383842557668686,last,1.0,0.0,0.0,0.5303444600105286,0.01912437217310071,0.00249150104355067,0.29819624543190004,0.3735696429014206,0.27774743616580966,0.05361888885498047,0.2518857182562351,0.0,0.0284590120986104,0.022558593712747096,0.0033589953347109257,0.0,0.0,1.0015894103050231,0.028843821957707405,0.0057687644683755935,0.0057687644683755935,0.016396761499345304,0.04099190544337034,0.016396761499345304,0.016396761499345304,0.016396761499345304,0.0057687644683755935,0.5303444600105286,0.0019124372606165708,0.0024955308594508097,0.018678482491523027,0.008714114865288138,0.0045546489721164105,0.002197975623421371,0.0041303133242763575,0.0,0.00016463444546388928,0.0003700096404645592,5.507179826963693e-05,0.0,0.0,1.90084392670542e-09
4,0.778688,0.4656013920903206,0.845078125,0.87421875,1.0,1.0,0.3564453125,1.0,0.9998284876346588,0.8017361164093018,0.2338084876537323,0.36652863025665283,0.3996628522872925,0.8739374279975891,13.0,6.0,0.3719598650932312,3.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.44538116455078125,0.9830292463302612,1.8531813621520996,1.0,0.9998055696487427,1.0,0.7990645170211792,0.30876556038856506,1.0,0.999851405620575,1.0,0.8044077157974243,0.268794447183609,0.44097900390625,0.48348069190979004,0.11858418583869934,0.3560377359390259,0.04189739003777504,1.0000000037252903,1.022749662399292,0.4450807571411133,0.08198733627796173,0.2372533679008484,0.5994477272033691,0.09051148593425751,0.06431794911623001,0.09273470938205719,0.0659124106168747,0.08786263316869736,0.06332839280366898,0.08184553682804108,0.0670345202088356,0.9988370823860169,1.0,0.3765759789943695,0.3245064690709114,0.0784825088828802,5.192103490829468,0.998952544927597,0.1035699962079525,0.8108231574296951,1.0015711832046508,0.39711666405200957,0.87421875,1.0,0.0031854212284088135,0.0028879642486572266,0.011327743530273438,0.03215721994638443,last,1.0,0.0,0.0,0.43133299142122267,0.016098799603059887,0.0016040587773022707,0.2876815459132194,0.2663751132786274,0.2605662554502487,0.052318078950047496,0.20436045691370963,0.0,0.031189717799425126,0.02089571176096797,0.004036468528211117,0.0,0.0,1.0015711832046508,0.025892499051988125,0.005178499894682318,0.005178499894682318,0.01621646272018552,0.04054115854203701,0.01621646272018552,0.01621646272018552,0.01621646272018552,0.005178499894682318,0.43133299142122267,0.0016098799824249,0.0016066370875341817,0.013318755850195884,0.007505700243636965,0.004226116798818112,0.002121068355627358,0.003314714399166405,0.0,0.00016110125645354856,0.00033898238441906867,6.544160427438328e-05,0.0,0.0,2.7065470975529138e-09
5,0.7163929600000001,0.3902823987603188,0.89828125,0.923046875,1.0,1.0,0.34228515625,1.0,0.9997909367084503,0.8435804843902588,0.24148064851760864,0.34427395462989807,0.4142453968524933,0.7593561410903931,9.0,6.0,0.3521120548248291,2.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4452058970928192,0.982566773891449,1.7413368225097656,1.0,0.9997966289520264,1.0,0.8426945209503174,0.37729448080062866,1.0,0.9997852444648743,1.0,0.8444664478302002,0.3247247636318207,0.44439697265625,0.3734671175479889,0.24931591749191284,0.34402111172676086,0.03319589048624039,1.000000037252903,1.0361167192459106,0.4324699342250824,0.09630562365055084,0.240417942404747,0.5943489670753479,0.10369769483804703,0.07662106305360794,0.1073310524225235,0.0792112648487091,0.09983280301094055,0.07541842758655548,0.09864233434200287,0.0809372290968895,0.9994028502702713,1.0,0.3648961496353149,0.31748958200216293,0.08882802240550518,5.079833331108094,0.9989599364995957,0.09023518241941929,0.7991714590787887,1.0015600955486297,0.3296250462532043,0.923046875,1.0,0.0015652477741241455,0.0027420222759246826,0.011016786098480225,0.031418416649103165,last,1.0,0.0,0.0,0.3621271526813507,0.01529006808064878,0.0008480395865262836,0.2742523458600044,0.19847945258021354,0.24513279914855957,0.0558227813616395,0.18458335727453232,0.0,0.035049859024584296,0.018910394906997682,0.005466832993552089,0.0,0.0,1.0015600955486297,0.022558795604854822,0.004511759199667722,0.004511759199667722,0.01598342876881361,0.03995857372879982,0.01598342876881361,0.01598342876881361,0.01598342876881361,0.004511759199667722,0.3621271526813507,0.0015290068311151117,0.0008494100841926411,0.009923972776159645,0.0062060577608644965,0.003918395654764027,0.0022304265364073215,0.002950284469407052,0.0,0.00015801880101207644,0.0003023186928476207,8.735406961932313e-05,0.0,0.0,4.0257874811544525e-10
