epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,val_loss,val_acc,oracle_acc,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_items,credit_staleness_mean,credit_age_max
1,1.0,4.660176575183868,0.499140625,0.498046875,0.06640625,0.06640625,0.06404622395833333,1.0,0.08326406528552373,0.6939756472905477,0.20823413133621216,0.49678683280944824,0.2949790358543396,1.402203619480133,16.0,0.0,0.28240852802991867,4.0,1.0,0.0,0.0,25.0,0.49841177463531494,0.987587034702301,2.35295033454895,0.4700927734375,0.0,0.0,0.0,0.0,0.8467385470867157,0.38017386198043823,0.0286888824775815,0.02313469722867012,0.016814135015010834,0.023241829127073288,0.016783222556114197,0.02356228046119213,0.01684924215078354,-0.02013382501900196,0.005289500579237938,0.6938217759132386,0.498046875,1.0,0.0039675235748291016,0.0039675235748291016,last,1.0,0.0,0.0
2,0.92,5.993782639503479,0.49203125,0.504296875,0.020833333333333332,0.020833333333333332,0.011881510416666666,1.0,0.0368589386343956,0.8237918615341187,0.13719173520803452,0.5197029113769531,0.3431053161621094,1.0200028121471405,16.0,0.0,0.38590897619724274,4.0,1.0,0.0,0.0,25.0,0.49610790610313416,0.9871799945831299,2.060274124145508,0.466461181640625,0.0,0.0,0.0,0.0,0.8142162263393402,0.3421471118927002,0.01327417977154255,0.03607957437634468,0.028938736766576767,0.03634163364768028,0.029029982164502144,0.03714228793978691,0.02917596697807312,-0.0170573927462101,0.01314703281968832,0.6936197698116302,0.504296875,1.0,0.006156325340270996,0.006156325340270996,last,1.0,0.0,0.0
3,0.8464,6.585434236526489,0.499921875,0.51171875,0.0703125,0.0703125,0.06787109375,1.0,0.08658519263068835,0.8852237065633138,0.1136239506304264,0.5144755244255066,0.3719005435705185,0.8974421322345734,14.5,0.0,0.44401270151138306,3.625,1.0,0.0,0.0,25.0,0.4947759509086609,0.9867308139801025,1.949176549911499,0.464019775390625,0.0,0.0,0.0,0.0,0.7882172465324402,0.3292921185493469,0.006746654398739338,0.04541043937206268,0.03811485692858696,0.04596804827451706,0.038404710590839386,0.04714196175336838,0.03864090144634247,-0.009256466291844845,0.020589040592312813,0.6942584693431855,0.51171875,1.0,-0.0016905665397644043,-0.0016905665397644043,last,1.0,0.0,0.0
4,0.778688,7.956858353614807,0.5009375,0.51171875,0.032552083333333336,0.032552083333333336,0.024983723958333332,1.0,0.036395138750473656,0.9213154117266337,0.10137331858277321,0.497406929731369,0.4012197405099869,0.8525748550891876,11.0,0.0,0.40190964937210083,2.75,1.0,0.0,0.0,25.0,0.49344807863235474,0.9866186380386353,1.8234885931015015,0.468841552734375,0.0,0.0,0.0,0.0,0.7689278721809387,0.3182422071695328,0.003475207951851189,0.052846115082502365,0.04606560617685318,0.05353976786136627,0.046343203634023666,0.0550815612077713,0.04673714190721512,-0.001458540791645646,0.026142457500100136,0.693051278591156,0.504296875,1.0,0.005093872547149658,0.005093872547149658,last,1.0,0.0,0.0
5,0.7163929600000001,8.643664808273316,0.501015625,0.516015625,0.006510416666666667,0.006510416666666667,0.008219401041666666,1.0,0.020275363698601723,0.9399445454279581,0.09476218931376934,0.49258092045783997,0.41265690326690674,1.0391331911087036,10.5,0.0,0.4041557312011719,2.625,1.0,0.0,0.0,25.0,0.49234721064567566,0.9859160780906677,2.0600526332855225,0.466766357421875,0.0,0.0,0.0,0.0,0.7602322399616241,0.31140581518411636,0.002147158025763929,0.05926225334405899,0.053653307259082794,0.06012193113565445,0.0537702739238739,0.06194666028022766,0.054374516010284424,0.005295490846037865,0.030566204339265823,0.6923754811286926,0.516015625,1.0,0.001775979995727539,0.001775979995727539,last,1.0,0.0,0.0
6,0.6590815232000001,7.898376145362854,0.516015625,0.53828125,0.09895833333333333,0.09895833333333333,0.057861328125,1.0,0.10192422941327095,0.9516834219296774,0.09316308982670307,0.4687765836715698,0.43806034326553345,0.8042929172515869,10.0,0.0,0.4393104016780853,2.5,1.0,0.0,0.0,25.0,0.4897480309009552,0.985967218875885,1.9564931392669678,0.4630126953125,0.0,0.0,0.0,0.0,0.7338567078113556,0.3007195144891739,0.0017136933165602386,0.06466562300920486,0.06068183854222298,0.06542901694774628,0.06055440753698349,0.06760212779045105,0.06152334064245224,0.010832871310412884,0.034138478338718414,0.688487195968628,0.53828125,1.0,0.01217961311340332,0.01217961311340332,last,1.0,0.0,0.0
7,0.6063550013440001,8.799348492622375,0.567265625,0.619140625,0.17578125,0.17578125,0.117919921875,1.0,0.13548166128263497,0.960364043712616,0.09273727983236313,0.46670183539390564,0.44056087732315063,0.7871312499046326,8.5,1.0,0.40515024960041046,2.125,1.0,0.0,0.0,25.0,0.48783397674560547,0.9853378534317017,1.5913630723953247,0.465667724609375,0.0,0.0,0.0,0.0,0.7162537276744843,0.26152151823043823,0.0012450536014512181,0.06942036002874374,0.06635519862174988,0.06995867937803268,0.06588318198919296,0.07246682792901993,0.06710650771856308,0.014690013602375984,0.03721538931131363,0.655883651971817,0.619140625,1.0,0.05281168222427368,0.05281168222427368,last,1.0,0.0,0.0
8,0.5578466012364802,11.347970457077027,0.64328125,0.650390625,0.20442708333333334,0.20442708333333334,0.1728515625,1.0,0.1987066154445832,0.9581631223360697,0.09761170390993357,0.43865472078323364,0.46373356878757477,0.43037843704223633,8.0,6.0,0.45823754370212555,2.0,1.0,0.0,0.0,25.0,0.4846070110797882,0.9858576059341431,1.4914162158966064,0.464874267578125,0.0,0.0,0.0,0.0,0.6782522201538086,0.2475004643201828,0.0012910006917081773,0.07334936410188675,0.07155530899763107,0.07370688021183014,0.07103200256824493,0.07636474072933197,0.07248612493276596,0.01718134805560112,0.03972560912370682,0.6253879785537719,0.650390625,1.0,0.04074126482009888,0.04074126482009888,last,1.0,0.0,0.0
