epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,state_norm_none,state_norm_layernorm,slot_address_used_by_controller,slot_address_used_by_executor,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,action_L0_0_1_product_present,action_L0_0_1_product_choice_mass,action_L0_0_1_product_recovery,action_L0_0_1_product_active,action_L0_0_1_product_tape,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,scanner_source_mass_sum,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,cell_write_mass_mean,target_write_gate_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,gain_disabled_delta,sim_result_disabled_delta,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_items,credit_staleness_mean,credit_age_max,ce_loss,sim_loss,expected_choice_loss,non_expected_primitive_loss,expected_active_loss,non_expected_active_loss,non_expected_tape_loss,non_expected_transform_loss,primitive_usage_diversity,cell_choice_diversity,active_budget,tape_budget,layer_action_diversity,min_transform_loss,eff_lambda_choice,eff_lambda_non_expected_primitive,eff_lambda_primitive_usage_diversity,eff_lambda_cell_choice_diversity,eff_lambda_non_expected_active,eff_lambda_non_expected_tape,eff_lambda_non_expected_transform,eff_lambda_active_budget,eff_lambda_tape_budget,eff_lambda_layer_action_diversity,weighted_ce_loss,weighted_sim_loss,weighted_expected_choice_loss,weighted_expected_active_loss,weighted_non_expected_primitive_loss,weighted_non_expected_active_loss,weighted_non_expected_tape_loss,weighted_non_expected_transform_loss,weighted_primitive_usage_diversity,weighted_cell_choice_diversity,weighted_active_budget,weighted_tape_budget,weighted_layer_action_diversity,weighted_min_transform_loss,loss_accounting_error
1,1.0,2.053399309515953,0.5253125,0.559765625,1.0,1.0,0.873046875,1.0,0.99048912525177,0.6352972984313965,0.42542409896850586,0.35463762283325195,0.2199382781982422,0.9569888710975647,16.0,16.0,0.7396305799484253,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.46698328852653503,0.9837278127670288,0.5547308921813965,1.0,0.99048912525177,1.0,0.6352972984313965,0.18765020370483398,0.4072265625,0.10380756855010986,0.2833767533302307,0.5534334778785706,0.05938220024108887,1.0,0.894043505191803,0.5226219892501831,0.06588473916053772,0.21803805232048035,0.6145126223564148,0.031098978593945503,0.012171506881713867,0.03107302077114582,0.01221509836614132,0.031095709651708603,0.012595896609127522,0.02714233100414276,0.010859118774533272,0.8476586283743381,1.0,0.8264572788774968,0.2489808142185211,0.0689691574499011,3.9836930227279663,0.8788187132729217,0.841169169226123,0.5867506357259117,1.1817719328403473,0.6771615386009217,0.559765625,1.0,-0.0017665624618530273,-0.0016072392463684082,0.0019676685333251953,0.04832591488957405,last,1.0,0.0,0.0,0.6934951972961426,0.07133093705400824,0.4892101738834754,0.8118604685366154,0.8543880161643028,0.23530906736850737,0.06555837452411652,0.5103782692551613,0.1910464967752341,0.08629518155008555,0.005150664728716947,0.0029180385428480803,0.0,0.0,1.1817719328403473,0.21029229230653074,0.04205845905383285,0.04205845905383285,0.011735012485441985,0.029337532298377482,0.011735012485441985,0.011735012485441985,0.011735012485441985,0.04205845905383285,0.6934951972961426,0.007133093802258373,1.094544746435713,0.042719401437789205,0.1916744738222849,0.0028055374895757266,0.0019077420955090929,0.005854656857591181,0.009413783222671555,0.0037482312776270987,6.81741875044395e-05,3.427833980040873e-05,0.0,0.0,6.748514636001346e-09
2,0.92,0.7473259490728378,0.6090625,0.694921875,1.0,1.0,0.597900390625,1.0,0.9989088177680969,0.7911752462387085,0.2632521986961365,0.44267305731773376,0.29407474398612976,1.3607134819030762,14.0,16.0,0.49407389760017395,3.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4698489010334015,0.9835371375083923,1.875652551651001,1.0,0.9989088177680969,1.0,0.7911752462387085,0.36310964822769165,0.3961181640625,0.24878019094467163,0.42521175742149353,0.24424335360527039,0.08176469802856445,1.0,0.8670442700386047,0.44879087805747986,0.05418448895215988,0.18738868832588196,0.5480225086212158,0.0544731505215168,0.02583085000514984,0.05485988408327103,0.02599625289440155,0.05438147112727165,0.02627149596810341,0.07185473293066025,0.029142605140805244,0.9897442680597305,1.0,0.49818663656711576,0.26666832581162453,0.05960117910057306,4.266693208217621,0.9988218981027603,0.35329471990466116,0.6981851065158844,1.0017671537399293,0.6199401021003723,0.694921875,1.0,0.00020873546600341797,0.0006693005561828613,0.004817187786102295,0.037590861320495605,last,1.0,0.0,0.0,0.6603167819976806,0.025334795340895652,0.01403755608247593,0.4654161509871483,0.32897074669599535,0.23599506959319114,0.04569775030016899,0.32313395977020265,0.005061285413096357,0.05867884814739227,0.0075950626423582435,0.0019980951596517116,0.0,0.0,1.0017671537399293,0.08832367997616529,0.01766473631374538,0.01766473631374538,0.013963701790198685,0.03490925617516041,0.013963701790198685,0.013963701790198685,0.013963701790198685,0.01766473631374538,0.6603167819976806,0.0025334795797243713,0.014064536445075645,0.01644853763282299,0.04316958624869585,0.003300364699680358,0.0016013980540446936,0.004530646617058665,0.0001452988496944485,0.0010806333384243772,0.00010669320618035271,2.7991820952593117e-05,0.0,0.0,5.828028060150814e-10
3,0.8464,0.601707489490509,0.744375,0.8140625,1.0,1.0,0.448486328125,1.0,0.9992170333862305,0.8210567831993103,0.13716164231300354,0.4962773323059082,0.36656102538108826,1.3862829208374023,11.0,14.0,0.4046740233898163,2.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4709446430206299,0.9837126135826111,2.1894595623016357,1.0,0.9992170333862305,1.0,0.8210567831993103,0.41273459792137146,0.39617919921875,0.20229265093803406,0.5261452198028564,0.17844322323799133,0.09311886131763458,0.9999999552965164,0.8757250905036926,0.3381306827068329,0.03645778447389603,0.12655138969421387,0.4098479449748993,0.07671196013689041,0.04142988473176956,0.07908552885055542,0.04252596199512482,0.07769981771707535,0.04251733794808388,0.11571406573057175,0.050423890352249146,0.9968605381250382,1.0,0.4078081813454628,0.2124905079603195,0.04594000477343798,3.3998481225967407,0.9989257949590683,0.15095576539635658,0.5647441232204438,1.0016113102436066,0.5044180929660798,0.8140625,1.0,-0.003087282180786133,-0.0035314559936523438,-0.0011776089668273926,0.03371817618608475,last,1.0,0.0,0.0,0.5660235548019409,0.01624786403030157,0.004218766670092009,0.36853804081678393,0.21238257437944413,0.17246994242072106,0.021925857374444604,0.1636374568939209,1.1778646348830079e-05,0.04767725601792336,0.0015287118678047062,0.0009896800920250826,0.0,0.0006892129778862,1.0016113102436066,0.037738941349089145,0.007547788387164474,0.007547788387164474,0.011294882213696837,0.028237206675112248,0.011294882213696837,0.011294882213696837,0.011294882213696837,0.007547788387164474,0.5660235548019409,0.0016247864265460522,0.004225984026561491,0.010619128905236721,0.01429954958613962,0.0019746598671190442,0.0006384180317400023,0.0018922951706917956,1.4971504128880041e-07,0.00037156515863898674,1.893277965115703e-05,1.1571469374302978e-05,0.0,6.892129631523858e-06,1.4221961386340354e-09
4,0.778688,0.47417745500802994,0.853984375,0.884765625,1.0,1.0,0.377197265625,1.0,0.9996329545974731,0.8443952798843384,0.09314267337322235,0.49601805210113525,0.4108392596244812,1.2779099941253662,8.0,12.0,0.36287227272987366,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4709155261516571,0.9835100173950195,2.276329278945923,1.0,0.9996329545974731,1.0,0.8443952798843384,0.43436941504478455,0.402587890625,0.157099649310112,0.6106706857681274,0.16082212328910828,0.07140755653381348,1.0000000149011612,0.8628453016281128,0.25457265973091125,0.031358685344457626,0.09576283395290375,0.3425799310207367,0.09643964469432831,0.054099056869745255,0.1027412861585617,0.056939445436000824,0.09971841424703598,0.05664358288049698,0.1453351527452469,0.06594929844141006,0.9983042240142822,1.0,0.37733586490154264,0.1529274496436119,0.03297031534835696,2.4468391799926756,0.9989454060792923,0.10800985109061002,0.40873843640089036,1.0015818881988525,0.40280722081661224,0.884765625,1.0,0.0007783174514770508,0.002144068479537964,0.01126059889793396,0.03484351187944412,last,1.0,0.0,0.0,0.44897588551044465,0.01453267654404044,0.0023381509011232995,0.33593799084424975,0.19573640272021295,0.10799977779388428,0.007227210607379675,0.0750432102382183,6.44416140858084e-07,0.04005293108522892,0.0008723267660343481,0.00032804961287183685,0.0,0.0384754478186369,1.0015818881988525,0.027002462772652506,0.0054004926630295816,0.0054004926630295816,0.008174768523313105,0.020436922255903482,0.008174768523313105,0.008174768523313105,0.008174768523313105,0.0054004926630295816,0.44897588551044465,0.0014532676781527699,0.002341982387661119,0.009786820281296968,0.00933786498149857,0.0008906684478279203,0.00015091756053152493,0.0006221095845103263,7.742725074422196e-09,0.00022367418940120844,6.777413337566429e-06,2.726199772951077e-06,0.0,0.00038475447105611237,1.440186803147725e-09
5,0.7163929600000001,0.38823421895503996,0.905703125,0.9171875,1.0,1.0,0.366943359375,1.0,0.9996730089187622,0.8671137094497681,0.07206863164901733,0.47559481859207153,0.45233654975891113,1.3612523078918457,6.0,13.0,0.3358035683631897,1.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4702957272529602,0.9829915761947632,2.373192071914673,1.0,0.9996730089187622,1.0,0.8671137094497681,0.4370328187942505,0.39349365234375,0.1788334846496582,0.6025261878967285,0.1454879343509674,0.07315234839916229,0.9999999552965164,0.8468024730682373,0.2077944576740265,0.0293218195438385,0.08124534040689468,0.3046948313713074,0.11189891397953033,0.0628003254532814,0.12171857804059982,0.06731491535902023,0.11764244735240936,0.06679270416498184,0.16460047662258148,0.07655736804008484,0.9989986956119538,1.0,0.33781079679727555,0.1291786403208971,0.0300279894284904,2.0668582415580747,0.9989546227455139,0.06779804900288582,0.34900435447692874,1.0015680623054504,0.34303505420684816,0.9171875,1.0,-0.0007212460041046143,-0.0002707839012145996,0.002327531576156616,0.033247850835323334,last,1.0,0.0,0.0,0.3705113816261292,0.013001257181167602,0.0012722417499753647,0.2937316207587719,0.16669985726475717,0.08108337208628655,0.003065676998812705,0.04330403393134475,0.0,0.03137695986777544,0.002599388003582135,0.00022738602230674588,0.0,0.067980674803257,1.0015680623054504,0.016949512250721454,0.0033899025165010244,0.0033899025165010244,0.00698008693754673,0.017450218144804238,0.00698008693754673,0.00698008693754673,0.00698008693754673,0.0033899025165010244,0.3705113816261292,0.001300125743728131,0.0012742978850292274,0.008334993054158985,0.005080949631519616,0.0005668864611652679,5.380866943596629e-05,0.00030332583366543986,0.0,0.00010898731285124086,1.806287618819624e-05,1.591673583334341e-06,0.0,0.000679806733969599,1.4536157832978347e-09
