epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,state_norm_none,state_norm_layernorm,slot_address_used_by_controller,slot_address_used_by_executor,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,action_L0_0_1_diff_present,action_L0_0_1_diff_choice_mass,action_L0_0_1_diff_recovery,action_L0_0_1_diff_active,action_L0_0_1_diff_tape,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,scanner_source_mass_sum,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,cell_write_mass_mean,target_write_gate_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,gain_disabled_delta,sim_result_disabled_delta,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_items,credit_staleness_mean,credit_age_max,ce_loss,sim_loss,expected_choice_loss,non_expected_primitive_loss,expected_active_loss,non_expected_active_loss,non_expected_tape_loss,non_expected_transform_loss,primitive_usage_diversity,cell_choice_diversity,active_budget,tape_budget,layer_action_diversity,min_transform_loss,eff_lambda_choice,eff_lambda_non_expected_primitive,eff_lambda_primitive_usage_diversity,eff_lambda_cell_choice_diversity,eff_lambda_non_expected_active,eff_lambda_non_expected_tape,eff_lambda_non_expected_transform,eff_lambda_active_budget,eff_lambda_tape_budget,eff_lambda_layer_action_diversity,weighted_ce_loss,weighted_sim_loss,weighted_expected_choice_loss,weighted_expected_active_loss,weighted_non_expected_primitive_loss,weighted_non_expected_active_loss,weighted_non_expected_tape_loss,weighted_non_expected_transform_loss,weighted_primitive_usage_diversity,weighted_cell_choice_diversity,weighted_active_budget,weighted_tape_budget,weighted_layer_action_diversity,weighted_min_transform_loss,loss_accounting_error
1,1.0,1.1256751543283463,0.508984375,0.551953125,1.0,1.0,0.796630859375,1.0,0.9971736669540405,0.5534515380859375,0.45895612239837646,0.30237334966659546,0.23867051303386688,1.1597168445587158,16.0,16.0,0.6403194665908813,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4405093491077423,0.985612690448761,1.204969882965088,1.0,0.9971736669540405,1.0,0.5534515380859375,0.1452593207359314,0.4263916015625,0.5231725573539734,0.10504476726055145,0.3543432354927063,0.017439428716897964,0.9999999888241291,0.896928071975708,0.5600260496139526,0.07260739803314209,0.21906757354736328,0.615568220615387,0.02777429111301899,0.009022889658808708,0.02788199670612812,0.009237832389771938,0.02771797403693199,0.00911968108266592,0.010089186951518059,0.007054282817989588,0.9362353813648224,1.0,0.7911088648438453,0.25868052124977114,0.07203710135072469,4.138888337612152,0.9661534956097603,0.8241068290919066,0.6589370143413543,1.050769761800766,0.6835276782512665,0.551953125,1.0,0.0023338794708251953,0.006075859069824219,0.005882441997528076,0.04616449773311615,last,1.0,0.0,0.0,0.697575740814209,0.05399920620024204,0.11549567510839552,0.7814338105916977,0.9847869193553924,0.24933021903038025,0.06982333332300186,0.5076466143131256,0.14656051773327364,0.08627727665007115,0.006731332293711602,0.0032687413482926785,0.0,0.0,1.050769761800766,0.20602670727297664,0.041205342144239696,0.041205342144239696,0.013178739978466183,0.03294685145840049,0.013178739978466183,0.013178739978466183,0.013178739978466183,0.041205342144239696,0.697575740814209,0.005399920693598688,0.17913331762887538,0.049239346850663425,0.1711733441101387,0.0033175370772369206,0.002311537662753835,0.006656158231198788,0.007125096490142209,0.003604889054840896,9.445051437523944e-05,4.381061011372367e-05,0.0,0.0,4.590199553788921e-09
2,0.92,0.6975909179449081,0.648671875,0.736328125,1.0,1.0,0.64697265625,1.0,0.9991439580917358,0.7671538591384888,0.2845231592655182,0.3564062714576721,0.3590705394744873,1.2612460851669312,14.0,16.0,0.5353819727897644,3.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.43903112411499023,0.9838932156562805,1.8242220878601074,1.0,0.9991439580917358,1.0,0.7671538591384888,0.36545899510383606,0.4443359375,0.529091477394104,0.09862576425075531,0.3449494242668152,0.02733331359922886,0.9999999795109034,0.9015733003616333,0.48255228996276855,0.06119143217802048,0.17960205674171448,0.5320820808410645,0.05055702477693558,0.023213360458612442,0.05092105269432068,0.023670652881264687,0.05005470663309097,0.0234579686075449,0.05721072107553482,0.024247556924819946,0.993187181353569,1.0,0.4782678157091141,0.26779022321105006,0.06361221939325333,4.284643528461456,0.998874517083168,0.2952259412407875,0.6999900901317596,1.0016882288455964,0.5475351870059967,0.736328125,1.0,0.00025194883346557617,0.005164980888366699,0.011660873889923096,0.035617947578430176,last,1.0,0.0,0.0,0.6223898816108704,0.020487849060446026,0.008052007224177942,0.4439398819208145,0.4107200601696968,0.24081689298152922,0.051517605371773245,0.349683056473732,0.0016052457408935084,0.05644925341010094,0.00794637625804171,0.0023755668953526765,0.0,0.0,1.0016882288455964,0.07380648531019687,0.014761297293007373,0.014761297293007373,0.013999801492318512,0.03499950509518385,0.013999801492318512,0.013999801492318512,0.013999801492318512,0.014761297293007373,0.6223898816108704,0.0020487849379424005,0.00806615543900989,0.020536003326997163,0.03337801015935838,0.003385374692734331,0.001815660948632285,0.004933220464736223,3.1632297942554286e-05,0.0008596614023554139,0.00011308927681966452,3.3445975423092025e-05,0.0,0.0,2.5879136611450804e-09
3,0.8464,0.5132748356461525,0.80671875,0.844921875,1.0,1.0,0.369384765625,1.0,0.9996907711029053,0.8334059119224548,0.18496716022491455,0.3868711590766907,0.42816171050071716,1.2519818544387817,12.0,6.0,0.39012861251831055,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4386608898639679,0.9847611784934998,2.1186232566833496,1.0,0.9996907711029053,1.0,0.8334059119224548,0.4407734274864197,0.4412841796875,0.4134683907032013,0.17583099007606506,0.357951283454895,0.052749332040548325,0.9999999962747097,0.9544068574905396,0.3914536237716675,0.049169670790433884,0.14926616847515106,0.4621121883392334,0.06890340894460678,0.031886305660009384,0.06980312615633011,0.03250905126333237,0.06758663058280945,0.03198971226811409,0.09621068090200424,0.03734227269887924,0.9968889701366425,1.0,0.4330158105492592,0.2216076993942261,0.05615469835698605,3.5457231998443604,0.9989262396097183,0.19555507495999336,0.5891101068258285,1.0016106379032135,0.4093142092227936,0.844921875,1.0,0.00043714046478271484,0.002165675163269043,0.008787781000137329,0.02698586881160736,last,1.0,0.0,0.0,0.4710997134447098,0.01431457401253283,0.0037933634349610655,0.3954242843389511,0.22473928093910217,0.1828671406209469,0.03181235998868942,0.19928068026900292,0.00020934683490168027,0.030632614586502314,0.0018183484231121838,0.001705139186233282,0.0,0.0,1.0016106379032135,0.04888876873999834,0.009777753879316151,0.009777753879316151,0.011782201835885645,0.02945550575852394,0.011782201835885645,0.011782201835885645,0.011782201835885645,0.009777753879316151,0.4710997134447098,0.001431457424769178,0.0037997193733463066,0.011236964277923107,0.019880157001316547,0.0021600026392843575,0.0009426490048645064,0.002362218841444701,3.2879490952630874e-06,0.0003166546214197297,2.1807417242598602e-05,2.020421919041837e-05,0.0,0.0,5.684540616002209e-10
4,0.778688,0.3867340308427811,0.884140625,0.907421875,1.0,1.0,0.322265625,1.0,0.9997515678405762,0.868436336517334,0.121331125497818,0.42323142290115356,0.45543745160102844,1.230618953704834,8.0,5.0,0.3393844962120056,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.43902304768562317,0.9834680557250977,2.242345094680786,1.0,0.9997515678405762,1.0,0.868436336517334,0.4396597146987915,0.4403076171875,0.4208661913871765,0.17956236004829407,0.3417002260684967,0.05787120759487152,0.9999999850988388,0.9869511127471924,0.3143828511238098,0.03729331120848656,0.1334345042705536,0.4303572475910187,0.08472631126642227,0.03962909057736397,0.08611969649791718,0.040139127522706985,0.08231186121702194,0.039163537323474884,0.12912695109844208,0.049509819597005844,0.9990481811761857,1.0,0.37376934438943865,0.19277790889143945,0.04311324886977672,3.084446523189545,0.9989552921056748,0.10136372253298759,0.5135080149769783,1.0015670704841613,0.33057592809200287,0.907421875,1.0,0.00010350346565246582,0.0007941722869873047,0.005507111549377441,0.02610934153199196,last,1.0,0.0,0.0,0.3642818033695221,0.011122903358191251,0.0011497860016243067,0.33208410620689394,0.166139854490757,0.14898292273283004,0.016238285275176168,0.11435919374227524,0.0,0.02593501130118966,0.00022287678666884858,0.0008063973853131756,0.0,0.007783006429672241,1.0015670704841613,0.025340930633246897,0.005068186200223863,0.005068186200223863,0.010270160110667347,0.025675401128828525,0.010270160110667347,0.010270160110667347,0.010270160110667347,0.005068186200223863,0.3642818033695221,0.001112290360033512,0.0011516360739915398,0.008306992910802365,0.008525511180050672,0.00153364023193717,0.00042061900225235147,0.0011817024130141363,0.0,0.0001312609423621325,2.3738192382999345e-06,8.371223157155327e-06,0.0,7.783006222780386e-05,7.458081374700498e-10
5,0.7163929600000001,0.3169529339671135,0.924609375,0.936328125,1.0,1.0,0.31005859375,1.0,0.9997913241386414,0.8902134895324707,0.09478320926427841,0.43115395307540894,0.47406280040740967,1.3156229257583618,5.0,5.0,0.3246718645095825,1.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4392144978046417,0.9830582141876221,2.2574996948242188,1.0,0.9997913241386414,1.0,0.8902134895324707,0.43436264991760254,0.44256591796875,0.4559723436832428,0.16404187679290771,0.3315191864967346,0.04846661537885666,1.0000000223517418,1.0068583488464355,0.2659466862678528,0.032716281712055206,0.1307281255722046,0.4461901783943176,0.09816747903823853,0.047736890614032745,0.10007704049348831,0.04800340160727501,0.09487903863191605,0.046955399215221405,0.1549321860074997,0.06085832044482231,0.9994625371694564,1.0,0.34871488213539126,0.17455193385481835,0.034251537267118694,2.792830946445465,0.9989607048034668,0.07552432391792535,0.4650595459342003,1.0015589463710786,0.28144203722476957,0.936328125,1.0,0.00044223666191101074,0.0016103684902191162,0.0061359703540802,0.027167297899723053,last,1.0,0.0,0.0,0.2999615204334259,0.010114366505295038,0.0007454824452725006,0.30533172100782396,0.13725084461271764,0.12791084870696068,0.0077084616245701905,0.0693373641371727,0.0,0.027434621043503284,4.6806403088206495e-05,0.0003745127214642707,0.0,0.04369591824710369,1.0015589463710786,0.018881080979481338,0.0037762162508443,0.0037762162508443,0.009301190711557866,0.023252977654337884,0.009301190711557866,0.009301190711557866,0.009301190711557866,0.0037762162508443,0.2999615204334259,0.0010114366718335078,0.0007466930599366605,0.006862542317248881,0.00580967447720468,0.0011907235032413155,0.0001799402302276576,0.0006464450806379318,0.0,0.00010307676675438415,4.2529922410307557e-07,3.4964233009304737e-06,0.0,0.00043695917323930187,5.308382622359886e-10
