epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,val_loss,val_acc,oracle_acc,sim_disabled_delta,choice_without_sim_delta,credit_items,credit_staleness_mean,credit_age_max
1,1.0,2.280928703546524,0.501484375,0.56640625,0.62109375,0.62109375,0.874267578125,1.0,0.48482072353363037,0.6658816337585449,0.1895652860403061,0.5289223790168762,0.2815123200416565,0.7301402688026428,0.51068115234375,0.0,0.0,0.0,0.0,25.0,0.5003328323364258,0.9870772361755371,0.8005385398864746,0.8720805644989014,0.5019078850746155,0.02895428240299225,0.023468472063541412,0.014900374226272106,0.02365289069712162,0.014624160714447498,0.02388113923370838,0.014836170710623264,-0.015426830388605595,0.012397478334605694,0.6794518530368805,0.56640625,1.0,0.012856662273406982,0.012856662273406982,1.0,0.0,0.0
2,0.92,2.905455296039581,0.695,0.8125,0.36328125,0.36328125,0.683349609375,1.0,0.3168199360370636,0.7414820194244385,0.09063620120286942,0.6344050765037537,0.27495867013931274,0.6715507507324219,0.49420166015625,0.0,0.0,0.0,0.0,25.0,0.5000434517860413,0.9868987798690796,1.1350395679473877,0.8475334644317627,0.39277005195617676,0.011579384095966816,0.039257124066352844,0.03213553875684738,0.03981970623135567,0.03122599795460701,0.04065090790390968,0.032198578119277954,0.0008552654762752354,0.024762410670518875,0.4310030072927475,0.8125,1.0,0.08799043297767639,0.08799043297767639,1.0,0.0,0.0
3,0.8464,2.86143403172493,0.8859375,0.923046875,0.546875,0.546875,0.71142578125,1.0,0.5481133460998535,0.6936235427856445,0.05834635719656944,0.6641963720321655,0.27745726704597473,0.30878978967666626,0.4920654296875,0.0,0.0,0.0,0.0,25.0,0.49812421202659607,0.987593412399292,0.7663683295249939,0.8542235493659973,0.29757630825042725,0.00894149485975504,0.05454612895846367,0.04929017648100853,0.05542851984500885,0.047769755125045776,0.05794138461351395,0.049415573477745056,0.037273529917001724,0.042563699185848236,0.22049905061721803,0.923046875,1.0,0.06002192199230194,0.06002192199230194,1.0,0.0,0.0
4,0.778688,2.8155253565311433,0.93046875,0.946484375,0.65625,0.65625,0.731689453125,1.0,0.66166090965271,0.6729397773742676,0.04540278762578964,0.6918339729309082,0.26276323199272156,0.2822766900062561,0.4947509765625,0.0,0.0,0.0,0.0,25.0,0.49795839190483093,0.9874147772789001,0.7041990160942078,0.8658457398414612,0.2329820692539215,0.007642051205039024,0.07247155159711838,0.062221940606832504,0.07297269254922867,0.0603615827858448,0.07724512368440628,0.062263552099466324,0.062285296618938446,0.055771779268980026,0.15634538233280182,0.946484375,1.0,0.044256240129470825,0.044256240129470825,1.0,0.0,0.0
5,0.7163929600000001,2.599534116983414,0.942421875,0.951953125,0.5078125,0.5078125,0.625244140625,1.0,0.49839815497398376,0.7030578851699829,0.042137958109378815,0.6774311661720276,0.2804308533668518,0.27169162034988403,0.4940185546875,0.0,0.0,0.0,0.0,25.0,0.49834173917770386,0.9870468974113464,0.7063776254653931,0.8679989576339722,0.20394420623779297,0.007156951818615198,0.08883058279752731,0.07342177629470825,0.08930336683988571,0.07088612765073776,0.09510410577058792,0.07324635237455368,0.077706478536129,0.06631845235824585,0.1262894056737423,0.951953125,1.0,0.04972212016582489,0.04972212016582489,1.0,0.0,0.0
