epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,state_norm_none,state_norm_layernorm,slot_address_used_by_controller,slot_address_used_by_executor,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,action_L0_0_1_diff_present,action_L0_0_1_diff_choice_mass,action_L0_0_1_diff_recovery,action_L0_0_1_diff_active,action_L0_0_1_diff_tape,action_L0_2_3_diff_present,action_L0_2_3_diff_choice_mass,action_L0_2_3_diff_recovery,action_L0_2_3_diff_active,action_L0_2_3_diff_tape,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,scanner_source_mass_sum,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,cell_write_mass_mean,target_write_gate_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,gain_disabled_delta,sim_result_disabled_delta,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_items,credit_staleness_mean,credit_age_max,ce_loss,sim_loss,expected_choice_loss,non_expected_primitive_loss,expected_active_loss,non_expected_active_loss,non_expected_tape_loss,non_expected_transform_loss,primitive_usage_diversity,cell_choice_diversity,active_budget,tape_budget,layer_action_diversity,min_transform_loss,eff_lambda_choice,eff_lambda_non_expected_primitive,eff_lambda_primitive_usage_diversity,eff_lambda_cell_choice_diversity,eff_lambda_non_expected_active,eff_lambda_non_expected_tape,eff_lambda_non_expected_transform,eff_lambda_active_budget,eff_lambda_tape_budget,eff_lambda_layer_action_diversity,weighted_ce_loss,weighted_sim_loss,weighted_expected_choice_loss,weighted_expected_active_loss,weighted_non_expected_primitive_loss,weighted_non_expected_active_loss,weighted_non_expected_tape_loss,weighted_non_expected_transform_loss,weighted_primitive_usage_diversity,weighted_cell_choice_diversity,weighted_active_budget,weighted_tape_budget,weighted_layer_action_diversity,weighted_min_transform_loss,loss_accounting_error
1,1.0,1.4729922032356262,0.506171875,0.5203125,0.998046875,0.998046875,0.567138671875,1.0,0.9848901927471161,0.40970927476882935,0.3488026559352875,0.3578295111656189,0.29336783289909363,1.2445011138916016,16.0,13.0,0.49824193120002747,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4437107443809509,0.9835947751998901,1.5169215202331543,1.0,0.9851363897323608,1.0,0.4047311842441559,0.08592510968446732,1.0,0.9846439957618713,0.99609375,0.4146873652935028,0.0693235695362091,0.42694091796875,0.34977251291275024,0.14751258492469788,0.3852303624153137,0.11748454719781876,1.0000000074505806,0.9070464372634888,0.5439097881317139,0.04977685213088989,0.18289512395858765,0.5490376353263855,0.027008801698684692,0.015525022521615028,0.027069099247455597,0.01556309312582016,0.026911769062280655,0.015407582744956017,0.003612071741372347,0.005871383473277092,0.9228189718723298,1.0,0.8118845018744468,0.23731343016028406,0.055889925137162205,3.7970148730278015,0.9682540547847748,0.9535053226351738,0.6076146247982979,1.047618911266327,0.6949574470520019,0.5203125,1.0,0.0005012750625610352,0.0012679696083068848,0.0016834139823913574,0.03538557142019272,last,1.0,0.0,0.0,0.6996258163452148,0.05789116453379393,0.13268973552621902,0.7960367619991302,1.1837380504608155,0.22480429872870444,0.05387271039187908,0.4295721897482872,0.1653521003333708,0.08149876128882169,0.018983685076236725,0.002513157717185095,0.0,0.0,1.047618911266327,0.572103216946125,0.07628042420372366,0.07628042420372366,0.06076146380975842,0.09114219699054957,0.036456876732409,0.072913753464818,0.06076146380975842,0.047675266843289134,0.6996258163452148,0.005789116541855037,0.1893513378687203,0.059186903648078444,0.46403709731996057,0.013680086024105548,0.004865479154977948,0.015481067602522672,0.013184778100552847,0.006239618535619229,0.0014005202078260482,0.00015038406985695474,0.0,0.0,2.1836641383998767e-09
2,0.92,0.8240651267766953,0.615078125,0.7203125,1.0,1.0,0.257080078125,1.0,0.9989901483058929,0.5692664384841919,0.24159769713878632,0.3973497152328491,0.36105257272720337,1.1081020832061768,12.0,4.0,0.2714022099971771,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.44668906927108765,0.9863027334213257,2.277413845062256,1.0,0.9988834261894226,1.0,0.5677259564399719,0.130944162607193,1.0,0.9990968704223633,1.0,0.5708069205284119,0.09969295561313629,0.43231201171875,0.49271297454833984,0.16698887944221497,0.28586000204086304,0.05443814396858215,1.0,0.9128118753433228,0.5173603892326355,0.044087447226047516,0.18113189935684204,0.5317598581314087,0.051429037004709244,0.03227117657661438,0.05208756402134895,0.03222087398171425,0.05116589367389679,0.03182213380932808,0.02621995098888874,0.019146628677845,0.9834799641370773,1.0,0.31950506061315537,0.25543723538517954,0.0449043133482337,4.086995806694031,0.9987156039476395,0.5511526688933372,0.6527244049310684,1.001926599740982,0.58627690076828,0.7203125,1.0,0.004391312599182129,0.0027734041213989258,0.010088145732879639,0.026619674637913704,last,1.0,0.0,0.0,0.6505295372009278,0.032914686426520345,0.021128018544986846,0.2246515128016472,0.754712256193161,0.2226180328428745,0.038548728302121166,0.2821026711165905,7.139871158869937e-06,0.027833279501646758,0.024169908165931703,0.0015179093449842185,0.0,0.0,1.001926599740982,0.33069161579012873,0.0440922125801444,0.0440922125801444,0.06527244202792644,0.09790866501629353,0.03916346333920956,0.07832692667841912,0.06527244202792644,0.027557633873075246,0.6505295372009278,0.003291468694806099,0.02117425063857809,0.03773561332374811,0.07877360980957747,0.014531430322676897,0.003773785764351487,0.01104568399488926,5.104926640342455e-07,0.0012165167677449062,0.0018936543795280158,9.906478364428039e-05,0.0,0.0,6.035588695496585e-10
3,0.8464,0.62026635825634,0.775390625,0.841015625,1.0,1.0,0.251953125,1.0,0.999512255191803,0.6632596254348755,0.2039332389831543,0.40721356868743896,0.38885319232940674,0.9428593516349792,11.0,4.0,0.26916325092315674,2.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4475845992565155,0.9832055568695068,2.1029648780822754,1.0,0.9994456768035889,1.0,0.6673001050949097,0.17757049202919006,1.0,0.9995788335800171,1.0,0.6592191457748413,0.1550302505493164,0.42864990234375,0.48981282114982605,0.1748722642660141,0.280120313167572,0.05519459396600723,0.9999999925494194,0.9948523044586182,0.4945443570613861,0.0497145913541317,0.18056146800518036,0.5097486972808838,0.07479792088270187,0.05141700431704521,0.07630794495344162,0.051877304911613464,0.07337374240159988,0.05076951906085014,0.050229817628860474,0.043828681111335754,0.996745508313179,1.0,0.26624921202659607,0.25525990188121794,0.0459012745320797,4.0841584968566895,0.9989245945215225,0.39574852228164675,0.6526087856292725,1.0016131067276002,0.4524512678384781,0.841015625,1.0,-0.0007820427417755127,0.0018388330936431885,0.004556149244308472,0.027409447357058525,last,1.0,0.0,0.0,0.5236214768886566,0.020394179373979568,0.004025615517166443,0.16172829255461693,0.497117919921875,0.2030825436115265,0.0325751911662519,0.19368809789419175,0.0,0.039122875444591046,0.024111464954912662,0.0015980475780088454,0.0,0.0,1.0016131067276002,0.2374491223692894,0.031659880951046944,0.031659880951046944,0.06526088021695614,0.09789132215082645,0.039156526029109955,0.07831305205821991,0.06526088021695614,0.01978742651641369,0.5236214768886566,0.0020394179853610696,0.004032253409968689,0.024855896420776843,0.03845999490469694,0.013254071986302733,0.0031888708123005926,0.007583823031745851,0.0,0.001237699338234961,0.0018885563500225543,0.00010429315458168275,0.0,0.0,3.973691486969244e-09
4,0.778688,0.5073148068785668,0.851875,0.865234375,1.0,1.0,0.25048828125,1.0,0.9997247159481049,0.7402444183826447,0.18753951787948608,0.4150732457637787,0.39738723635673523,0.8953735828399658,8.0,4.0,0.25664377212524414,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.44817543029785156,0.9831105470657349,2.0289299488067627,1.0,0.9996916055679321,1.0,0.7452386617660522,0.22396838665008545,1.0,0.9997578263282776,1.0,0.7352501749992371,0.21575911343097687,0.44134521484375,0.4692181944847107,0.16975587606430054,0.30235594511032104,0.058669961988925934,0.9999999776482582,1.0372017621994019,0.47818467020988464,0.05932372063398361,0.19085443019866943,0.5100617408752441,0.09334045648574829,0.06705701351165771,0.09602087736129761,0.06825274974107742,0.0899445191025734,0.06603231281042099,0.06169913709163666,0.06096690520644188,0.9984646898508072,1.0,0.2629385951161385,0.25121922239661215,0.053809390626847746,4.019507563114166,0.9989476442337036,0.3860403519868851,0.6467510783672332,1.0015785336494445,0.3935999691486359,0.865234375,1.0,-0.0008079409599304199,0.000769197940826416,0.0018869638442993164,0.024063343182206154,last,1.0,0.0,0.0,0.42527383655309675,0.017267795922234656,0.0020268355117877947,0.15295493423938752,0.36415869027376174,0.18653781205415726,0.034131471440196036,0.15605145394802095,0.0,0.04180591061711311,0.022872400619089604,0.0022949429193977267,0.0,0.0,1.0015785336494445,0.23162421971559524,0.030883227437734605,0.030883227437734605,0.06467510923743248,0.09701266616582871,0.03880506362766027,0.07761012725532054,0.06467510923743248,0.01930201793089509,0.42527383655309675,0.001726779615273699,0.0020300991513067857,0.018207934927195312,0.03542747605592012,0.012065203944221139,0.0033112801634706556,0.006055947970598936,0.0,0.0012924185383599253,0.0017754019633866847,0.00014842801690974737,0.0,0.0,2.1172952280323898e-11
5,0.7163929600000001,0.43706629365682603,0.8978125,0.923046875,1.0,1.0,0.25,1.0,0.999654233455658,0.7883730530738831,0.20408765971660614,0.3934139311313629,0.40249842405319214,0.8420689105987549,8.0,4.0,0.26154714822769165,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.44823330640792847,0.983104944229126,2.0134732723236084,1.0,0.9996434450149536,1.0,0.7943115234375,0.2927365303039551,1.0,0.9996650218963623,1.0,0.7824345827102661,0.26889973878860474,0.44073486328125,0.4204680323600769,0.2494824081659317,0.28385448455810547,0.04619508981704712,1.0000000149011612,1.0565258264541626,0.47850584983825684,0.07413867861032486,0.19933390617370605,0.5132896900177002,0.10866953432559967,0.07887214422225952,0.11309965699911118,0.08090790361166,0.1039486974477768,0.07761237025260925,0.07525121420621872,0.07150579988956451,0.9989501905441284,1.0,0.2601489838957787,0.2520536032319069,0.06595141757279635,4.032857682704925,0.9989540082216263,0.3777731370925903,0.6479732197523117,1.0015689766407012,0.3302004307508469,0.923046875,1.0,0.0005909502506256104,0.002152055501937866,0.004753321409225464,0.02378578670322895,last,1.0,0.0,0.0,0.3614141568541527,0.01675277459435165,0.001619517654835363,0.1504141241312027,0.2755624856054783,0.17867116391658783,0.03983832102268934,0.1488346365094185,0.0,0.0399811777472496,0.02312444806098938,0.003612230261787772,0.0,0.0,1.0015689766407012,0.22666389107704163,0.030221850275993348,0.030221850275993348,0.06479732304811478,0.09719598710536957,0.03887839216738939,0.07775678433477878,0.06479732304811478,0.01888865739107132,0.3614141568541527,0.0016752774850465357,0.0016221268802473787,0.013778124433010817,0.03409792114049196,0.011577678695321083,0.0038726247125305236,0.005786517430096865,0.0,0.0012094255595002323,0.00179830314242281,0.000234136691869935,0.0,0.0,6.321352330473928e-10
