epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,val_loss,val_acc,sim_disabled_delta,choice_without_sim_delta,credit_items,credit_staleness_mean,credit_age_max
1,1.0,1.0424383801221848,0.5003125,0.49609375,1.0,1.0,0.999755859375,1.0,0.9765462875366211,0.2663732171058655,0.5554034113883972,0.2685369849205017,0.17605964839458466,0.22649440169334412,0.51141357421875,0.0,0.0,0.0,0.0,25.0,0.501088559627533,0.9879423379898071,0.09762579947710037,0.8806952238082886,0.5922301411628723,0.1020604819059372,0.6950796961784362,0.49609375,0.010634124279022217,0.010634124279022217,1.0,0.0,0.0
2,0.92,1.4833192509412765,0.493671875,0.497265625,0.7890625,0.7890625,0.80712890625,1.0,0.7415811419487,0.27656805515289307,0.5853532552719116,0.2442297488451004,0.17041704058647156,0.566628098487854,0.51593017578125,0.0,0.0,0.0,0.0,25.0,0.4998593330383301,0.9876426458358765,0.7204195857048035,0.8304446339607239,0.6179709434509277,0.12773185968399048,0.694239366054535,0.497265625,0.00487518310546875,0.00487518310546875,1.0,0.0,0.0
3,0.8464,0.9549866479635238,0.497734375,0.497265625,0.9921875,0.9921875,0.99462890625,1.0,0.9507038593292236,0.2749345302581787,0.6035945415496826,0.23385879397392273,0.16254663467407227,0.268288254737854,0.5115966796875,0.0,0.0,0.0,0.0,25.0,0.5002394914627075,0.9876455068588257,0.19218765199184418,0.8107625842094421,0.6195471286773682,0.1401243507862091,0.6937355875968934,0.496875,0.0010876059532165527,0.0010876059532165527,1.0,0.0,0.0
4,0.778688,0.7853995597362519,0.495703125,0.497265625,0.98046875,0.98046875,0.990478515625,1.0,0.9249266982078552,0.2557491064071655,0.6057453155517578,0.24125318229198456,0.15300148725509644,0.3467489778995514,0.508544921875,0.0,0.0,0.0,0.0,25.0,0.4995947480201721,0.9872328042984009,0.1444408893585205,0.7834221124649048,0.6221286654472351,0.1512475609779358,0.6956648349761962,0.479296875,-0.005236446857452393,-0.005236446857452393,1.0,0.0,0.0
5,0.7163929600000001,0.7461792397499084,0.49984375,0.50546875,1.0,1.0,1.0,1.0,0.996308445930481,0.2645201086997986,0.6228451728820801,0.23099184036254883,0.1461629569530487,0.1147441565990448,0.51019287109375,0.0,0.0,0.0,0.0,25.0,0.49964794516563416,0.987355649471283,0.03571029379963875,0.7650663256645203,0.6338642835617065,0.16606299579143524,0.6928661227226257,0.50546875,0.0007992982864379883,0.0007992982864379883,1.0,0.0,0.0
