epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,state_norm_none,state_norm_layernorm,slot_address_used_by_controller,slot_address_used_by_executor,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,action_L0_0_1_diff_present,action_L0_0_1_diff_choice_mass,action_L0_0_1_diff_recovery,action_L0_0_1_diff_active,action_L0_0_1_diff_tape,action_L0_2_3_diff_present,action_L0_2_3_diff_choice_mass,action_L0_2_3_diff_recovery,action_L0_2_3_diff_active,action_L0_2_3_diff_tape,action_L1_1_3_product_present,action_L1_1_3_product_choice_mass,action_L1_1_3_product_recovery,action_L1_1_3_product_active,action_L1_1_3_product_tape,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,scanner_source_mass_sum,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,cell_write_mass_mean,target_write_gate_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,gain_disabled_delta,sim_result_disabled_delta,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_items,credit_staleness_mean,credit_age_max,ce_loss,sim_loss,expected_choice_loss,non_expected_primitive_loss,expected_active_loss,non_expected_active_loss,non_expected_tape_loss,non_expected_transform_loss,primitive_usage_diversity,cell_choice_diversity,active_budget,tape_budget,layer_action_diversity,min_transform_loss,eff_lambda_choice,eff_lambda_non_expected_primitive,eff_lambda_primitive_usage_diversity,eff_lambda_cell_choice_diversity,eff_lambda_non_expected_active,eff_lambda_non_expected_tape,eff_lambda_non_expected_transform,eff_lambda_active_budget,eff_lambda_tape_budget,eff_lambda_layer_action_diversity,weighted_ce_loss,weighted_sim_loss,weighted_expected_choice_loss,weighted_expected_active_loss,weighted_non_expected_primitive_loss,weighted_non_expected_active_loss,weighted_non_expected_tape_loss,weighted_non_expected_transform_loss,weighted_primitive_usage_diversity,weighted_cell_choice_diversity,weighted_active_budget,weighted_tape_budget,weighted_layer_action_diversity,weighted_min_transform_loss,loss_accounting_error
1,1.0,1.777184579372406,0.496640625,0.509375,1.0,1.0,0.50390625,1.0,0.9867724577585856,0.4417097767194112,0.25608912110328674,0.4517802894115448,0.29213059693574905,1.3090227544307709,16.0,8.0,0.3717305660247803,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.44787630438804626,0.9828329086303711,2.4580330848693848,1.0,0.9838534593582153,1.0,0.3952997326850891,0.07157900929450989,1.0,0.9831087589263916,1.0,0.40641820430755615,0.04858420044183731,1.0,0.9933551549911499,1.0,0.5234113931655884,0.07063314318656921,0.42608642578125,0.25834057480096817,0.3341478295624256,0.3177000917494297,0.08981151971966028,1.0000000158324838,0.8947033584117889,0.3463670313358307,0.022837231867015362,0.14521895349025726,0.4481925964355469,0.02329115942120552,0.017645714804530144,0.02390143647789955,0.017348263412714005,0.023773130029439926,0.01712234690785408,-0.029808584600687027,0.003430020296946168,0.8824714633822441,1.0,0.5779965487122536,0.2132135647535324,0.03970926171168685,3.4114170360565184,0.9369868408888579,0.8891540320217609,0.5749936303496361,1.0945197367668151,0.6944300293922424,0.509375,1.0,0.0009721517562866211,0.001746833324432373,0.0018440485000610352,0.03780233860015869,last,1.0,0.0,0.0,0.6971717262268067,0.08177648089826108,0.3400866770371795,0.5503387051820755,1.1376442712545396,0.20063015833497047,0.0373276162520051,0.38058401599526404,0.09257249659079264,0.05789232028648257,0.027245016749948264,0.0015330172926769593,0.0,0.0,1.0945197367668151,0.62240781519562,0.0889154045889154,0.0889154045889154,0.10349885758943855,0.11499872794374824,0.0459994895150885,0.14374840758740903,0.06899923416785896,0.0444577022944577,0.6971717262268067,0.008177648205310107,0.5949151627719402,0.056882214657962324,0.3599743632413447,0.02058625437086448,0.004113883921527304,0.017155402721837163,0.009016465213612723,0.005254318105289713,0.0038402366230729968,9.689692346000812e-05,0.0,0.0,6.389377471549551e-09
2,0.92,0.8360795712471009,0.504609375,0.516796875,1.0,1.0,0.19352213541666666,1.0,0.9986253579457601,0.5878864129384359,0.13713763654232025,0.5669947266578674,0.2958676367998123,1.2129629254341125,9.5,2.5,0.2825171649456024,2.375,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.45431050658226013,0.9819674491882324,2.650178909301758,1.0,0.9991006851196289,1.0,0.53790283203125,0.055568575859069824,1.0,0.9993858337402344,1.0,0.5410385131835938,0.02298927679657936,1.0,0.997389554977417,1.0,0.6847178936004639,0.06161792576313019,0.426849365234375,0.2874320447444916,0.33609654381871223,0.3286008760333061,0.047870539128780365,1.0000000037252903,0.8114282786846161,0.26384952664375305,0.011225701309740543,0.1364952176809311,0.4135863482952118,0.047038279473781586,0.033246587961912155,0.048552125692367554,0.03340746834874153,0.04831022024154663,0.0330037996172905,-0.05071048066020012,0.012710249982774258,0.9855917769670487,1.0,0.23969647750258447,0.19107329070568085,0.016589520908892156,3.0571726512908937,0.9987559407949448,0.4666239446401596,0.5864561074972152,1.0018660879135133,0.6924586772918702,0.516796875,1.0,-0.00010639429092407227,0.00022453069686889648,3.4868717193603516e-05,0.029245994985103607,last,1.0,0.0,0.0,0.6947005844116211,0.03404174955561757,0.0188279373338446,0.15466203153133393,0.6840523666143418,0.1588685005903244,0.012672182419337333,0.17901559986174106,0.00027804557437775655,0.024575899597257377,0.022159457299858333,0.000232487524554017,0.0,0.0,1.0018660879135133,0.3266367557644844,0.04666239522397518,0.04666239522397518,0.10556210331618786,0.11729122310876847,0.04691648751497269,0.1466140268743038,0.07037473119795322,0.02333119761198759,0.6947005844116211,0.00340417500352487,0.018866028818301857,0.0342026187479496,0.05378926675766706,0.016778315352275967,0.0014896332734497264,0.008412588681094348,2.086328545829019e-05,0.0011494032986229285,0.003249661270529032,1.6431333683613048e-05,0.0,0.0,1.0129225236354955e-09
3,0.8464,0.7743088120222091,0.509921875,0.516796875,1.0,1.0,0.19002278645833334,1.0,0.9992846051851908,0.6900493303934733,0.10045401565730572,0.6133359968662262,0.28620999306440353,1.2160056829452515,9.0,2.5,0.21219833940267563,2.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.45602279901504517,0.9816972613334656,2.776052951812744,1.0,0.9994474649429321,1.0,0.6405210494995117,0.041580263525247574,1.0,0.9996498823165894,1.0,0.6616472005844116,0.014102693647146225,1.0,0.998756468296051,1.0,0.7679797410964966,0.03872007131576538,0.43133544921875,0.3733395040035248,0.31996703147888184,0.25623850151896477,0.05045497789978981,1.0000000149011612,0.7488561272621155,0.23883897066116333,0.006699470221064985,0.14049219340085983,0.4067409560084343,0.06786436587572098,0.0468432679772377,0.06990890204906464,0.047379881143569946,0.06875354051589966,0.046561166644096375,-0.060205135494470596,0.02016073279082775,0.995598332285881,1.0,0.22455927088856698,0.18451277107000352,0.008374059926718474,2.952204327583313,0.9989091801643372,0.42200088262557983,0.5780574351549148,1.001636230945587,0.6908267080783844,0.508203125,1.0,0.0005323886871337891,0.00016486644744873047,0.0010877251625061035,0.02216317132115364,last,1.0,0.0,0.0,0.6921026420593261,0.018827975038439037,0.005539979732129723,0.09412245176732541,0.45601935297250745,0.13878709077835083,0.005522907371632755,0.10145568184554576,0.0,0.02684175057336688,0.02234197361394763,3.618061211454915e-05,0.0,0.0,1.001636230945587,0.29540061473846435,0.042200088948011395,0.042200088948011395,0.10405034236609936,0.1156114887446165,0.04624459370970726,0.1445143587887287,0.0693668906390667,0.021100044474005698,0.6921026420593261,0.0018827975331805647,0.005549161011585966,0.022800968028604984,0.027824491802603005,0.014442255906760692,0.0006387594214174897,0.004692782340571284,0.0,0.001143506898661144,0.0032289337506517767,2.512074987066626e-06,0.0,0.0,1.1938590116500336e-09
4,0.778688,0.7459040367603302,0.546640625,0.589453125,0.9986979166666666,0.9986979166666666,0.190673828125,1.0,0.9984013636906942,0.7781732281049093,0.13802433758974075,0.562150239944458,0.29982540011405945,1.0872336626052856,8.0,2.5,0.24088381230831146,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4570252597332001,0.9796355366706848,2.677255868911743,1.0,0.9994407892227173,1.0,0.7550597190856934,0.04607087001204491,1.0,0.9995958805084229,1.0,0.7688974142074585,0.018343485891819,1.0,0.9961674213409424,0.99609375,0.8105625510215759,0.07978886365890503,0.42791748046875,0.4637584835290909,0.26627611368894577,0.21714555472135544,0.052819833159446716,0.9999999850988388,0.7117390334606171,0.22914327681064606,0.008080361410975456,0.15075964853167534,0.4070430248975754,0.08879923820495605,0.060175471007823944,0.09149219840765,0.06106732785701752,0.0884113535284996,0.05968933552503586,-0.06766368448734283,0.027805931866168976,0.9974751025438309,1.0,0.21461463451385498,0.18147837802767752,0.00669952847994864,2.9036540508270265,0.9989344888925552,0.3911812826991081,0.5741255104541778,1.001598265171051,0.656601220369339,0.589453125,1.0,0.0005322098731994629,0.0002250075340270996,0.0015324950218200684,0.0235673189163208,last,1.0,0.0,0.0,0.6781629085540771,0.01683956805616617,0.0036473565417691135,0.08709343738853931,0.32100617736577985,0.12665727131068708,0.003918280373327434,0.0922645477205515,0.0,0.027214027773588896,0.025726322885602712,1.738173199555604e-05,0.0,0.0,1.001598265171051,0.27382689371705055,0.03911812912672758,0.03911812912672758,0.1033425959944725,0.11482510328292847,0.045930039659142496,0.14353137761354445,0.06889505974948407,0.01955906456336379,0.6781629085540771,0.0016839568270370364,0.0036532970305415803,0.01605030913837254,0.023815043810755013,0.013090804973617197,0.0004499291940010153,0.004236878731753677,0.0,0.0010675445123342797,0.003692170763388276,1.1970011968287508e-06,0.0,0.0,3.776744361694284e-09
5,0.7163929600000001,0.6580568766593933,0.687734375,0.740625,0.9986979166666666,0.9986979166666666,0.198974609375,1.0,0.9986574848492941,0.8477325638135275,0.21594343334436417,0.45820704102516174,0.3258495330810547,1.053852528333664,6.5,2.5,0.2566080167889595,1.625,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4581862986087799,0.9761357307434082,2.606937885284424,1.0,0.9996646642684937,1.0,0.8352380990982056,0.035110410302877426,1.0,0.9997524619102478,1.0,0.8379265069961548,0.012657593004405499,1.0,0.9965553283691406,0.99609375,0.8700330853462219,0.34477126598358154,0.43792724609375,0.4186888635158539,0.36500008404254913,0.19602524116635323,0.02028582524508238,1.0000000139698386,0.7265408635139465,0.21516866981983185,0.015581685118377209,0.16763652488589287,0.40788328647613525,0.11757270991802216,0.08001306653022766,0.1200266033411026,0.08144715428352356,0.11419880390167236,0.07995353639125824,-0.08098829537630081,0.038813214749097824,0.9972822082042694,1.0,0.2279603461921215,0.18492202639579772,0.012953781075775623,2.9587524342536926,0.9989318573474884,0.43144930720329283,0.5785999912023544,1.001602212190628,0.518806654214859,0.740625,1.0,0.002015233039855957,0.0032323598861694336,0.008670926094055176,0.02474321983754635,last,1.0,0.0,0.0,0.5851170015335083,0.018179060937836767,0.0057815211563138295,0.09323979750275611,0.20959143862128257,0.12222989484667778,0.004472838293295354,0.1477910213172436,0.0,0.029421524330973624,0.03665843304246664,9.645242336773662e-05,0.0,0.0,1.001602212190628,0.3020145100355148,0.04314493153244257,0.04314493153244257,0.10414800249040126,0.11571999989449978,0.04628799814730883,0.1446499978005886,0.06943199753761292,0.021572465766221283,0.5851170015335083,0.001817906117066741,0.005791000896133483,0.010479572145268321,0.028172258120030165,0.01273089666850865,0.0005176462474628351,0.006844589146785438,0.0,0.001273806481040083,0.0053054867265746,6.712870401770488e-06,0.0,0.0,2.93387092398234e-10
6,0.6590815232000001,0.5895634931325913,0.745,0.74609375,1.0,1.0,0.1904296875,1.0,0.9993568857510885,0.8602134386698405,0.21467185951769352,0.4577731639146805,0.32755501568317413,1.015791267156601,6.5,2.5,0.2531164661049843,1.625,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4577946662902832,0.9741494655609131,2.54064679145813,1.0,0.9995973706245422,1.0,0.8440803289413452,0.01842566207051277,1.0,0.9996774196624756,1.0,0.8401658535003662,0.006852753460407257,1.0,0.9987958669662476,1.0,0.8963941335678101,0.37934792041778564,0.4364013671875,0.5579949021339417,0.21381749212741852,0.1867639198899269,0.04142367094755173,0.9999999850988388,0.7304539680480957,0.21008050441741943,0.014777274103835225,0.16677620075643063,0.40195491909980774,0.15094126760959625,0.10113389790058136,0.1527440845966339,0.1027858704328537,0.14397896826267242,0.10076030343770981,-0.08559924364089966,0.04707835242152214,0.9979360276460647,1.0,0.2468730726838112,0.18588055104017256,0.015316488295793533,2.9740888476371765,0.9989405411481858,0.4897636935114861,0.5798513185977936,1.0015891921520232,0.522600793838501,0.74609375,1.0,0.003908365964889526,0.001354306936264038,0.00904989242553711,0.025241443887352943,last,1.0,0.0,0.0,0.5172476068139076,0.019391971193253994,0.004405777122301515,0.08936872854828834,0.16322694301605226,0.11945393450558185,0.00315706895198673,0.1628118573129177,0.0,0.030496919695287943,0.03679112263023853,0.0001990849446883658,0.0,0.0,1.0015891921520232,0.3428345799446106,0.048976370319724086,0.048976370319724086,0.1043732413649559,0.11597026489675046,0.04638810440897942,0.1449628296494484,0.06958215706050395,0.024488185159862043,0.5172476068139076,0.0019391971523873507,0.004412968704564264,0.008161347289569677,0.030562012884765864,0.012468674089759588,0.0003662265310413204,0.007552699334919453,0.0,0.0015050103911198676,0.005333893052302301,1.3857005510544696e-05,0.0,0.0,1.172565378126933e-10
