epoch,train_acc,train_loss,val_acc,val_loss,samples_per_second,ce_loss,credit_policy_loss,credit_simulator_loss,discovery_health_loss,credit_alignment_items,sim_pred_real_corr,active_cells,primitive_top_share,choice_entropy,credit_measurements,credit_joint_measurements,credit_gain_mean,credit_gain_abs_mean,credit_positive_fraction,credit_budget_used,credit_budget_limit,credit_gain_scale,credit_joint_synergy_mean,credit_random_targets,credit_unchosen_measurements,credit_unchosen_gain_mean,credit_closed,credit_pending,credit_active,credit_total_measurements,credit_total_joint_measurements,credit_items,credit_age_mean,credit_gain_ema_abs_mean,train_samples_per_second
1,0.315859375,2.0449274599552156,0.38203125,1.675455629825592,184.6137711141075,1.6108245849609375,0.9931971430778503,0.03929324448108673,0.006351057440042496,24.0,0.3493287265300751,29.0,0.490313857793808,1.2894597053527832,10.0,2.0,0.0007414698484353721,0.0031617165077477694,0.5,10.0,10.0,0.0033536195171701864,-0.010907948017120361,2.0,2.0,-0.0024055838584899902,1.0,10.0,10.0,250.0,50.0,75.0,95.85333251953125,0.00039403411210514605,184.6137711141075
2,0.461484375,1.6790834826231003,0.53984375,1.3062935709953307,182.71366036452915,1.1946477890014648,0.45512449741363525,0.01913107931613922,0.008211021311581135,24.0,0.09975719451904297,23.666667938232422,0.5382158160209656,1.2582236528396606,10.0,2.0,0.00060358049813658,0.009511614218354225,0.6000000238418579,10.0,10.0,0.009127565228782815,0.03207355737686157,2.0,2.0,0.0020484328269958496,1.0,10.0,10.0,500.0,100.0,140.0,184.94285583496094,0.0008071473566815257,182.71366036452915
3,0.552109375,1.3917303955554963,0.63203125,1.1136999368667602,179.7153106569265,0.9858100414276123,0.2259221076965332,0.004576547536998987,0.009440732188522816,24.0,-0.1468547284603119,27.33333396911621,0.6392558813095093,1.0623037815093994,10.0,2.0,0.01045153196901083,0.022171830758452415,0.699999988079071,10.0,10.0,0.011039556107592897,-0.003531813621520996,2.0,2.0,-0.021753132343292236,1.0,10.0,10.0,750.0,150.0,186.0,283.258056640625,0.0009674921748228371,179.7153106569265
