epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,val_loss,val_acc,oracle_acc,sim_disabled_delta,choice_without_sim_delta,credit_items,credit_staleness_mean,credit_age_max
1,1.0,1.0954108506441116,0.533125,0.599609375,1.0,1.0,1.0,1.0,0.9874672889709473,0.14363032579421997,0.4542902708053589,0.34456750750541687,0.20114220678806305,0.20002974569797516,0.509765625,0.0,0.0,0.0,0.0,25.0,0.5004296898841858,0.9876627922058105,0.09953799843788147,0.8665952682495117,0.5808218717575073,0.06874740123748779,-0.014932837337255478,0.012976564466953278,-0.016232240945100784,0.012680198065936565,-0.015896202996373177,0.012759939767420292,-0.01625922881066799,0.012747080065310001,0.6696471571922302,0.599609375,1.0,0.027901768684387207,0.027901768684387207,1.0,0.0,0.0
2,0.92,0.7455908244848252,0.67265625,0.73671875,0.99609375,0.99609375,0.998779296875,1.0,0.9183853268623352,0.042118579149246216,0.23351243138313293,0.5260897278785706,0.2403978556394577,0.32852602005004883,0.51361083984375,0.0,0.0,0.0,0.0,25.0,0.5001727938652039,0.9871464967727661,0.12727320194244385,0.7738112211227417,0.5020796060562134,0.03463785722851753,-0.03505415841937065,0.03105185739696026,-0.03464532643556595,0.029842326417565346,-0.03713071346282959,0.030070411041378975,-0.03549572452902794,0.029508857056498528,0.5434425830841064,0.73671875,1.0,0.042944133281707764,0.042944133281707764,1.0,0.0,0.0
3,0.8464,0.6211538386344909,0.802421875,0.840234375,1.0,1.0,0.999755859375,1.0,0.9581156969070435,0.01625879295170307,0.12569910287857056,0.5995894074440002,0.2747114896774292,0.1807636320590973,0.5125732421875,0.0,0.0,0.0,0.0,25.0,0.5004369020462036,0.9866858720779419,0.06953012198209763,0.7250303626060486,0.3968602418899536,0.020418522879481316,-0.04884917289018631,0.042724572122097015,-0.047496095299720764,0.041410770267248154,-0.051176995038986206,0.04187986999750137,-0.04785262048244476,0.03986683115363121,0.4141750246286392,0.840234375,1.0,0.024991005659103394,0.024991005659103394,1.0,0.0,0.0
4,0.778688,0.5118641275167465,0.872109375,0.902734375,1.0,1.0,0.99951171875,1.0,0.9461400508880615,0.007789510767906904,0.07703066617250443,0.6309792995452881,0.2919900715351105,0.1910359263420105,0.509521484375,0.0,0.0,0.0,0.0,25.0,0.5009101629257202,0.986434817314148,0.08402641117572784,0.704513669013977,0.30353477597236633,0.011476241052150726,-0.059821341186761856,0.051838863641023636,-0.057333238422870636,0.049984075129032135,-0.06170031428337097,0.05050542578101158,-0.057449113577604294,0.04743047431111336,0.32845200002193453,0.902734375,1.0,0.02345871925354004,0.02345871925354004,1.0,0.0,0.0
5,0.7163929600000001,0.444337355196476,0.925625,0.935546875,1.0,1.0,0.999755859375,1.0,0.9507938623428345,0.0056573087349534035,0.0659005343914032,0.6246053576469421,0.30949413776397705,0.17488159239292145,0.51068115234375,0.0,0.0,0.0,0.0,25.0,0.5014232397079468,0.9862019419670105,0.05999741703271866,0.695364236831665,0.25847136974334717,0.009648649021983147,-0.07024779170751572,0.06036197394132614,-0.06707722693681717,0.058093491941690445,-0.0718870609998703,0.058534398674964905,-0.06664760410785675,0.05453445762395859,0.2860950767993927,0.935546875,1.0,0.014412462711334229,0.014412462711334229,1.0,0.0,0.0
