epoch,tau,train_loss,train_acc,best_acc,program_recovery_rate,expected_edge_recovery,expected_any_recovery,expected_candidate_present,expected_edge_choice_mass,expected_edge_active,transform_mass,skip_mass,disable_mass,choice_entropy,active_cells,expected_top_cells,primitive_top_share,active_edges_per_target,final_read_last,final_read_mean,final_read_learned,state_norm_none,state_norm_layernorm,slot_address_used_by_controller,slot_address_used_by_executor,primitive_embedding_rank,primitive_pair_cos_mean,primitive_pair_cos_max,usage_entropy,action_L0_0_1_diff_present,action_L0_0_1_diff_choice_mass,action_L0_0_1_diff_recovery,action_L0_0_1_diff_active,action_L0_0_1_diff_tape,action_L0_2_3_diff_present,action_L0_2_3_diff_choice_mass,action_L0_2_3_diff_recovery,action_L0_2_3_diff_active,action_L0_2_3_diff_tape,action_L1_1_3_merge_present,action_L1_1_3_merge_choice_mass,action_L1_1_3_merge_recovery,action_L1_1_3_merge_active,action_L1_1_3_merge_tape,semantic_grid_mismatch,grid_candidate_usage,semantic_candidate_usage,usage_candidate_usage,random_candidate_usage,scanner_source_mass_sum,edge_scale_mean,cell_output_gate_mean,cell_tape_weight_mean,cell_write_mass_mean,target_write_gate_mean,edge_pair_bias_expected,edge_pair_bias_std,write_pair_bias_expected,write_pair_bias_std,phase_pair_bias_expected,phase_pair_bias_std,cell_output_pair_bias_expected,cell_output_pair_bias_std,signal_expected_choice_mass,signal_candidate_present,signal_primitive_top_share,signal_active_mean,signal_tape_mean,signal_active_cells_soft,adaptive_recovery_gate,adaptive_collapse_gate,adaptive_sparse_gate,adaptive_choice_boost,val_loss,val_acc,oracle_acc,gain_disabled_delta,sim_result_disabled_delta,sim_disabled_delta,choice_without_sim_delta,final_read_mode,credit_items,credit_staleness_mean,credit_age_max,ce_loss,sim_loss,expected_choice_loss,non_expected_primitive_loss,expected_active_loss,non_expected_active_loss,non_expected_tape_loss,non_expected_transform_loss,primitive_usage_diversity,cell_choice_diversity,active_budget,tape_budget,layer_action_diversity,min_transform_loss,eff_lambda_choice,eff_lambda_non_expected_primitive,eff_lambda_primitive_usage_diversity,eff_lambda_cell_choice_diversity,eff_lambda_non_expected_active,eff_lambda_non_expected_tape,eff_lambda_non_expected_transform,eff_lambda_active_budget,eff_lambda_tape_budget,eff_lambda_layer_action_diversity,weighted_ce_loss,weighted_sim_loss,weighted_expected_choice_loss,weighted_expected_active_loss,weighted_non_expected_primitive_loss,weighted_non_expected_active_loss,weighted_non_expected_tape_loss,weighted_non_expected_transform_loss,weighted_primitive_usage_diversity,weighted_cell_choice_diversity,weighted_active_budget,weighted_tape_budget,weighted_layer_action_diversity,weighted_min_transform_loss,loss_accounting_error
1,1.0,1.9912837088108062,0.505390625,0.52421875,0.9921875,0.9921875,0.4408365885416667,1.0,0.9802507956822714,0.45153621832529706,0.23637525737285614,0.4532269239425659,0.31039780378341675,1.2539546489715576,15.5,11.5,0.4106515794992447,3.875,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.44645121693611145,0.9874591827392578,2.3662896156311035,1.0,0.9881377816200256,1.0,0.3984479308128357,0.06920933723449707,1.0,0.9791639447212219,0.98828125,0.42588043212890625,0.05357993394136429,1.0,0.9734506607055664,0.98828125,0.5302802920341492,0.03064449317753315,0.428619384765625,0.2016441524028778,0.3361014313995838,0.3689979687333107,0.09325644746422768,1.0,0.8856976330280304,0.34938138723373413,0.020161638036370277,0.13959672302007675,0.4338645040988922,0.024762598797678947,0.018534963950514793,0.02488173544406891,0.018495582044124603,0.024864207953214645,0.018361110240221024,-0.030176229774951935,0.004010709933936596,0.8679494273662567,1.0,0.7371532571315765,0.2069180129468441,0.03696426037698984,3.3106882071495054,0.9333448670804501,0.9147238781303167,0.5646395307034254,1.0999827110767364,0.6930686295032501,0.52421875,1.0,0.0009033083915710449,0.0003300905227661133,0.0007686018943786621,0.03749804571270943,last,1.0,0.0,0.0,0.6985490608215332,0.07879655960947275,0.39625099105760453,0.7197345821559429,1.1446215331554412,0.1936318638920784,0.034992278702557084,0.3612062208354473,0.1353062839227556,0.07634945180267096,0.02437749357894063,0.00137212012312375,0.0,0.0,1.0999827110767364,0.6403067053481937,0.09147238935343921,0.09147238935343921,0.1016351197939366,0.11292790772393346,0.04517116134054959,0.14115988267585636,0.06775674260221422,0.045736194676719605,0.6985490608215332,0.007879656087607146,0.6800310337916017,0.05723107755184174,0.48447066854685544,0.01946369318291545,0.0037601139309117572,0.0159240815625526,0.013375875951496639,0.007172679622017313,0.0033422831585630773,8.349220503077959e-05,0.0,0.0,7.602120710714644e-09
2,0.92,0.893177399635315,0.5709375,0.6984375,1.0,1.0,0.19287109375,1.0,0.9963774879773458,0.6194954911867777,0.19437102414667606,0.48715028166770935,0.31847870349884033,0.9314578473567963,10.0,2.5,0.446937695145607,2.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4554189145565033,0.9842644929885864,2.2101433277130127,1.0,0.9989409446716309,1.0,0.5701277256011963,0.07730519771575928,1.0,0.9993433356285095,1.0,0.5890601277351379,0.037758708000183105,1.0,0.990848183631897,1.0,0.699298620223999,0.006431039422750473,0.42364501953125,0.48685385286808014,0.11552321165800095,0.3698568120598793,0.027766143903136253,1.0000000204890966,0.8773263990879059,0.28887079656124115,0.012666268739849329,0.14546798914670944,0.42856940627098083,0.04979110509157181,0.03782464936375618,0.050365984439849854,0.0378505103290081,0.04947687312960625,0.036865055561065674,-0.05925830826163292,0.01510745007544756,0.9680146783590317,1.0,0.3363783314824104,0.19482657745480536,0.01602340382523835,3.1172252702713013,0.9983135741949082,0.7372807562351227,0.5910382968187332,1.0025296330451965,0.6012567222118378,0.6984375,1.0,0.018483340740203857,0.0004566311836242676,0.02461165189743042,0.037053342908620834,last,1.0,0.0,0.0,0.6757753705978393,0.05971999667584896,0.049620301355607806,0.18230927020311355,0.6571052667498588,0.1614791002869606,0.013282287660986184,0.19505199536681175,0.00041308686094062354,0.03291308742016554,0.02335282750427723,0.0002766519902797882,0.0,0.0,1.0025296330451965,0.5160965204238892,0.07372807700186967,0.07372807700186967,0.10638689778745175,0.11820766046643257,0.04728306267410517,0.1477595742046833,0.07092459425330162,0.03686403850093484,0.6757753705978393,0.0059719997877255085,0.0498353748396039,0.03285526398569345,0.09480544585734606,0.017181022446602582,0.0015704599523451179,0.009223591340705752,3.016488895418057e-05,0.00245821816381067,0.003450853582471609,1.9628634127002443e-05,0.0,0.0,5.558089766211083e-09
3,0.8464,0.5358220013976097,0.82359375,0.896484375,1.0,1.0,0.19287109375,1.0,0.9972131848335266,0.7777644594510397,0.2983826883137226,0.3852084055542946,0.3164089173078537,0.7999394834041595,9.5,2.5,0.37874023616313934,2.375,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4553237557411194,0.9829616546630859,2.200700044631958,1.0,0.9979140758514404,1.0,0.7457130551338196,0.0626322403550148,1.0,0.9985551238059998,1.0,0.7727525234222412,0.024482043460011482,1.0,0.9951703548431396,1.0,0.8148277997970581,0.007537015713751316,0.40704345703125,0.577803760766983,0.1836383044719696,0.19426428526639938,0.04429364763200283,0.9999999981373549,1.0068711638450623,0.3318386524915695,0.013130777515470982,0.18833744525909424,0.49634402990341187,0.07715265452861786,0.06524521857500076,0.07786847651004791,0.06520269066095352,0.07464657723903656,0.062395818531513214,-0.09146177768707275,0.028532469645142555,0.9905474400520324,1.0,0.3988985425233841,0.21478892505168914,0.012679304238408804,3.4366227793693542,0.998837257027626,0.8578504317998886,0.616647362112999,1.0017441129684448,0.25509159415960314,0.896484375,1.0,0.039202362298965454,0.010322391986846924,0.06978753209114075,0.03359708562493324,last,1.0,0.0,0.0,0.4021686355769634,0.029366919416934253,0.016134288371540607,0.09540307566523552,0.3488110902905464,0.1644403636455536,0.010099129723384977,0.22723958298563957,0.0005751483569349603,0.04647459175437689,0.032286039758473634,0.00015431080828420818,0.0,0.0,1.0017441129684448,0.6004952937364578,0.08578504495322704,0.08578504495322704,0.11099652968347072,0.12332947440445423,0.04933178793638945,0.15416184052824974,0.07399768188595772,0.04289252247661352,0.4021686355769634,0.0029366920026950537,0.016163206505589188,0.01744055476039648,0.057293467819690705,0.0182757943123579,0.0012468246312346309,0.011244593998417257,4.880332892582828e-05,0.003996947379782796,0.00499511593952775,1.136446332111518e-05,0.0,0.0,6.787076456404861e-10
4,0.778688,0.35034617155790326,0.901328125,0.9296875,1.0,1.0,0.1884765625,1.0,0.9987244208653768,0.8042762279510498,0.29665767028927803,0.37632985413074493,0.32701241970062256,0.6328032314777374,9.0,2.5,0.4040658324956894,2.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.45408153533935547,0.983320951461792,2.0959017276763916,1.0,0.9991779327392578,1.0,0.787011981010437,0.03169593960046768,1.0,0.9993661642074585,1.0,0.8151513934135437,0.011637130752205849,1.0,0.9976291656494141,1.0,0.8106653094291687,0.008180886507034302,0.411529541015625,0.5900870859622955,0.19544275850057602,0.16829605773091316,0.04617408663034439,0.9999999888241291,1.0388066172599792,0.3436611145734787,0.009755858220160007,0.1919075772166252,0.4903448522090912,0.08665265142917633,0.07305222004652023,0.08791717141866684,0.07327671349048615,0.0835835188627243,0.06960717588663101,-0.1038624569773674,0.037481941282749176,0.9955704444646836,1.0,0.3804947325587273,0.2343939758837223,0.011302481601014734,3.7503036069869995,0.9989087235927582,0.8347982168197632,0.6411488229036331,1.0016369128227234,0.1915234848856926,0.9296875,1.0,0.03020864725112915,0.002857387065887451,0.056014060974121094,0.02842024341225624,last,1.0,0.0,0.0,0.2348818698525429,0.02666294256225228,0.006658904597861693,0.08216157920658589,0.2384384161233902,0.1776323801279068,0.010035538664087653,0.27175390601158145,0.0016695065512612928,0.04672410488128662,0.04014424577355385,5.727254347220878e-05,0.0,0.0,1.0016369128227234,0.5843587452173233,0.08347982309758663,0.08347982309758663,0.1154067923128605,0.12822976782917977,0.051291904523968694,0.16028720572590827,0.07693785712122918,0.041739911548793314,0.2348818698525429,0.0026662942999973894,0.006669989002402872,0.011921920981258154,0.04799360729753971,0.02050202842801809,0.0012871555180754514,0.013939259890466928,0.0001409324935548284,0.003903146511875093,0.006435558772645891,4.408996346683125e-06,0.0,0.0,4.868206948671627e-10
5,0.7163929600000001,0.2994804963469505,0.920859375,0.9296875,1.0,1.0,0.187744140625,1.0,0.9992430011431376,0.8204719225565592,0.28979697823524475,0.37407277524471283,0.3361302614212036,0.5995566248893738,8.5,2.5,0.4512365013360977,2.125,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4542204439640045,0.9830384254455566,1.993098258972168,1.0,0.999481737613678,1.0,0.7941185235977173,0.019768962636590004,1.0,0.9996294975280762,1.0,0.8349429368972778,0.006425033323466778,1.0,0.9986177682876587,1.0,0.8323543071746826,0.008635874837636948,0.417022705078125,0.5976998955011368,0.16061357408761978,0.18540821969509125,0.056278327479958534,1.0000000167638063,1.0602400600910187,0.35368142277002335,0.009218434570357203,0.19291765242815018,0.4827716499567032,0.0926814079284668,0.07750079035758972,0.09325360506772995,0.07756717503070831,0.09079534560441971,0.07400575280189514,-0.10777060687541962,0.044124193489551544,0.9973362219333649,1.0,0.4013557633757591,0.23791401714086532,0.009770695865154267,3.8066242480278016,0.9989326596260071,0.8660892885923386,0.6454647636413574,1.0016010081768036,0.16939485371112822,0.926953125,1.0,0.006391644477844238,-0.001047387719154358,0.014799118041992188,0.02635985240340233,last,1.0,0.0,0.0,0.1891914139688015,0.02393238864839077,0.003918306656414643,0.0767615482956171,0.2067343245446682,0.17904123723506926,0.009162226784974336,0.26767621010541914,0.0023145909350569126,0.049336716793477536,0.04226034272462129,3.847095858873217e-05,0.0,0.0,1.0016010081768036,0.606262493133545,0.08660893023014068,0.08660893023014068,0.11618366189301015,0.1290929563343525,0.051637179888784884,0.16136619091033935,0.07745576977729797,0.04330446511507034,0.1891914139688015,0.0023932389030233026,0.003924685032106936,0.010336716435849666,0.0465230855345726,0.02080325745046139,0.0011829839251004158,0.013822446903213858,0.00020276790069146956,0.004276680329348892,0.006820237250067294,2.9816394931003742e-06,0.0,0.0,1.0742201017599484e-09
6,0.6590815232000001,0.2795863942801952,0.92734375,0.941015625,1.0,1.0,0.187744140625,1.0,0.999387800693512,0.8324885368347168,0.29504795372486115,0.37353774905204773,0.3314143121242523,0.520291805267334,8.5,2.5,0.3944861441850662,2.125,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4546404778957367,0.9830573201179504,2.0337061882019043,1.0,0.9996273517608643,1.0,0.81711345911026,0.013408535160124302,1.0,0.999664843082428,1.0,0.8479021787643433,0.004311271943151951,1.0,0.9988712072372437,1.0,0.8324499726295471,0.009229155257344246,0.422882080078125,0.5694701671600342,0.22060035169124603,0.16328821331262589,0.0466412678360939,1.0,1.0714944303035736,0.36471525952219963,0.008706677239388227,0.19487103819847107,0.47644294798374176,0.0997447818517685,0.0825662761926651,0.10256757587194443,0.0825107991695404,0.09749498963356018,0.0782468169927597,-0.10892477631568909,0.049465373158454895,0.9982345831394196,1.0,0.4256193572282791,0.23738297447562218,0.008748980807140469,3.7981275868415834,0.9989446288347245,0.8975797402858734,0.64482352912426,1.0015830636024474,0.1509818136692047,0.941015625,1.0,0.006159104406833649,0.0003093332052230835,0.013453871011734009,0.022036505863070488,last,1.0,0.0,0.0,0.1706587479263544,0.02342103887349367,0.0030430821466143243,0.07525880262255669,0.19394311144948007,0.17746449425816535,0.008407288482412695,0.2586875440180302,0.003072509177145548,0.049680027402937414,0.04211960252374411,3.502423272948363e-05,0.0,0.0,1.0015830636024474,0.6283058089017868,0.08975797548890113,0.08975797548890113,0.11606824010610581,0.12896470934152604,0.05158588130027056,0.161205882281065,0.07737882144749164,0.044878987744450566,0.1706587479263544,0.002342103933915496,0.0030479904476669616,0.009697155775502325,0.04727900009602308,0.02060003612190485,0.0010844352602725849,0.013344929153099656,0.0002767262188717723,0.004461506542284042,0.006791051095351577,2.711902270675637e-06,0.0,0.0,1.9332219158840758e-10
7,0.6063550013440001,0.2638468623161316,0.93375,0.9421875,1.0,1.0,0.18758138020833334,1.0,0.999451478322347,0.8391451438268026,0.2968435436487198,0.37070901691913605,0.33244742453098297,0.4146725982427597,8.0,2.5,0.4674391448497772,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.4540107250213623,0.9824857115745544,1.8912971019744873,1.0,0.9996609091758728,1.0,0.8399398922920227,0.012085799127817154,1.0,0.9997153878211975,1.0,0.8507543802261353,0.0032441006042063236,1.0,0.9989781379699707,1.0,0.8267411589622498,0.009440088644623756,0.425994873046875,0.6333556175231934,0.12355297058820724,0.17980244383215904,0.06328896433115005,0.9999999962747097,1.0783770084381104,0.37316785007715225,0.00745117652695626,0.19058320671319962,0.4687259793281555,0.10547992587089539,0.08692190051078796,0.11081994324922562,0.08670497685670853,0.10510250180959702,0.08274183422327042,-0.10888995975255966,0.05358067899942398,0.9987134915590287,1.0,0.42579804360866547,0.23388888761401178,0.0078066987683996555,3.74222217798233,0.9989509105682373,0.8955879747867584,0.6405581253767013,1.0015736365318297,0.14159775525331497,0.9421875,1.0,0.0009658932685852051,0.0014520436525344849,0.0008775591850280762,0.02128942869603634,last,1.0,0.0,0.0,0.15808308877050878,0.024444451220333577,0.0018804891272156965,0.07449528276920318,0.18364883422851563,0.17294029772281647,0.007579036150127649,0.2600100550055504,0.0035258317145053296,0.04909155186265707,0.04129073228687048,3.0732340237591413e-05,0.0,0.0,1.0015736365318297,0.6269115740060807,0.08955879889428615,0.08955879889428615,0.11530046723783016,0.12811162784695626,0.05124464873224497,0.16013953134417533,0.07686697334051132,0.04477939944714308,0.15808308877050878,0.002444445169530809,0.0018835083473823034,0.009182441886514426,0.04668074574321508,0.019941867906600238,0.0009711987921036779,0.013324238453060388,0.00031748534689540975,0.004402459391858429,0.006613019313663244,2.3639585185719626e-06,0.0,0.0,7.637197541043861e-10
8,0.5578466012364802,0.25738012477755545,0.936953125,0.9421875,1.0,1.0,0.1875,1.0,0.9994742075602213,0.8477768898010254,0.28484801948070526,0.3822086602449417,0.332943320274353,0.40007564425468445,8.0,2.5,0.4454418420791626,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,0.454362154006958,0.98236083984375,1.9160668849945068,1.0,0.9995944499969482,1.0,0.852380633354187,0.008213440887629986,1.0,0.9996503591537476,1.0,0.8478965759277344,0.0024260838981717825,1.0,0.9991778135299683,1.0,0.8430534601211548,0.007624088786542416,0.465301513671875,0.6604222059249878,0.12240398302674294,0.17143616825342178,0.045737648382782936,1.0000000055879354,1.0831996202468872,0.3648916482925415,0.006898495019413531,0.19200650602579117,0.47287437319755554,0.11284583806991577,0.09232904762029648,0.11801517009735107,0.09254276007413864,0.11240630596876144,0.08778685331344604,-0.10841602087020874,0.05706475302577019,0.9991340839862823,1.0,0.44904143422842024,0.23130739212036133,0.007281664567999542,3.7009182834625243,0.9989564633369445,0.9214686697721481,0.6373924577236175,1.0015653026103974,0.17535575330257416,0.9296875,1.0,0.0028631985187530518,-0.0011161714792251587,0.014015287160873413,0.020477551966905594,last,1.0,0.0,0.0,0.15244127199053764,0.021990727800875902,0.0015310390063314116,0.07354573123157024,0.1743638150393963,0.16945692747831345,0.007097442620433867,0.2604687085747719,0.0030763587699038906,0.05002787221223116,0.040925693921744825,2.9563530461018672e-05,1.1296632692392449e-07,0.0,1.0015653026103974,0.6450280594825745,0.09214686825871468,0.09214686825871468,0.11473064675927162,0.12747849509119988,0.050991395488381386,0.15934811443090438,0.07648709326982499,0.04607343412935734,0.15244127199053764,0.002199072812218219,0.0015334931935285568,0.008718190910294653,0.047437584102153776,0.01944346195086837,0.0009049354813760146,0.013281952794641257,0.00028475749011704467,0.004611062775366008,0.006522074025124312,2.2625424890065914e-06,5.306386015035968e-09,0.0,5.975454020479276e-10
